time,price,signal,label
2019-01-28 10:15:00,5.516,buy,2.0
2019-01-28 14:00:00,5.395,sell,4.0
2019-01-29 14:30:00,5.291,buy,2.0
2019-01-30 09:45:00,5.274,sell,4.0
2019-02-01 11:00:00,5.326,buy,1.0
2019-02-20 09:45:00,6.078,sell,3.0
2019-02-20 10:00:00,6.026,buy,2.0
2019-02-20 10:15:00,6.026,sell,4.0
2019-02-21 11:30:00,6.13,buy,2.0
2019-02-22 09:45:00,6.173,sell,4.0
2019-02-22 14:00:00,6.363,buy,1.0
2019-03-06 14:30:00,7.522,sell,3.0
2019-03-06 14:45:00,7.634,buy,2.0
2019-03-08 11:00:00,7.548,sell,4.0
2019-03-12 10:15:00,7.53,buy,2.0
2019-03-15 10:45:00,7.305,sell,4.0
2019-03-18 13:15:00,7.297,buy,2.0
2019-03-18 13:45:00,7.271,sell,4.0
2019-03-18 15:00:00,7.435,buy,2.0
2019-03-22 10:45:00,7.72,sell,4.0
2019-03-28 10:30:00,7.79,buy,2.0
2019-04-08 13:45:00,8.386,sell,4.0
2019-04-18 11:30:00,8.274,buy,2.0
2019-04-18 13:30:00,8.248,sell,4.0
2019-04-19 13:45:00,8.282,buy,2.0
2019-04-22 13:30:00,8.248,sell,4.0
2019-04-23 14:15:00,8.265,buy,2.0
2019-04-24 09:45:00,8.179,sell,4.0
2019-04-29 14:00:00,7.582,buy,2.0
2019-04-29 15:00:00,7.435,sell,4.0
2019-05-10 10:30:00,7.037,buy,2.0
2019-05-17 10:30:00,6.951,sell,4.0
2019-05-20 11:30:00,6.839,buy,2.0
2019-05-20 14:00:00,6.752,sell,4.0
2019-05-21 13:30:00,6.899,buy,2.0
2019-05-22 14:30:00,6.752,sell,4.0
2019-05-27 10:30:00,6.847,buy,2.0
2019-05-30 10:45:00,6.951,sell,4.0
2019-05-31 09:45:00,7.003,buy,2.0
2019-06-03 13:45:00,6.96,sell,4.0
2019-06-05 10:30:00,6.934,buy,2.0
2019-06-06 13:15:00,6.908,sell,4.0
2019-06-06 14:00:00,6.908,buy,2.0
2019-06-06 14:45:00,6.847,sell,4.0
2019-06-11 11:15:00,6.916,buy,2.0
2019-06-14 15:00:00,6.821,sell,4.0
2019-06-19 10:00:00,7.012,buy,2.0
2019-06-19 11:15:00,6.994,sell,4.0
2019-06-20 10:45:00,7.081,buy,2.0
2019-06-24 14:00:00,7.124,sell,4.0
2019-06-24 14:30:00,7.15,buy,2.0
2019-06-25 13:15:00,7.029,sell,4.0
2019-07-01 10:15:00,7.176,buy,2.0
2019-07-03 13:15:00,7.055,sell,4.0
2019-07-04 10:15:00,7.089,buy,2.0
2019-07-04 10:30:00,7.098,sell,4.0
