time,price,signal,label
2013-08-29,3.882,buy,1.0
2014-03-05,5.12,sell,3.0
2014-06-16,4.495,buy,2.0
2014-06-20,4.401,sell,4.0
2015-10-20,3.74,buy,2.0
2015-11-24,3.643,sell,4.0
2016-10-14,3.302,buy,1.0
2017-04-20,4.182,sell,3.0
2017-09-01,5.902,buy,2.0
2017-09-26,5.42,sell,4.0
2019-01-15,3.367,buy,1.0
2019-05-23,4.817,sell,3.0
2019-09-09,4.838,buy,2.0
2019-09-25,4.364,sell,4.0
2020-06-05,5.033,buy,1.0
2020-09-11,6.181,sell,3.0
2020-09-21,7.118,buy,1.0
2021-03-25,12.531,sell,3.0
2021-04-06,13.05,buy,1.0
2021-10-08,18.602,sell,3.0
2022-04-12,19.588,buy,2.0
2022-04-22,17.489,sell,4.0
2023-10-30,16.006,buy,2.0
2023-12-15,14.547,sell,4.0
