time,price,signal
1997-03-17 00:00:00,0.413,buy
1997-11-26 00:00:00,0.618,sell
1997-12-16 00:00:00,0.69,buy
1998-01-20 00:00:00,0.713,sell
1998-01-21 00:00:00,0.701,buy
1998-02-25 00:00:00,0.667,sell
1998-05-11 00:00:00,0.667,buy
1998-07-03 00:00:00,0.67,sell
1998-11-04 00:00:00,0.695,buy
1999-01-26 00:00:00,0.642,sell
1999-03-22 00:00:00,0.685,buy
1999-04-01 00:00:00,0.591,sell
1999-05-12 00:00:00,0.64,buy
1999-08-30 00:00:00,0.91,sell
2000-01-11 00:00:00,0.708,buy
2000-01-17 00:00:00,0.696,sell
2000-01-25 00:00:00,0.777,buy
2000-01-28 00:00:00,0.768,sell
2000-07-04 00:00:00,0.813,buy
2000-07-28 00:00:00,0.782,sell
2000-08-03 00:00:00,0.797,buy
2000-08-17 00:00:00,0.785,sell
2000-08-30 00:00:00,0.784,buy
2000-09-01 00:00:00,0.762,sell
2000-11-10 00:00:00,0.771,buy
2001-01-19 00:00:00,0.897,sell
2001-05-09 00:00:00,0.843,buy
2001-07-30 00:00:00,0.775,sell
2001-10-30 00:00:00,0.692,buy
2001-12-28 00:00:00,0.693,sell
2002-01-04 00:00:00,0.679,buy
2002-01-10 00:00:00,0.673,sell
2002-01-25 00:00:00,0.661,buy
2002-01-30 00:00:00,0.647,sell
2002-02-04 00:00:00,0.692,buy
2002-04-08 00:00:00,0.674,sell
2002-04-10 00:00:00,0.692,buy
2002-04-19 00:00:00,0.675,sell
2002-04-30 00:00:00,0.684,buy
2002-05-17 00:00:00,0.642,sell
2002-06-14 00:00:00,0.599,buy
2002-09-03 00:00:00,0.63,sell
2002-09-16 00:00:00,0.637,buy
2002-09-18 00:00:00,0.638,sell
2002-11-06 00:00:00,0.635,buy
2002-11-27 00:00:00,0.614,sell
2002-12-25 00:00:00,0.648,buy
2003-01-03 00:00:00,0.606,sell
2003-01-20 00:00:00,0.652,buy
2003-01-24 00:00:00,0.647,sell
2003-01-28 00:00:00,0.662,buy
2003-03-14 00:00:00,0.67,sell
2003-03-25 00:00:00,0.694,buy
2003-09-12 00:00:00,0.838,sell
2003-10-29 00:00:00,0.885,buy
2003-11-05 00:00:00,0.831,sell
2004-01-06 00:00:00,0.9,buy
2004-04-13 00:00:00,0.965,sell
2004-04-27 00:00:00,0.977,buy
2004-05-19 00:00:00,0.926,sell
2004-07-08 00:00:00,0.771,buy
2004-07-12 00:00:00,0.77,sell
2004-09-20 00:00:00,0.821,buy
2004-10-21 00:00:00,0.917,sell
2004-10-22 00:00:00,0.937,buy
2004-11-03 00:00:00,0.827,sell
2005-01-17 00:00:00,0.703,buy
2005-01-18 00:00:00,0.719,sell
2005-02-17 00:00:00,0.799,buy
2005-04-01 00:00:00,0.978,sell
2005-04-04 00:00:00,0.945,buy
2005-04-25 00:00:00,1.011,sell
2005-04-27 00:00:00,1.038,buy
2005-05-16 00:00:00,0.977,sell
2005-06-09 00:00:00,1.041,buy
2005-07-05 00:00:00,0.972,sell
2005-07-15 00:00:00,1.005,buy
2005-08-11 00:00:00,1.015,sell
2005-09-07 00:00:00,1.011,buy
2005-12-08 00:00:00,1.022,sell
2006-01-18 00:00:00,1.192,buy
2006-05-26 00:00:00,1.871,sell
2006-05-31 00:00:00,1.965,buy
2006-08-04 00:00:00,1.96,sell
2006-09-25 00:00:00,2.235,buy
2006-11-15 00:00:00,1.825,sell
2006-12-19 00:00:00,2.381,buy
2007-02-07 00:00:00,2.699,sell
2007-02-08 00:00:00,2.698,buy
2007-03-05 00:00:00,2.502,sell
2007-04-10 00:00:00,2.819,buy
2007-06-07 00:00:00,3.29,sell
2007-06-14 00:00:00,3.48,buy
2007-07-02 00:00:00,3.112,sell
2007-07-03 00:00:00,3.211,buy
2007-10-23 00:00:00,3.261,sell
2007-12-14 00:00:00,2.869,buy
2008-01-22 00:00:00,2.699,sell
2008-05-14 00:00:00,2.284,buy
2008-05-20 00:00:00,2.059,sell
