time,price,signal,label
2021-07-27,9.991,buy,2.0
2021-08-02,9.304,sell,4.0
2021-09-07,10.796,buy,2.0
2021-09-30,9.402,sell,4.0
2021-10-14,9.314,buy,2.0
2021-12-27,9.765,sell,4.0
2022-02-14,8.588,buy,2.0
2022-02-15,8.588,sell,4.0
2022-06-17,7.734,buy,2.0
2022-06-23,7.675,sell,4.0
2022-06-29,7.498,buy,2.0
2022-07-08,7.194,sell,4.0
2022-07-25,7.155,buy,2.0
2022-07-27,7.135,sell,4.0
2022-08-10,7.137,buy,2.0
2022-09-19,6.721,sell,4.0
2022-11-07,6.741,buy,2.0
2022-12-20,6.365,sell,4.0
2023-01-19,7.068,buy,2.0
2023-03-17,6.602,sell,4.0
2023-04-11,6.969,buy,2.0
2023-05-26,6.939,sell,4.0
2023-08-02,7.86,buy,2.0
2023-09-19,7.094,sell,4.0
2023-09-25,7.084,buy,2.0
2023-09-26,7.054,sell,4.0
2023-11-03,7.203,buy,2.0
2023-12-20,6.746,sell,4.0
2024-01-30,6.637,buy,2.0
2024-04-12,6.14,sell,4.0
2024-04-30,6.617,buy,2.0
2024-06-14,5.971,sell,4.0
2024-07-22,5.741,buy,2.0
2024-07-30,5.771,sell,4.0
2024-09-27,6.65,buy,2.0
2025-01-06,6.23,sell,4.0
