time,price,signal
2019-01-23 13:30:00,5.438,buy
2019-01-24 10:45:00,5.404,sell
2019-01-24 13:45:00,5.411,buy
2019-02-13 11:00:00,5.62,sell
2019-02-18 13:15:00,5.593,buy
2019-02-18 13:45:00,5.6,sell
2019-02-18 14:30:00,5.607,buy
2019-02-19 10:15:00,5.607,sell
2019-02-19 10:45:00,5.607,buy
2019-02-19 11:15:00,5.6,sell
2019-02-19 13:15:00,5.553,buy
2019-02-19 13:30:00,5.546,sell
2019-02-20 10:15:00,5.627,buy
2019-02-21 13:45:00,5.749,sell
2019-02-26 11:30:00,6.195,buy
2019-02-27 15:00:00,6.094,sell
2019-02-28 10:45:00,6.087,buy
2019-02-28 11:00:00,6.08,sell
2019-03-04 10:00:00,6.344,buy
2019-03-07 14:15:00,6.053,sell
2019-03-12 10:30:00,5.911,buy
2019-03-13 11:00:00,5.857,sell
2019-03-13 14:00:00,5.843,buy
2019-03-14 15:00:00,5.884,sell
2019-03-15 11:30:00,5.925,buy
2019-03-15 13:45:00,5.877,sell
2019-03-18 13:30:00,6.013,buy
2019-03-19 11:30:00,6.033,sell
2019-03-20 10:15:00,6.033,buy
2019-03-20 14:15:00,5.979,sell
2019-03-21 10:00:00,6.026,buy
2019-03-21 11:30:00,5.986,sell
2019-03-21 14:15:00,5.986,buy
2019-03-22 10:30:00,6.087,sell
2019-03-22 10:45:00,6.107,buy
2019-03-22 13:45:00,6.067,sell
2019-03-22 14:15:00,6.08,buy
2019-03-25 10:15:00,5.986,sell
2019-03-29 11:30:00,6.019,buy
2019-03-29 14:00:00,6.019,sell
2019-03-29 14:15:00,5.992,buy
2019-04-03 14:00:00,6.391,sell
2019-04-03 14:45:00,6.439,buy
2019-04-08 14:45:00,6.675,sell
2019-04-08 15:00:00,6.662,buy
2019-04-09 10:00:00,6.547,sell
2019-04-10 11:00:00,6.655,buy
2019-04-11 10:15:00,6.418,sell
2019-04-16 14:00:00,6.276,buy
2019-04-17 10:00:00,6.358,sell
2019-04-17 10:15:00,6.344,buy
2019-04-17 11:00:00,6.344,sell
2019-04-17 11:15:00,6.418,buy
2019-04-18 13:15:00,6.317,sell
2019-04-19 15:00:00,6.425,buy
2019-04-22 11:30:00,6.202,sell
2019-04-30 13:30:00,6.094,buy
2019-05-06 10:45:00,5.83,sell
2019-05-08 14:15:00,5.864,buy
2019-05-08 14:30:00,5.843,sell
2019-05-10 15:00:00,5.884,buy
2019-05-14 09:45:00,5.918,sell
2019-05-15 10:15:00,6.026,buy
2019-05-17 11:15:00,6.141,sell
2019-05-17 13:15:00,6.128,buy
2019-05-17 14:30:00,6.067,sell
2019-05-23 14:00:00,6.202,buy
2019-05-23 14:30:00,6.209,sell
2019-05-23 14:45:00,6.175,buy
2019-05-24 09:45:00,6.202,sell
2019-05-24 10:00:00,6.195,buy
2019-05-24 14:00:00,6.155,sell
2019-06-05 13:15:00,5.918,buy
2019-06-05 14:45:00,5.877,sell
2019-06-10 11:15:00,5.871,buy
2019-06-13 10:45:00,5.918,sell
2019-06-19 10:00:00,5.958,buy
2019-07-03 11:00:00,6.337,sell
2019-07-11 11:00:00,6.225,buy
2019-07-15 10:00:00,6.099,sell
