time,price,signal,label
2012-10-10,2.62,buy,2.0
2012-10-26,2.59,sell,4.0
2014-04-11,4.54,buy,2.0
2014-04-16,4.12,sell,4.0
2014-06-13,6.03,buy,1.0
2014-10-24,9.41,sell,3.0
2016-03-24,7.84,buy,2.0
2016-03-31,8.16,sell,4.0
2016-06-23,8.93,buy,1.0
2016-12-02,10.98,sell,3.0
2018-12-19,1.11,buy,2.0
2018-12-20,1.09,sell,4.0
2020-03-05,0.92,buy,2.0
2020-03-16,0.76,sell,4.0
2020-11-10,0.96,buy,1.0
2021-03-09,1.43,sell,3.0
2021-04-20,1.82,buy,1.0
2021-06-29,2.3,sell,3.0
2022-05-24,1.57,buy,1.0
2022-07-29,1.93,sell,3.0
2022-11-10,1.47,buy,2.0
2022-12-30,1.6,sell,4.0
2023-06-29,1.56,buy,1.0
2023-09-11,2.6,sell,3.0
2024-07-15,2.09,buy,2.0
2024-07-19,2.03,sell,4.0
2024-09-25,2.24,buy,1.0
2024-12-16,3.02,sell,3.0
