time,price,signal
2015-10-12 00:00:00,8.16,buy
2016-01-19 00:00:00,6.98,sell
2016-07-19 00:00:00,4.87,buy
2016-07-28 00:00:00,5.2,sell
2016-08-12 00:00:00,5.37,buy
2016-08-26 00:00:00,5.17,sell
2016-10-07 00:00:00,5.42,buy
2016-11-01 00:00:00,5.3,sell
2017-01-24 00:00:00,5.14,buy
2017-03-10 00:00:00,4.69,sell
2017-03-20 00:00:00,4.95,buy
2017-03-29 00:00:00,4.73,sell
2017-04-07 00:00:00,4.85,buy
2017-04-20 00:00:00,4.5,sell
2017-07-21 00:00:00,4.53,buy
2017-09-01 00:00:00,4.02,sell
2017-09-06 00:00:00,4.17,buy
2017-11-28 00:00:00,5.15,sell
2017-11-30 00:00:00,5.17,buy
2018-02-07 00:00:00,6.18,sell
2018-02-15 00:00:00,6.65,buy
2018-06-01 00:00:00,8.35,sell
2018-06-19 00:00:00,8.21,buy
2018-06-20 00:00:00,8.43,sell
2018-07-13 00:00:00,8.8,buy
2018-08-06 00:00:00,6.86,sell
2018-09-21 00:00:00,7.0,buy
2018-10-05 00:00:00,6.3,sell
2019-02-13 00:00:00,6.02,buy
2019-02-22 00:00:00,5.84,sell
2019-03-22 00:00:00,6.14,buy
2019-05-14 00:00:00,6.71,sell
2019-07-17 00:00:00,6.22,buy
2019-08-07 00:00:00,5.6,sell
2019-08-22 00:00:00,5.88,buy
2019-09-25 00:00:00,5.83,sell
2019-11-06 00:00:00,6.43,buy
2019-11-15 00:00:00,6.2,sell
2020-06-11 00:00:00,4.2,buy
2020-09-01 00:00:00,4.33,sell
2020-09-09 00:00:00,4.62,buy
2020-11-04 00:00:00,4.4,sell
2021-01-26 00:00:00,3.86,buy
2021-02-19 00:00:00,5.93,sell
2021-02-22 00:00:00,5.6,buy
2021-02-25 00:00:00,5.41,sell
2021-05-24 00:00:00,5.56,buy
2021-07-09 00:00:00,4.52,sell
2021-11-18 00:00:00,3.8,buy
2021-12-01 00:00:00,3.61,sell
2021-12-08 00:00:00,3.64,buy
2021-12-15 00:00:00,3.46,sell
2022-01-14 00:00:00,3.71,buy
2022-01-26 00:00:00,3.51,sell
2022-03-24 00:00:00,3.12,buy
2022-04-12 00:00:00,2.6,sell
2022-05-24 00:00:00,2.36,buy
2022-05-25 00:00:00,2.32,sell
2022-06-22 00:00:00,2.54,buy
2022-07-08 00:00:00,2.5,sell
2022-11-08 00:00:00,2.28,buy
2023-02-23 00:00:00,3.65,sell
2023-03-02 00:00:00,3.64,buy
2023-03-08 00:00:00,3.46,sell
2023-04-06 00:00:00,3.72,buy
2023-05-16 00:00:00,3.73,sell
2023-06-21 00:00:00,3.79,buy
2023-07-04 00:00:00,3.43,sell
2023-07-18 00:00:00,3.58,buy
2023-08-08 00:00:00,3.22,sell
2023-09-14 00:00:00,3.26,buy
2023-12-20 00:00:00,3.51,sell
2024-01-02 00:00:00,3.73,buy
2024-01-08 00:00:00,3.11,sell
2024-03-18 00:00:00,2.96,buy
2024-03-22 00:00:00,2.96,sell
2024-04-10 00:00:00,2.79,buy
2024-04-17 00:00:00,2.64,sell
2024-05-03 00:00:00,3.02,buy
2024-05-28 00:00:00,2.71,sell
2024-05-31 00:00:00,2.68,buy
2024-06-17 00:00:00,2.9,sell
2024-07-09 00:00:00,2.81,buy
2024-07-16 00:00:00,2.79,sell
2024-07-18 00:00:00,2.87,buy
2024-07-26 00:00:00,2.77,sell
2024-08-06 00:00:00,2.87,buy
2024-10-17 00:00:00,3.07,sell
