time,price,signal,label
2018-11-20,0.35,buy,2.0
2019-01-25,0.35,sell,4.0
2019-02-19,0.4,buy,1.0
2019-02-27,0.55,sell,3.0
2019-02-28,0.94,buy,2.0
2019-04-08,0.77,sell,4.0
2019-04-09,0.72,buy,2.0
2019-04-15,0.67,sell,4.0
2020-05-18,0.38,buy,2.0
2020-08-13,0.275,sell,4.0
2020-09-16,0.365,buy,2.0
2020-09-28,0.3,sell,4.0
2021-03-17,0.365,buy,1.0
2021-06-18,0.66,sell,3.0
2021-07-16,0.56,buy,2.0
2021-08-02,0.52,sell,4.0
2021-08-25,0.66,buy,2.0
2021-12-06,0.6,sell,4.0
2022-05-24,0.212,buy,1.0
2022-07-27,0.27,sell,3.0
2023-03-07,0.234,buy,2.0
2023-07-20,0.198,sell,4.0
2023-08-03,0.195,buy,2.0
2023-08-22,0.13,sell,4.0
2023-09-11,0.28,buy,2.0
2023-12-11,0.167,sell,4.0
2024-01-09,0.17,buy,2.0
2024-02-26,0.144,sell,4.0
2024-05-21,0.09,buy,2.0
2024-06-05,0.074,sell,4.0
2024-07-05,0.108,buy,1.0
2025-01-24,0.315,sell,3.0
