time,price,signal,label
1984-06-11,13.02,buy,2.0
1984-07-10,12.09,sell,4.0
1984-08-03,12.77,buy,2.0
1984-09-21,13.52,sell,4.0
1984-11-08,13.26,buy,2.0
1985-05-02,15.0,sell,4.0
1985-05-17,15.84,buy,2.0
1985-05-20,16.4,sell,4.0
1985-06-05,17.24,buy,2.0
1985-07-25,16.31,sell,4.0
1985-08-07,16.52,buy,2.0
1985-08-08,16.71,sell,4.0
1985-10-01,15.86,buy,2.0
1985-10-11,15.58,sell,4.0
1985-10-15,16.05,buy,2.0
1986-04-04,18.92,sell,4.0
1986-05-30,21.4,buy,2.0
1986-06-04,13.67,sell,4.0
1986-07-18,13.67,buy,2.0
1986-09-10,14.44,sell,4.0
1986-11-05,16.26,buy,2.0
1986-11-20,15.98,sell,4.0
1986-11-28,16.07,buy,2.0
1986-12-01,15.69,sell,4.0
1986-12-03,16.35,buy,2.0
1986-12-18,14.09,sell,4.0
1987-03-09,15.15,buy,2.0
1987-04-03,15.05,sell,4.0
1987-04-07,15.34,buy,2.0
1987-04-15,14.86,sell,4.0
1987-04-23,14.86,buy,2.0
1987-04-28,14.48,sell,4.0
1987-05-12,14.98,buy,2.0
1987-05-15,14.6,sell,4.0
1987-05-29,15.92,buy,1.0
1987-09-09,19.36,sell,3.0
1987-09-14,20.12,buy,2.0
1987-10-20,14.52,sell,4.0
1987-11-19,14.35,buy,2.0
1987-11-23,14.73,sell,4.0
1987-11-27,15.11,buy,2.0
1988-01-12,15.02,sell,4.0
1988-02-22,15.42,buy,2.0
1988-06-15,15.24,sell,4.0
1988-10-19,16.5,buy,2.0
1988-11-09,15.75,sell,4.0
1988-11-10,15.84,buy,2.0
1989-02-28,17.6,sell,4.0
1989-03-06,17.7,buy,1.0
1989-08-21,23.35,sell,3.0
1989-10-23,23.44,buy,2.0
1989-10-26,23.64,sell,4.0
1989-11-17,24.63,buy,2.0
1989-12-06,17.74,sell,4.0
1990-03-21,17.09,buy,2.0
1990-04-03,18.25,sell,4.0
1990-04-10,17.96,buy,2.0
1990-04-11,18.16,sell,4.0
1990-04-12,18.25,buy,2.0
1990-04-20,16.99,sell,4.0
1990-05-03,18.66,buy,2.0
1990-06-26,19.63,sell,4.0
1990-06-27,20.02,buy,2.0
1990-08-22,17.41,sell,4.0
1990-08-30,18.95,buy,2.0
1990-10-16,18.43,sell,4.0
1990-10-23,19.15,buy,2.0
1990-12-14,18.45,sell,4.0
1991-02-08,18.27,buy,2.0
1991-08-07,20.57,sell,4.0
1991-08-22,21.98,buy,2.0
1991-11-25,23.41,sell,4.0
1991-12-26,27.42,buy,2.0
1992-01-07,26.55,sell,4.0
1992-02-10,27.44,buy,2.0
1992-02-20,25.71,sell,4.0
1992-05-29,22.37,buy,2.0
1992-06-05,22.37,sell,4.0
1992-06-08,22.58,buy,2.0
1992-06-11,20.85,sell,4.0
