time,price,signal
2000-11-08 00:00:00,52.0,buy
2000-11-14 00:00:00,48.81,sell
2001-01-22 00:00:00,28.5,buy
2001-02-05 00:00:00,24.88,sell
2001-04-20 00:00:00,10.21,buy
2001-04-27 00:00:00,7.91,sell
2001-05-04 00:00:00,10.56,buy
2001-06-13 00:00:00,8.53,sell
2001-07-03 00:00:00,8.23,buy
2001-07-10 00:00:00,7.63,sell
2001-07-13 00:00:00,8.45,buy
2001-07-23 00:00:00,8.15,sell
2001-11-12 00:00:00,4.43,buy
2002-01-11 00:00:00,5.25,sell
2002-03-12 00:00:00,4.32,buy
2002-03-15 00:00:00,4.06,sell
2002-07-05 00:00:00,1.41,buy
2002-07-10 00:00:00,1.17,sell
2002-10-17 00:00:00,0.86,buy
2002-10-22 00:00:00,0.8,sell
2002-11-05 00:00:00,1.03,buy
2003-01-24 00:00:00,1.4,sell
2003-04-23 00:00:00,2.74,buy
2003-08-05 00:00:00,3.41,sell
2003-09-05 00:00:00,4.65,buy
2003-09-12 00:00:00,4.65,sell
2003-09-15 00:00:00,4.54,buy
2003-09-30 00:00:00,4.29,sell
2003-10-10 00:00:00,5.07,buy
2003-12-10 00:00:00,10.54,sell
2003-12-16 00:00:00,10.82,buy
2004-03-25 00:00:00,13.3,sell
2004-05-25 00:00:00,15.14,buy
2004-07-13 00:00:00,14.85,sell
2004-08-25 00:00:00,14.38,buy
2004-08-27 00:00:00,14.13,sell
2004-09-15 00:00:00,14.7,buy
2004-10-01 00:00:00,14.5,sell
2004-10-05 00:00:00,15.14,buy
2004-11-01 00:00:00,13.99,sell
2009-09-17 00:00:00,17.79,buy
2010-10-08 00:00:00,45.93,sell
2010-10-28 00:00:00,51.11,buy
2010-11-16 00:00:00,46.63,sell
2011-01-19 00:00:00,51.51,buy
2011-01-26 00:00:00,48.02,sell
2011-03-29 00:00:00,37.95,buy
2011-04-04 00:00:00,37.7,sell
2011-04-11 00:00:00,36.46,buy
2011-05-03 00:00:00,33.46,sell
2011-10-12 00:00:00,23.37,buy
2011-11-28 00:00:00,27.66,sell
2011-12-01 00:00:00,29.16,buy
2012-05-01 00:00:00,33.61,sell
2012-07-30 00:00:00,35.82,buy
2012-10-18 00:00:00,37.28,sell
2012-11-05 00:00:00,38.96,buy
2012-11-12 00:00:00,36.57,sell
2012-12-07 00:00:00,38.82,buy
2013-02-08 00:00:00,35.42,sell
2013-02-21 00:00:00,37.07,buy
2013-02-27 00:00:00,36.58,sell
2013-04-26 00:00:00,42.61,buy
2013-10-30 00:00:00,45.55,sell
2013-12-19 00:00:00,46.6,buy
2014-03-31 00:00:00,58.21,sell
2014-06-10 00:00:00,58.11,buy
2014-08-07 00:00:00,56.55,sell
2014-08-19 00:00:00,60.89,buy
2014-09-24 00:00:00,61.5,sell
2014-11-06 00:00:00,59.62,buy
2014-11-07 00:00:00,60.13,sell
2014-12-23 00:00:00,64.59,buy
2015-08-26 00:00:00,68.17,sell
2015-09-02 00:00:00,71.29,buy
2015-09-09 00:00:00,73.33,sell
2015-10-07 00:00:00,73.56,buy
2015-10-30 00:00:00,60.82,sell
2016-02-17 00:00:00,53.42,buy
2016-05-05 00:00:00,49.51,sell
2016-06-02 00:00:00,54.9,buy
2016-06-15 00:00:00,53.27,sell
2016-06-23 00:00:00,57.17,buy
2016-06-28 00:00:00,53.05,sell
2016-09-01 00:00:00,55.07,buy
2016-09-08 00:00:00,53.5,sell
2016-10-10 00:00:00,55.31,buy
2016-10-13 00:00:00,54.45,sell
2016-10-18 00:00:00,55.92,buy
2017-02-10 00:00:00,63.95,sell
2017-09-20 00:00:00,47.67,buy
2018-02-08 00:00:00,62.49,sell
2018-02-13 00:00:00,64.49,buy
2018-04-13 00:00:00,71.43,sell
2018-04-20 00:00:00,71.3,buy
2018-04-23 00:00:00,71.67,sell
2018-04-24 00:00:00,70.97,buy
2018-04-25 00:00:00,70.78,sell
2018-05-09 00:00:00,77.3,buy
2018-06-28 00:00:00,72.48,sell
2018-08-10 00:00:00,74.66,buy
2018-08-13 00:00:00,72.0,sell
2018-11-06 00:00:00,69.83,buy
2018-11-07 00:00:00,71.55,sell
2019-01-22 00:00:00,64.51,buy
2019-01-24 00:00:00,64.57,sell
2019-02-06 00:00:00,67.51,buy
2019-03-28 00:00:00,71.09,sell
2019-04-02 00:00:00,72.73,buy
2019-05-14 00:00:00,75.72,sell
2019-05-16 00:00:00,77.92,buy
2019-05-31 00:00:00,75.36,sell
2019-06-11 00:00:00,79.41,buy
2019-11-04 00:00:00,87.51,sell
2019-11-20 00:00:00,86.86,buy
2019-12-05 00:00:00,84.33,sell
2020-01-10 00:00:00,93.53,buy
2020-02-27 00:00:00,89.31,sell
2020-03-20 00:00:00,82.37,buy
2020-03-26 00:00:00,94.38,sell
2020-03-30 00:00:00,94.19,buy
2020-05-19 00:00:00,97.3,sell
2020-05-20 00:00:00,100.58,buy
2020-08-17 00:00:00,107.87,sell
2020-08-24 00:00:00,110.87,buy
2020-09-09 00:00:00,108.94,sell
2020-11-10 00:00:00,96.68,buy
2020-11-13 00:00:00,101.53,sell
2020-11-18 00:00:00,100.59,buy
