time,price,signal,label
2002-01-03,21.56,buy,2.0
2002-05-30,23.08,sell,4.0
2002-08-01,20.98,buy,2.0
2002-09-30,21.5,sell,4.0
2002-10-02,21.39,buy,2.0
2002-10-03,21.69,sell,4.0
2002-10-15,21.75,buy,2.0
2002-10-18,21.35,sell,4.0
2002-11-06,22.4,buy,2.0
2002-11-13,21.57,sell,4.0
2002-11-27,22.79,buy,2.0
2003-01-17,22.41,sell,4.0
2003-04-25,22.31,buy,2.0
2003-08-07,23.59,sell,4.0
2003-08-14,23.99,buy,2.0
2003-09-05,24.45,sell,4.0
2003-10-03,24.7,buy,2.0
2004-04-20,24.56,sell,4.0
2004-04-21,24.75,buy,2.0
2004-05-03,24.89,sell,4.0
2004-06-01,24.7,buy,2.0
2004-06-22,24.75,sell,4.0
2004-06-28,25.11,buy,2.0
2004-07-12,25.14,sell,4.0
2004-09-13,25.63,buy,2.0
2004-09-24,24.88,sell,4.0
2004-11-16,26.22,buy,2.0
2010-01-22,28.1,sell,4.0
2010-02-22,28.0,buy,2.0
2010-03-01,27.93,sell,4.0
2010-03-08,28.61,buy,2.0
2010-05-07,27.33,sell,4.0
2010-07-13,28.86,buy,2.0
2011-03-21,33.9,sell,4.0
2011-05-02,34.61,buy,2.0
2011-05-18,33.56,sell,4.0
2011-06-30,33.25,buy,2.0
2011-08-09,30.97,sell,4.0
2011-08-17,32.48,buy,2.0
2011-08-31,33.54,sell,4.0
2011-09-08,34.32,buy,2.0
2011-09-15,33.65,sell,4.0
2011-09-21,32.32,buy,2.0
2011-09-22,31.08,sell,4.0
2011-11-03,34.88,buy,2.0
2011-11-28,32.78,sell,4.0
2012-05-02,32.54,buy,2.0
2012-05-23,32.38,sell,4.0
2012-05-25,32.67,buy,2.0
2012-08-24,35.23,sell,4.0
2012-09-05,35.25,buy,2.0
2012-09-06,35.7,sell,4.0
2012-10-19,35.95,buy,2.0
2012-10-25,35.65,sell,4.0
2012-12-05,35.7,buy,2.0
2012-12-31,35.12,sell,4.0
2013-01-23,37.21,buy,2.0
2013-05-31,42.22,sell,4.0
