time,price,signal
1977-12-28 00:00:00,33.25,buy
1978-01-12 00:00:00,31.5,sell
1978-01-27 00:00:00,32.38,buy
1978-02-01 00:00:00,32.38,sell
1978-02-03 00:00:00,32.25,buy
1978-02-21 00:00:00,30.37,sell
1978-03-14 00:00:00,30.87,buy
1978-03-28 00:00:00,30.5,sell
1978-04-18 00:00:00,31.75,buy
1978-04-25 00:00:00,34.13,sell
1978-05-05 00:00:00,33.5,buy
1978-06-20 00:00:00,35.63,sell
1978-06-23 00:00:00,35.0,buy
1978-06-27 00:00:00,35.13,sell
1978-06-28 00:00:00,35.13,buy
1978-09-28 00:00:00,34.38,sell
1978-12-08 00:00:00,33.25,buy
1979-02-06 00:00:00,34.5,sell
1979-03-14 00:00:00,34.25,buy
1979-03-19 00:00:00,34.5,sell
1979-03-20 00:00:00,34.13,buy
1979-04-02 00:00:00,34.13,sell
1979-05-03 00:00:00,35.5,buy
1979-05-08 00:00:00,34.25,sell
1979-06-13 00:00:00,33.75,buy
1979-06-15 00:00:00,33.38,sell
1979-08-06 00:00:00,34.25,buy
1979-10-02 00:00:00,36.5,sell
1979-10-03 00:00:00,36.0,buy
1979-10-05 00:00:00,35.5,sell
1979-11-23 00:00:00,34.63,buy
1980-01-21 00:00:00,35.63,sell
1980-02-08 00:00:00,35.38,buy
1980-02-19 00:00:00,32.75,sell
1980-04-02 00:00:00,33.63,buy
1980-09-29 00:00:00,45.88,sell
1980-12-31 00:00:00,50.38,buy
1981-05-04 00:00:00,51.63,sell
1981-06-04 00:00:00,55.0,buy
1981-06-09 00:00:00,53.5,sell
1981-10-02 00:00:00,51.0,buy
1981-11-16 00:00:00,52.25,sell
1981-11-23 00:00:00,54.13,buy
1982-02-17 00:00:00,54.88,sell
1982-02-18 00:00:00,56.13,buy
1982-05-19 00:00:00,53.13,sell
1982-06-11 00:00:00,56.63,buy
1982-07-01 00:00:00,55.5,sell
1982-07-14 00:00:00,59.0,buy
1982-08-09 00:00:00,55.5,sell
1982-08-26 00:00:00,60.25,buy
1982-09-08 00:00:00,62.63,sell
1982-09-16 00:00:00,64.12,buy
1982-10-01 00:00:00,63.25,sell
1982-10-04 00:00:00,62.63,buy
1982-11-23 00:00:00,65.75,sell
1982-12-02 00:00:00,69.75,buy
1982-12-21 00:00:00,70.12,sell
1982-12-22 00:00:00,69.62,buy
1982-12-29 00:00:00,69.12,sell
1983-01-25 00:00:00,66.87,buy
1983-01-26 00:00:00,66.62,sell
1983-01-31 00:00:00,69.0,buy
1983-02-04 00:00:00,65.25,sell
1983-03-08 00:00:00,70.62,buy
1983-03-31 00:00:00,71.62,sell
1983-04-18 00:00:00,75.25,buy
1983-05-31 00:00:00,37.25,sell
1983-09-02 00:00:00,37.0,buy
1983-09-16 00:00:00,38.5,sell
1983-09-20 00:00:00,40.63,buy
1983-12-08 00:00:00,42.38,sell
1983-12-19 00:00:00,43.25,buy
1983-12-22 00:00:00,42.13,sell
1984-01-11 00:00:00,44.13,buy
1984-02-08 00:00:00,43.5,sell
1984-03-15 00:00:00,45.75,buy
1984-05-09 00:00:00,44.88,sell
1984-06-07 00:00:00,47.5,buy
1984-07-25 00:00:00,44.0,sell
1984-07-30 00:00:00,45.63,buy
1984-09-28 00:00:00,46.13,sell
1984-10-19 00:00:00,48.25,buy
1984-11-30 00:00:00,47.88,sell
1984-12-21 00:00:00,51.13,buy
1985-01-03 00:00:00,49.75,sell
1985-01-11 00:00:00,51.63,buy
1985-01-24 00:00:00,52.75,sell
1985-01-31 00:00:00,54.38,buy
1985-07-31 00:00:00,60.13,sell
1985-10-17 00:00:00,58.0,buy
1986-01-13 00:00:00,62.13,sell
1986-03-05 00:00:00,70.12,buy
1986-07-15 00:00:00,78.0,sell
1986-10-30 00:00:00,78.87,buy
1986-11-04 00:00:00,78.75,sell
1986-11-05 00:00:00,78.25,buy
1986-11-07 00:00:00,76.37,sell
1986-11-17 00:00:00,76.62,buy
1986-11-20 00:00:00,76.37,sell
1986-11-21 00:00:00,77.87,buy
1987-04-01 00:00:00,100.75,sell
1987-08-14 00:00:00,53.0,buy
1987-09-03 00:00:00,50.5,sell
1987-12-16 00:00:00,44.0,buy
1988-03-29 00:00:00,42.0,sell
1988-04-14 00:00:00,40.63,buy
1988-04-18 00:00:00,40.13,sell
1988-06-02 00:00:00,42.75,buy
1988-06-09 00:00:00,41.38,sell
1988-06-14 00:00:00,41.88,buy
1988-11-10 00:00:00,43.0,sell
1988-11-29 00:00:00,43.88,buy
1988-12-01 00:00:00,44.5,sell
1988-12-07 00:00:00,45.25,buy
1989-03-02 00:00:00,45.0,sell
1989-04-12 00:00:00,48.25,buy
1989-06-21 00:00:00,47.88,sell
1989-06-28 00:00:00,49.63,buy
1989-07-03 00:00:00,48.38,sell
1989-07-11 00:00:00,49.5,buy
1989-08-01 00:00:00,48.25,sell
1989-09-08 00:00:00,50.75,buy
1989-09-13 00:00:00,50.0,sell
1989-09-29 00:00:00,52.75,buy
1989-10-16 00:00:00,51.88,sell
1989-10-23 00:00:00,52.38,buy
1990-01-16 00:00:00,54.88,sell
1990-04-16 00:00:00,55.0,buy
1990-04-19 00:00:00,53.38,sell
1990-05-03 00:00:00,56.13,buy
1990-08-06 00:00:00,58.5,sell
1990-09-18 00:00:00,59.88,buy
1990-09-21 00:00:00,57.25,sell
1990-10-02 00:00:00,60.25,buy
1990-10-09 00:00:00,59.0,sell
1990-10-23 00:00:00,62.63,buy
1990-11-02 00:00:00,60.63,sell
1990-11-07 00:00:00,60.13,buy
1990-11-21 00:00:00,62.38,sell
1990-12-07 00:00:00,66.87,buy
1991-01-07 00:00:00,62.0,sell
1991-01-21 00:00:00,67.25,buy
1991-02-27 00:00:00,75.25,sell
1991-02-28 00:00:00,74.75,buy
1991-04-25 00:00:00,75.62,sell
1991-05-10 00:00:00,79.62,buy
1991-06-07 00:00:00,78.25,sell
1991-07-03 00:00:00,80.0,buy
1991-10-01 00:00:00,84.0,sell
1991-10-31 00:00:00,86.62,buy
1991-12-06 00:00:00,78.87,sell
1991-12-27 00:00:00,84.87,buy
1992-04-22 00:00:00,72.62,sell
1992-08-04 00:00:00,70.25,buy
1992-08-21 00:00:00,65.75,sell
1992-09-11 00:00:00,68.62,buy
1992-09-14 00:00:00,69.12,sell
1992-10-20 00:00:00,66.0,buy
1993-01-07 00:00:00,62.88,sell
1993-03-08 00:00:00,57.88,buy
1993-03-10 00:00:00,58.5,sell
1993-03-26 00:00:00,57.5,buy
1993-06-10 00:00:00,59.5,sell
1993-06-16 00:00:00,60.5,buy
1993-06-24 00:00:00,58.88,sell
1993-08-20 00:00:00,56.38,buy
1993-10-01 00:00:00,56.0,sell
1993-10-12 00:00:00,57.38,buy
1993-10-18 00:00:00,58.25,sell
1993-11-03 00:00:00,59.88,buy
1994-01-04 00:00:00,58.75,sell
1994-01-07 00:00:00,58.75,buy
1994-01-19 00:00:00,58.75,sell
1994-01-24 00:00:00,58.0,buy
1994-01-26 00:00:00,58.25,sell
1994-04-28 00:00:00,53.63,buy
1994-06-30 00:00:00,53.63,sell
1994-08-24 00:00:00,56.38,buy
1994-08-25 00:00:00,56.63,sell
1994-08-29 00:00:00,56.88,buy
1994-09-27 00:00:00,58.13,sell
1994-09-29 00:00:00,57.25,buy
1994-09-30 00:00:00,57.38,sell
1994-10-19 00:00:00,58.5,buy
1994-10-26 00:00:00,57.13,sell
1994-11-08 00:00:00,58.38,buy
1994-11-25 00:00:00,57.13,sell
1994-12-23 00:00:00,59.88,buy
1995-01-04 00:00:00,58.5,sell
1995-01-10 00:00:00,58.63,buy
1996-04-03 00:00:00,86.5,sell
1996-05-28 00:00:00,86.62,buy
1996-07-19 00:00:00,88.0,sell
1996-08-08 00:00:00,87.25,buy
1996-08-30 00:00:00,87.75,sell
1996-09-09 00:00:00,91.5,buy
1997-01-02 00:00:00,107.12,sell
1997-01-10 00:00:00,114.62,buy
1997-03-04 00:00:00,66.12,sell
1997-06-20 00:00:00,79.62,buy
1997-08-04 00:00:00,78.37,sell
1997-08-27 00:00:00,75.5,buy
1997-08-28 00:00:00,75.44,sell
1997-09-11 00:00:00,77.94,buy
1997-09-12 00:00:00,80.69,sell
1997-09-17 00:00:00,81.12,buy
1997-12-26 00:00:00,90.12,sell
1998-01-09 00:00:00,89.81,buy
1998-01-12 00:00:00,92.5,sell
1998-01-14 00:00:00,92.0,buy
1998-02-10 00:00:00,100.69,sell
1998-02-13 00:00:00,98.5,buy
1998-04-30 00:00:00,105.87,sell
1998-05-04 00:00:00,109.31,buy
1998-07-27 00:00:00,117.87,sell
