time,price,signal,label
1988-06-15,8.25,buy,2.0
1988-06-29,7.63,sell,4.0
1988-07-15,8.38,buy,2.0
1988-11-18,8.25,sell,4.0
1988-12-06,9.0,buy,1.0
1989-06-29,15.38,sell,3.0
1989-07-13,16.63,buy,2.0
1989-07-25,15.13,sell,4.0
1989-08-09,16.13,buy,1.0
1990-01-16,20.13,sell,3.0
1990-01-25,19.88,buy,2.0
1990-04-26,22.0,sell,4.0
1990-05-04,26.25,buy,2.0
1990-08-08,25.25,sell,4.0
1990-10-19,17.88,buy,1.0
1991-04-05,26.38,sell,3.0
1991-08-13,18.75,buy,2.0
1991-08-20,17.38,sell,4.0
1991-08-23,19.38,buy,2.0
1991-09-17,17.13,sell,4.0
1991-10-21,21.13,buy,2.0
1991-11-21,22.13,sell,4.0
1991-11-26,20.0,buy,2.0
1991-11-27,20.38,sell,4.0
1991-12-05,21.25,buy,2.0
1991-12-11,19.88,sell,4.0
1991-12-20,22.75,buy,2.0
1992-03-09,22.13,sell,4.0
1992-04-30,26.0,buy,2.0
1992-06-04,22.0,sell,4.0
1992-09-01,19.38,buy,2.0
1992-10-07,15.25,sell,4.0
1992-10-15,17.75,buy,1.0
1992-12-22,21.5,sell,3.0
1992-12-23,21.38,buy,2.0
1992-12-29,21.75,sell,4.0
1993-01-20,22.0,buy,2.0
1993-02-18,19.0,sell,4.0
1993-05-18,10.88,buy,2.0
1993-06-09,10.88,sell,4.0
1993-06-16,13.75,buy,2.0
1993-08-02,12.0,sell,4.0
1993-10-20,10.88,buy,2.0
1993-10-21,10.88,sell,4.0
1993-11-01,12.0,buy,2.0
1994-01-12,10.5,sell,4.0
1994-01-18,11.25,buy,2.0
1994-03-15,11.75,sell,4.0
1994-03-21,15.38,buy,2.0
1994-04-22,13.75,sell,4.0
1994-05-05,14.38,buy,2.0
1994-05-10,13.88,sell,4.0
1994-05-24,14.25,buy,2.0
1994-06-27,15.88,sell,4.0
1994-06-30,16.75,buy,1.0
1995-11-02,36.5,sell,3.0
1995-12-28,42.13,buy,2.0
1996-01-05,38.88,sell,4.0
1996-01-23,41.0,buy,2.0
1996-03-11,41.5,sell,4.0
1996-03-12,41.38,buy,2.0
1996-06-04,37.88,sell,4.0
1996-09-18,37.0,buy,2.0
1996-11-01,35.25,sell,4.0
1996-11-11,37.0,buy,2.0
1996-11-19,36.38,sell,4.0
1996-11-25,39.13,buy,2.0
1996-12-18,37.5,sell,4.0
1997-01-08,42.0,buy,2.0
1997-01-24,39.13,sell,4.0
1997-05-05,36.38,buy,2.0
1997-06-04,31.63,sell,4.0
1997-07-03,37.56,buy,1.0
1997-10-29,50.13,sell,3.0
1997-11-07,53.63,buy,2.0
1997-11-13,50.75,sell,4.0
1998-02-04,29.63,buy,2.0
1998-04-14,35.06,sell,4.0
1998-04-22,35.5,buy,2.0
1998-04-27,33.88,sell,4.0
1998-05-05,37.38,buy,2.0
1998-05-27,34.88,sell,4.0
1998-07-23,30.13,buy,2.0
1998-08-06,27.75,sell,4.0
1998-08-20,28.38,buy,2.0
1998-08-27,24.0,sell,4.0
1998-09-15,25.31,buy,2.0
1998-09-17,23.56,sell,4.0
1998-10-21,20.88,buy,2.0
1998-10-23,20.75,sell,4.0
1998-11-09,24.5,buy,2.0
1998-12-17,26.63,sell,4.0
1999-01-07,30.0,buy,2.0
1999-02-11,30.38,sell,4.0
1999-04-01,26.19,buy,2.0
1999-04-06,25.06,sell,4.0
1999-06-10,14.63,buy,2.0
1999-06-15,12.94,sell,4.0
1999-07-07,13.25,buy,2.0
1999-07-14,13.63,sell,4.0
1999-07-16,15.94,buy,2.0
1999-07-27,10.69,sell,4.0
1999-08-16,10.31,buy,1.0
2000-02-17,18.5,sell,3.0
2000-03-08,20.38,buy,2.0
2000-03-09,22.06,sell,4.0
2000-03-13,21.13,buy,2.0
2000-03-30,20.0,sell,4.0
2000-06-08,18.88,buy,1.0
2001-02-22,26.5,sell,3.0
2001-05-02,22.1,buy,2.0
2001-06-05,23.46,sell,4.0
2001-06-08,23.75,buy,2.0
2001-06-15,21.85,sell,4.0
2001-07-20,21.37,buy,2.0
2001-09-10,20.0,sell,4.0
2001-11-05,24.04,buy,2.0
2002-01-17,21.32,sell,4.0
2002-01-25,22.7,buy,2.0
2002-02-26,21.0,sell,4.0
2002-03-04,22.5,buy,2.0
2002-04-09,20.18,sell,4.0
2002-04-15,21.81,buy,2.0
2002-05-06,19.42,sell,4.0
2002-08-21,14.75,buy,2.0
2002-09-04,12.85,sell,4.0
2002-09-12,13.63,buy,2.0
2002-09-19,11.96,sell,4.0
2002-10-16,10.82,buy,2.0
2002-10-23,11.35,sell,4.0
2002-11-11,11.14,buy,2.0
2002-11-14,12.35,sell,4.0
2002-11-15,12.43,buy,2.0
2002-12-11,12.11,sell,4.0
2002-12-18,11.99,buy,2.0
2002-12-19,11.68,sell,4.0
2002-12-27,12.18,buy,2.0
2003-01-06,9.8,sell,4.0
2003-03-04,10.43,buy,2.0
2003-03-07,10.3,sell,4.0
2003-03-14,10.18,buy,2.0
2003-03-17,10.9,sell,4.0
2003-03-18,10.89,buy,2.0
2003-03-31,10.0,sell,4.0
2003-04-24,11.16,buy,2.0
2003-06-30,12.06,sell,4.0
2003-07-08,13.08,buy,2.0
