time,price,signal
1998-10-16 00:00:00,19.0,buy
1999-02-18 00:00:00,25.38,sell
1999-03-02 00:00:00,27.5,buy
1999-04-05 00:00:00,25.94,sell
1999-04-21 00:00:00,28.88,buy
1999-05-25 00:00:00,31.62,sell
1999-05-26 00:00:00,32.25,buy
1999-06-15 00:00:00,31.88,sell
1999-06-21 00:00:00,35.62,buy
1999-08-31 00:00:00,31.5,sell
1999-09-10 00:00:00,34.0,buy
1999-10-20 00:00:00,33.25,sell
1999-11-01 00:00:00,33.12,buy
1999-11-08 00:00:00,28.81,sell
1999-11-17 00:00:00,31.38,buy
2000-02-22 00:00:00,41.5,sell
2000-02-29 00:00:00,51.0,buy
2000-03-17 00:00:00,41.69,sell
2000-04-13 00:00:00,44.06,buy
2000-04-18 00:00:00,45.0,sell
2000-04-19 00:00:00,46.91,buy
2000-05-24 00:00:00,47.31,sell
2000-05-26 00:00:00,46.0,buy
2000-06-27 00:00:00,41.56,sell
2000-07-13 00:00:00,53.12,buy
2000-09-25 00:00:00,57.62,sell
2000-11-22 00:00:00,60.0,buy
2000-12-05 00:00:00,30.19,sell
2001-04-27 00:00:00,13.7,buy
2001-06-21 00:00:00,13.32,sell
2001-07-06 00:00:00,13.85,buy
2001-07-11 00:00:00,13.86,sell
2001-07-13 00:00:00,14.3,buy
2001-09-18 00:00:00,13.78,sell
2001-11-09 00:00:00,14.48,buy
2001-11-16 00:00:00,14.56,sell
2001-12-27 00:00:00,14.97,buy
2002-01-16 00:00:00,14.28,sell
2002-01-22 00:00:00,14.81,buy
2002-05-01 00:00:00,16.16,sell
2002-05-07 00:00:00,16.52,buy
2002-07-03 00:00:00,16.18,sell
2002-10-22 00:00:00,13.94,buy
2003-01-21 00:00:00,14.4,sell
2003-03-06 00:00:00,15.68,buy
2003-05-22 00:00:00,17.96,sell
2003-07-09 00:00:00,18.5,buy
2003-09-30 00:00:00,18.62,sell
2003-10-08 00:00:00,19.25,buy
2003-11-19 00:00:00,19.46,sell
2004-02-05 00:00:00,19.7,buy
2004-07-27 00:00:00,21.62,sell
2004-09-30 00:00:00,23.2,buy
2010-01-07 00:00:00,56.77,sell
2010-03-19 00:00:00,56.6,buy
2011-02-07 00:00:00,74.11,sell
2011-04-08 00:00:00,74.28,buy
2011-06-10 00:00:00,75.83,sell
2011-07-05 00:00:00,80.47,buy
2011-07-29 00:00:00,72.31,sell
2011-09-02 00:00:00,66.99,buy
