time,price,signal,label
2003-08-28,27.77,buy,1.0
2004-03-26,33.4,sell,3.0
2004-10-22,42.4,buy,1.0
2007-10-09,85.88,sell,3.0
2009-01-07,53.24,buy,2.0
2009-01-14,49.22,sell,4.0
2013-01-08,58.37,buy,2.0
2013-01-11,58.27,sell,4.0
2017-08-02,45.61,buy,2.0
2017-08-17,43.0,sell,4.0
2020-04-23,36.18,buy,1.0
2020-06-18,44.45,sell,3.0
2021-09-08,55.28,buy,1.0
2021-12-21,70.68,sell,3.0
2021-12-22,71.08,buy,1.0
2022-04-26,91.32,sell,3.0
2022-05-06,107.69,buy,2.0
2022-05-16,105.5,sell,4.0
2024-06-03,113.87,buy,2.0
2024-06-18,109.41,sell,4.0
