time,price,signal,label
2002-01-03,22.98,buy,2.0
2002-02-19,17.75,sell,4.0
2002-04-01,22.59,buy,2.0
2002-05-30,21.2,sell,4.0
2002-07-17,20.59,buy,2.0
2002-09-17,19.35,sell,4.0
2003-01-16,20.32,buy,2.0
2003-02-10,18.61,sell,4.0
2003-02-20,20.14,buy,1.0
2003-08-28,30.18,sell,3.0
2003-10-17,31.75,buy,1.0
2004-02-06,39.81,sell,3.0
2004-02-12,40.12,buy,2.0
2004-02-26,39.04,sell,4.0
2004-03-17,37.36,buy,2.0
2004-03-23,35.83,sell,4.0
2004-04-06,38.87,buy,2.0
2004-07-22,43.8,sell,4.0
2004-07-23,43.25,buy,2.0
2004-08-04,40.94,sell,4.0
2004-09-14,46.15,buy,2.0
2004-10-14,45.82,sell,4.0
2004-12-31,46.18,buy,2.0
2009-09-18,38.38,sell,4.0
2009-10-14,44.43,buy,2.0
2009-10-26,41.04,sell,4.0
2009-12-08,40.82,buy,2.0
2009-12-09,40.66,sell,4.0
2009-12-29,43.03,buy,2.0
2010-02-10,38.77,sell,4.0
2010-02-23,39.83,buy,2.0
2010-02-25,39.47,sell,4.0
2010-03-08,41.31,buy,2.0
2010-05-11,42.71,sell,4.0
2010-05-17,43.9,buy,2.0
2010-05-21,41.58,sell,4.0
2010-07-27,45.2,buy,2.0
2010-08-31,41.27,sell,4.0
2010-09-09,43.8,buy,1.0
2011-01-27,57.84,sell,3.0
2011-01-28,56.3,buy,2.0
2011-03-01,55.86,sell,4.0
2011-03-24,58.98,buy,2.0
2011-05-25,61.53,sell,4.0
2011-06-16,58.18,buy,2.0
2011-06-27,57.06,sell,4.0
2011-06-28,57.75,buy,2.0
2011-08-09,50.28,sell,4.0
2011-09-20,54.06,buy,2.0
2011-09-28,51.4,sell,4.0
2011-10-07,51.42,buy,2.0
2012-01-13,61.57,sell,4.0
2012-02-08,57.77,buy,2.0
2012-02-13,58.76,sell,4.0
2012-02-17,59.45,buy,2.0
2012-02-22,60.37,sell,4.0
2012-03-01,60.85,buy,2.0
2012-03-06,58.92,sell,4.0
2012-03-12,63.12,buy,1.0
2012-07-17,80.1,sell,3.0
2012-07-31,82.53,buy,2.0
2012-10-01,82.4,sell,4.0
2012-10-05,83.51,buy,2.0
2012-10-22,77.33,sell,4.0
2012-11-01,83.22,buy,2.0
2012-11-12,78.52,sell,4.0
2012-11-23,84.84,buy,1.0
2014-01-31,172.04,sell,3.0
2014-02-14,181.6,buy,2.0
2014-03-31,186.39,sell,4.0
2014-04-23,173.69,buy,2.0
2014-04-29,161.2,sell,4.0
2014-06-02,159.05,buy,2.0
2014-06-04,160.37,sell,4.0
2014-06-06,169.51,buy,2.0
2014-06-17,160.05,sell,4.0
2014-09-12,159.49,buy,2.0
2014-10-16,138.61,sell,4.0
2014-10-22,143.42,buy,2.0
2014-10-23,146.89,sell,4.0
2014-10-27,148.3,buy,2.0
2014-10-29,149.94,sell,4.0
2014-10-31,161.07,buy,2.0
2015-02-23,189.25,sell,4.0
2015-02-27,199.16,buy,2.0
2015-03-26,189.14,sell,4.0
2015-04-02,198.29,buy,2.0
2015-04-20,196.99,sell,4.0
2015-04-29,200.0,buy,2.0
2015-05-07,198.53,sell,4.0
2015-05-13,205.18,buy,2.0
2015-08-06,194.53,sell,4.0
2015-10-09,187.69,buy,2.0
2016-01-11,180.12,sell,4.0
2016-02-23,172.8,buy,2.0
2016-08-05,205.68,sell,4.0
2016-09-08,216.53,buy,2.0
2016-10-18,209.75,sell,4.0
2017-01-11,198.19,buy,2.0
2017-04-10,207.01,sell,4.0
2017-04-19,212.32,buy,1.0
2017-10-02,271.69,sell,3.0
2017-10-09,276.78,buy,1.0
2018-08-03,423.02,sell,3.0
2018-08-17,430.44,buy,2.0
2018-09-20,420.15,sell,4.0
2019-01-15,362.33,buy,1.0
2019-08-08,628.92,sell,3.0
2019-08-13,626.5,buy,2.0
2019-09-17,597.73,sell,4.0
2019-09-19,598.61,buy,2.0
2019-10-29,554.76,sell,4.0
2019-11-19,590.7,buy,1.0
2020-02-12,740.12,sell,3.0
2020-02-13,729.8,buy,2.0
2020-02-27,669.11,sell,4.0
2020-04-15,641.23,buy,2.0
2020-04-28,607.84,sell,4.0
2020-04-29,650.87,buy,1.0
2020-09-10,792.77,sell,3.0
2020-11-04,902.5,buy,2.0
2020-12-16,860.89,sell,4.0
2020-12-21,915.86,buy,2.0
2021-01-07,905.48,sell,4.0
2021-01-27,889.71,buy,2.0
2021-02-18,919.83,sell,4.0
2021-04-08,874.43,buy,2.0
2021-05-04,850.32,sell,4.0
2021-06-14,879.77,buy,2.0
2021-06-29,83.29,sell,4.0
2021-10-18,94.94,buy,2.0
2021-11-01,85.15,sell,4.0
2021-12-06,77.35,buy,2.0
2022-01-06,73.65,sell,4.0
2022-03-21,64.53,buy,2.0
2022-05-12,55.58,sell,4.0
2022-06-03,62.52,buy,2.0
2022-06-14,55.17,sell,4.0
2022-06-28,60.34,buy,2.0
2022-07-13,59.3,sell,4.0
2022-07-20,62.3,buy,2.0
2022-09-20,70.78,sell,4.0
2022-10-27,81.62,buy,2.0
2023-02-10,75.96,sell,4.0
2023-04-28,76.95,buy,2.0
2023-08-02,82.18,sell,4.0
2023-08-31,81.99,buy,2.0
2023-09-15,79.12,sell,4.0
2023-10-11,81.87,buy,2.0
2023-10-20,73.84,sell,4.0
2023-11-08,77.24,buy,2.0
2023-11-20,83.0,sell,4.0
2023-12-05,84.15,buy,2.0
2024-01-08,82.9,sell,4.0
2024-01-16,81.76,buy,2.0
2024-01-18,81.83,sell,4.0
2024-01-26,85.09,buy,2.0
2024-04-19,84.26,sell,4.0
2024-07-26,78.51,buy,2.0
2024-08-07,73.94,sell,4.0
2024-08-20,74.84,buy,2.0
2024-10-01,74.65,sell,4.0
2024-10-03,73.9,buy,2.0
2024-10-08,75.15,sell,4.0
2024-10-09,75.7,buy,2.0
2024-10-30,73.46,sell,4.0
