time,price,signal,label
1998-03-17,15.94,buy,2.0
1998-04-15,16.37,sell,4.0
1998-04-17,17.12,buy,2.0
1998-09-01,16.69,sell,4.0
1998-10-26,16.56,buy,2.0
1998-10-29,16.37,sell,4.0
1998-11-20,18.62,buy,2.0
1998-12-04,17.81,sell,4.0
1998-12-08,17.56,buy,1.0
1999-07-09,24.5,sell,3.0
1999-07-22,26.5,buy,2.0
1999-08-06,24.5,sell,4.0
1999-08-11,25.94,buy,2.0
1999-10-12,24.75,sell,4.0
1999-11-01,29.44,buy,1.0
2000-09-19,104.89,sell,3.0
2000-09-29,114.77,buy,2.0
2000-10-05,122.12,sell,4.0
2000-10-18,135.38,buy,2.0
2000-10-25,105.94,sell,4.0
2000-11-28,105.5,buy,2.0
2001-01-03,34.91,sell,4.0
2001-04-26,29.56,buy,2.0
2001-05-14,28.63,sell,4.0
2001-05-16,31.5,buy,2.0
2001-06-13,31.45,sell,4.0
2001-06-20,33.46,buy,2.0
2001-08-07,30.74,sell,4.0
2001-10-02,29.78,buy,2.0
2001-10-05,29.01,sell,4.0
2001-10-24,33.92,buy,2.0
2002-02-04,34.0,sell,4.0
2002-02-11,35.86,buy,2.0
2002-05-28,42.7,sell,4.0
2002-06-10,91.89,buy,2.0
2002-06-13,44.14,sell,4.0
2002-10-01,31.19,buy,2.0
2002-10-08,25.36,sell,4.0
2002-10-15,32.62,buy,2.0
2002-11-19,28.42,sell,4.0
2002-12-23,29.54,buy,2.0
2003-01-28,27.25,sell,4.0
2003-02-28,26.38,buy,2.0
2003-04-17,29.28,sell,4.0
2003-05-07,30.42,buy,2.0
2003-07-24,29.74,sell,4.0
2003-09-05,30.18,buy,2.0
2003-09-11,30.38,sell,4.0
2003-09-19,32.0,buy,2.0
2003-09-30,30.32,sell,4.0
2003-10-22,32.0,buy,1.0
2004-02-23,39.98,sell,3.0
2004-02-27,41.44,buy,2.0
2004-05-14,41.37,sell,4.0
2004-05-27,42.84,buy,2.0
2004-08-10,40.84,sell,4.0
2004-08-12,40.83,buy,2.0
2004-08-13,41.19,sell,4.0
2004-08-16,41.96,buy,1.0
2007-10-31,53.18,sell,3.0
2007-11-29,55.22,buy,2.0
2007-12-12,54.11,sell,4.0
2008-01-14,53.66,buy,2.0
2008-01-23,49.73,sell,4.0
2008-04-24,48.72,buy,2.0
2008-06-24,46.76,sell,4.0
2008-07-14,48.73,buy,2.0
2008-10-02,50.83,sell,4.0
2008-11-07,46.57,buy,2.0
2008-11-25,43.26,sell,4.0
2008-12-01,43.22,buy,2.0
2009-01-16,48.72,sell,4.0
2009-01-20,46.73,buy,2.0
2009-03-04,46.29,sell,4.0
2009-03-26,47.21,buy,2.0
2009-09-22,53.22,sell,4.0
2009-09-23,53.28,buy,2.0
2010-01-26,57.51,sell,4.0
2010-03-19,57.3,buy,2.0
2010-03-25,57.95,sell,4.0
2010-08-06,48.11,buy,2.0
2010-08-10,48.8,sell,4.0
2010-09-13,47.02,buy,2.0
2010-10-21,47.79,sell,4.0
2010-11-05,52.02,buy,2.0
2011-03-18,53.74,sell,4.0
2011-06-20,60.58,buy,2.0
2011-06-30,59.1,sell,4.0
2011-07-05,59.67,buy,2.0
2011-07-14,58.0,sell,4.0
2011-10-26,56.07,buy,2.0
2012-04-20,58.54,sell,4.0
2012-06-21,56.76,buy,2.0
2012-06-28,59.25,sell,4.0
2012-07-02,60.4,buy,2.0
2012-07-23,57.5,sell,4.0
2012-10-03,64.0,buy,2.0
2012-10-22,59.4,sell,4.0
2013-01-15,59.86,buy,2.0
2013-01-28,58.24,sell,4.0
2013-05-15,59.99,buy,2.0
2013-07-10,59.0,sell,4.0
2013-08-15,58.83,buy,2.0
2013-08-20,58.76,sell,4.0
2013-09-09,61.15,buy,2.0
2013-10-16,58.75,sell,4.0
2013-10-31,59.91,buy,2.0
2013-12-12,53.81,sell,4.0
2014-02-24,53.81,buy,2.0
2014-02-27,52.76,sell,4.0
2014-03-27,57.88,buy,2.0
2014-04-30,55.93,sell,4.0
2014-06-04,61.64,buy,2.0
2014-06-17,58.57,sell,4.0
2014-06-24,58.95,buy,2.0
2014-07-14,60.23,sell,4.0
2014-07-17,60.65,buy,2.0
2014-07-21,60.75,sell,4.0
2014-08-25,62.74,buy,2.0
2014-10-07,59.36,sell,4.0
2014-10-22,61.21,buy,2.0
2015-05-05,69.89,sell,4.0
2015-05-19,72.75,buy,2.0
2015-06-01,75.48,sell,4.0
2015-07-15,73.24,buy,2.0
2015-08-25,65.31,sell,4.0
2015-10-29,66.82,buy,2.0
2016-02-08,60.54,sell,4.0
2016-02-18,66.05,buy,1.0
2016-09-14,82.09,sell,3.0
2016-09-22,85.73,buy,2.0
2016-10-28,80.44,sell,4.0
2016-11-22,86.64,buy,1.0
2017-08-09,106.5,sell,3.0
2017-08-29,106.79,buy,2.0
2017-09-15,104.96,sell,4.0
2017-10-24,95.27,buy,2.0
2017-10-30,93.78,sell,4.0
2017-11-30,98.46,buy,2.0
2018-02-06,101.13,sell,4.0
2018-03-09,106.99,buy,2.0
2018-03-23,99.78,sell,4.0
2018-04-20,98.16,buy,2.0
2018-04-23,99.45,sell,4.0
2018-04-30,101.2,buy,2.0
2018-05-07,101.1,sell,4.0
2018-05-15,102.13,buy,2.0
2018-09-18,107.22,sell,4.0
2018-11-13,95.04,buy,2.0
2018-11-15,95.72,sell,4.0
2019-03-18,88.7,buy,2.0
2019-04-23,93.08,sell,4.0
2019-04-24,94.76,buy,2.0
2020-03-02,112.11,sell,4.0
2020-03-03,108.65,buy,2.0
2020-03-13,96.77,sell,4.0
2020-04-29,113.55,buy,2.0
2020-06-12,110.6,sell,4.0
2020-06-23,106.96,buy,2.0
2020-06-24,104.55,sell,4.0
2020-06-29,110.42,buy,2.0
2020-09-28,113.88,sell,4.0
2020-10-12,116.67,buy,2.0
2020-12-21,120.84,sell,4.0
2021-01-08,122.97,buy,2.0
2021-02-10,123.55,sell,4.0
2021-04-20,129.37,buy,2.0
2021-04-26,132.27,sell,4.0
2021-05-10,141.48,buy,2.0
2021-05-19,130.69,sell,4.0
2021-07-02,133.32,buy,2.0
2021-10-01,143.3,sell,4.0
2021-11-15,146.6,buy,2.0
2021-11-22,150.74,sell,4.0
2021-11-30,148.68,buy,2.0
2021-12-01,151.24,sell,4.0
2021-12-08,160.15,buy,2.0
2022-01-07,155.87,sell,4.0
2022-03-10,135.97,buy,2.0
2022-03-11,136.34,sell,4.0
2022-03-17,145.16,buy,2.0
2022-04-05,133.67,sell,4.0
2022-05-31,141.02,buy,2.0
2022-06-01,138.62,sell,4.0
2022-06-28,136.46,buy,2.0
2022-08-25,130.6,sell,4.0
2022-10-26,143.51,buy,2.0
2023-01-19,145.3,sell,4.0
2023-07-24,144.02,buy,2.0
2023-07-27,134.36,sell,4.0
2023-10-27,127.68,buy,2.0
2024-01-16,133.85,sell,4.0
2024-03-28,133.11,buy,2.0
2024-04-19,128.44,sell,4.0
2024-04-24,137.55,buy,2.0
2024-06-18,137.3,sell,4.0
2024-07-16,148.6,buy,2.0
2024-10-09,149.01,sell,4.0
2024-10-24,157.99,buy,2.0
2024-12-17,155.49,sell,4.0
