time,price,signal,label
1989-01-09,14.64,buy,2.0
1989-01-19,13.04,sell,4.0
1989-02-06,14.39,buy,2.0
1989-06-30,16.73,sell,4.0
1989-07-14,17.59,buy,2.0
1989-08-01,16.73,sell,4.0
1989-08-04,17.47,buy,2.0
1989-09-15,16.36,sell,4.0
1989-10-03,17.22,buy,2.0
1989-10-16,14.39,sell,4.0
1989-11-16,17.71,buy,2.0
1989-12-11,14.88,sell,4.0
1989-12-20,14.64,buy,2.0
1989-12-26,14.51,sell,4.0
1989-12-27,14.51,buy,2.0
1990-01-10,14.64,sell,4.0
1990-02-05,14.27,buy,2.0
1990-02-08,15.01,sell,4.0
1990-03-08,15.01,buy,2.0
1990-08-07,17.96,sell,4.0
1990-11-28,15.99,buy,2.0
1990-12-19,14.76,sell,4.0
1991-01-30,18.2,buy,2.0
1991-03-21,18.7,sell,4.0
1991-03-28,19.19,buy,2.0
1991-04-01,19.19,sell,4.0
1991-05-02,19.56,buy,2.0
1991-05-03,19.19,sell,4.0
1991-06-03,21.52,buy,2.0
1991-09-19,19.06,sell,4.0
1991-09-26,19.8,buy,2.0
1991-10-03,19.19,sell,4.0
1991-12-30,20.05,buy,2.0
1992-04-09,21.03,sell,4.0
1992-04-20,22.26,buy,2.0
1992-05-14,23.62,sell,4.0
1992-05-18,23.98,buy,2.0
1992-06-17,24.23,sell,4.0
1992-06-18,23.74,buy,2.0
1992-06-19,23.98,sell,4.0
1992-06-25,23.98,buy,2.0
1992-06-30,22.39,sell,4.0
1992-07-22,23.49,buy,2.0
1992-08-11,23.62,sell,4.0
1992-10-29,24.48,buy,2.0
1992-11-19,22.63,sell,4.0
1992-12-02,23.25,buy,2.0
1992-12-03,23.37,sell,4.0
1992-12-11,25.83,buy,2.0
1993-02-19,24.11,sell,4.0
1993-04-15,27.34,buy,2.0
1993-07-12,29.95,sell,4.0
1993-07-26,32.91,buy,2.0
1993-10-13,32.2,sell,4.0
1993-10-20,33.8,buy,2.0
1994-02-07,37.16,sell,4.0
1994-02-08,37.16,buy,2.0
1994-02-28,36.17,sell,4.0
1994-03-02,36.3,buy,2.0
1994-03-03,36.54,sell,4.0
1994-03-23,39.79,buy,2.0
1994-04-04,36.57,sell,4.0
1994-04-12,38.67,buy,2.0
1994-05-20,38.8,sell,4.0
1994-05-25,38.92,buy,2.0
1994-09-27,43.92,sell,4.0
1994-10-14,45.78,buy,2.0
1994-11-30,46.15,sell,4.0
1994-12-02,45.28,buy,2.0
1995-01-25,26.87,sell,4.0
1995-04-28,29.49,buy,2.0
1995-09-29,32.51,sell,4.0
1995-10-23,30.65,buy,2.0
1995-10-24,30.77,sell,4.0
1995-11-10,32.51,buy,2.0
1995-12-26,31.41,sell,4.0
1995-12-27,31.41,buy,1.0
1996-07-09,39.53,sell,3.0
1996-11-14,42.54,buy,2.0
1997-02-18,45.05,sell,4.0
1997-03-12,44.31,buy,2.0
1997-04-01,40.59,sell,4.0
1997-04-23,44.7,buy,2.0
1997-10-30,53.41,sell,4.0
1997-11-06,58.89,buy,2.0
1998-01-13,60.1,sell,4.0
1998-02-05,67.39,buy,2.0
1998-04-29,69.97,sell,4.0
1998-05-06,72.03,buy,2.0
1998-05-13,74.34,sell,4.0
1998-05-14,74.71,buy,2.0
1998-05-28,72.16,sell,4.0
1998-08-10,39.93,buy,2.0
1998-08-25,38.8,sell,4.0
1998-09-08,39.36,buy,2.0
1998-09-10,37.31,sell,4.0
1998-09-18,40.11,buy,2.0
1998-09-25,34.57,sell,4.0
1998-10-23,35.64,buy,1.0
1999-02-23,47.63,sell,3.0
1999-03-08,49.82,buy,1.0
1999-06-15,60.07,sell,3.0
1999-06-22,62.01,buy,2.0
1999-06-24,59.53,sell,4.0
1999-08-17,58.4,buy,2.0
1999-09-23,51.48,sell,4.0
1999-11-22,50.67,buy,2.0
1999-12-03,50.8,sell,4.0
2000-03-17,43.44,buy,2.0
2000-07-06,46.94,sell,4.0
2000-07-26,49.88,buy,2.0
2000-08-03,50.81,sell,4.0
2000-08-09,54.81,buy,2.0
2000-09-21,48.25,sell,4.0
2000-10-11,53.12,buy,2.0
2000-10-13,52.75,sell,4.0
2000-10-27,57.69,buy,2.0
2001-01-03,16.92,sell,4.0
2001-05-17,15.54,buy,2.0
2001-06-29,14.0,sell,4.0
2001-10-18,14.06,buy,2.0
2001-11-01,14.04,sell,4.0
2001-11-06,14.62,buy,2.0
2001-12-18,14.88,sell,4.0
2001-12-26,14.99,buy,2.0
2002-01-11,15.92,sell,4.0
2002-02-01,15.59,buy,2.0
2002-02-05,15.1,sell,4.0
2002-02-19,16.32,buy,2.0
2002-05-31,17.4,sell,4.0
2002-08-02,14.74,buy,2.0
2002-08-06,14.34,sell,4.0
2002-10-23,14.75,buy,2.0
2003-01-29,15.42,sell,4.0
2003-01-30,15.11,buy,2.0
2003-01-31,15.35,sell,4.0
2003-02-05,15.81,buy,2.0
2003-02-11,15.59,sell,4.0
2003-02-20,15.55,buy,2.0
2003-03-11,15.81,sell,4.0
