time,price,signal,label
1987-01-07,49.0,buy,1.0
1987-05-20,60.0,sell,3.0
1987-06-12,67.5,buy,2.0
1987-09-09,72.5,sell,4.0
1987-09-16,74.75,buy,2.0
1987-09-21,72.75,sell,4.0
1987-09-29,77.62,buy,2.0
1987-10-12,72.62,sell,4.0
1987-12-28,60.5,buy,2.0
1988-01-04,62.25,sell,4.0
1988-01-05,63.25,buy,2.0
1988-02-08,54.25,sell,4.0
1988-02-17,59.0,buy,2.0
1988-03-29,60.63,sell,4.0
1988-04-29,57.5,buy,2.0
1988-05-13,55.88,sell,4.0
1988-05-20,55.5,buy,2.0
1988-05-24,55.38,sell,4.0
1988-05-27,56.88,buy,2.0
1988-07-28,61.75,sell,4.0
1988-08-01,63.38,buy,2.0
1988-11-04,63.88,sell,4.0
1988-12-30,65.75,buy,2.0
1989-01-03,65.75,sell,4.0
1989-01-19,68.0,buy,2.0
1989-01-20,68.62,sell,4.0
1989-01-23,69.75,buy,1.0
1989-09-18,116.62,sell,3.0
1989-09-25,118.37,buy,2.0
1989-12-21,114.25,sell,4.0
1990-02-12,107.12,buy,2.0
1990-02-16,109.75,sell,4.0
1990-03-02,109.12,buy,2.0
1990-07-25,118.87,sell,4.0
1990-10-25,95.62,buy,2.0
1990-11-02,95.12,sell,4.0
1990-11-06,92.37,buy,2.0
1990-11-07,91.0,sell,4.0
1990-12-06,105.5,buy,2.0
1991-01-11,95.5,sell,4.0
1991-01-21,102.0,buy,2.0
1991-01-28,102.12,sell,4.0
1991-01-31,108.25,buy,2.0
1991-04-24,118.0,sell,4.0
1991-05-07,119.87,buy,2.0
1991-05-16,119.75,sell,4.0
1991-05-22,120.25,buy,2.0
1991-05-31,116.0,sell,4.0
1991-07-05,118.5,buy,2.0
1991-08-20,112.87,sell,4.0
1991-08-29,118.37,buy,2.0
1991-09-06,115.12,sell,4.0
1991-10-18,119.12,buy,2.0
1991-11-06,113.0,sell,4.0
1991-12-26,110.5,buy,2.0
1992-05-19,40.88,sell,4.0
