time,price,signal,label
1984-03-29,24.0,buy,2.0
1984-05-30,22.87,sell,4.0
1984-06-05,23.37,buy,2.0
1984-06-08,23.75,sell,4.0
1984-06-21,24.87,buy,2.0
1984-08-20,25.5,sell,4.0
1984-08-23,26.37,buy,2.0
1985-01-25,29.0,sell,4.0
1985-03-01,30.12,buy,2.0
1985-05-20,33.5,sell,4.0
1985-05-21,33.13,buy,2.0
1985-05-28,32.75,sell,4.0
1985-06-05,33.75,buy,2.0
1985-07-24,33.0,sell,4.0
1985-10-17,33.25,buy,2.0
1985-11-06,33.5,sell,4.0
1985-11-13,34.38,buy,1.0
1986-09-12,43.88,sell,3.0
1986-10-30,47.63,buy,2.0
1987-02-13,48.0,sell,4.0
1987-03-23,47.5,buy,2.0
1987-03-30,46.63,sell,4.0
1987-04-23,44.25,buy,2.0
1987-04-29,44.25,sell,4.0
1987-05-26,43.25,buy,2.0
1988-03-24,44.5,sell,4.0
1988-06-01,46.5,buy,2.0
1988-08-11,43.63,sell,4.0
1988-10-05,46.0,buy,2.0
1988-10-07,47.5,sell,4.0
1988-10-10,47.25,buy,2.0
1988-10-12,46.63,sell,4.0
1988-11-07,46.88,buy,2.0
1988-11-15,45.25,sell,4.0
1989-01-03,45.88,buy,2.0
1989-02-14,44.38,sell,4.0
1989-03-21,43.0,buy,2.0
1989-03-22,43.63,sell,4.0
1989-04-06,44.88,buy,2.0
1989-08-21,50.25,sell,4.0
1989-08-22,50.13,buy,2.0
1990-01-10,54.0,sell,4.0
1990-01-22,52.5,buy,2.0
1990-02-13,53.75,sell,4.0
1990-03-01,55.0,buy,2.0
1990-03-15,55.75,sell,4.0
1990-03-20,56.0,buy,2.0
1990-03-26,54.63,sell,4.0
1990-04-03,55.13,buy,2.0
1990-04-24,53.5,sell,4.0
1990-05-08,54.63,buy,2.0
1990-07-25,55.25,sell,4.0
1990-08-01,59.0,buy,2.0
1990-08-28,55.5,sell,4.0
1990-09-07,54.75,buy,2.0
1990-10-02,28.62,sell,4.0
1990-12-07,30.62,buy,2.0
1990-12-12,30.5,sell,4.0
1990-12-19,31.5,buy,2.0
1990-12-27,31.5,sell,4.0
1991-02-13,28.75,buy,2.0
1991-03-08,26.87,sell,4.0
1991-03-15,28.37,buy,2.0
1991-05-16,27.75,sell,4.0
1991-06-18,27.5,buy,2.0
1991-06-24,27.75,sell,4.0
1991-06-25,28.0,buy,2.0
1991-07-11,28.0,sell,4.0
1991-07-15,28.5,buy,2.0
1992-01-17,31.87,sell,4.0
1992-01-28,33.0,buy,2.0
1992-01-29,33.0,sell,4.0
1992-04-10,32.63,buy,2.0
1993-04-28,39.13,sell,4.0
1993-06-28,40.13,buy,2.0
1993-11-05,40.25,sell,4.0
1993-12-28,43.75,buy,2.0
1994-02-07,40.25,sell,4.0
1994-05-24,35.75,buy,2.0
1994-06-28,35.5,sell,4.0
1994-06-29,36.0,buy,2.0
1994-07-12,36.38,sell,4.0
1994-08-02,39.5,buy,2.0
1994-09-13,36.88,sell,4.0
1994-09-20,36.25,buy,2.0
1994-11-15,39.25,sell,4.0
1994-11-22,39.38,buy,2.0
1994-12-21,38.63,sell,4.0
1995-04-11,39.63,buy,2.0
1995-06-15,41.13,sell,4.0
1995-06-16,41.38,buy,2.0
1995-07-05,41.38,sell,4.0
1995-07-13,41.63,buy,1.0
1996-02-27,50.63,sell,3.0
1996-02-28,49.63,buy,2.0
1996-03-01,49.25,sell,4.0
1996-03-08,48.13,buy,2.0
1996-03-12,47.75,sell,4.0
1996-03-25,51.38,buy,2.0
1996-04-10,47.5,sell,4.0
1996-05-15,49.0,buy,2.0
1996-08-09,48.75,sell,4.0
1996-09-20,46.88,buy,2.0
1996-09-23,47.0,sell,4.0
1996-10-09,47.63,buy,2.0
1996-10-11,47.75,sell,4.0
1996-10-14,47.5,buy,2.0
1996-11-20,47.88,sell,4.0
1996-12-24,45.63,buy,2.0
1996-12-26,45.75,sell,4.0
1997-01-22,47.25,buy,2.0
1997-02-07,45.38,sell,4.0
1997-05-05,46.0,buy,2.0
1997-10-15,48.94,sell,4.0
1997-11-04,48.44,buy,2.0
1998-02-19,54.25,sell,4.0
1998-02-20,55.31,buy,2.0
1998-05-07,56.94,sell,4.0
1998-06-01,59.69,buy,2.0
1998-12-04,60.75,sell,4.0
1998-12-21,64.0,buy,2.0
1999-02-03,58.56,sell,4.0
1999-05-04,55.13,buy,2.0
1999-07-23,56.19,sell,4.0
1999-07-27,56.44,buy,2.0
1999-07-29,52.44,sell,4.0
1999-08-25,58.06,buy,2.0
1999-09-28,53.0,sell,4.0
1999-10-04,56.88,buy,2.0
1999-10-12,53.25,sell,4.0
1999-11-02,56.75,buy,2.0
1999-11-12,53.25,sell,4.0
1999-12-06,49.97,buy,2.0
1999-12-21,50.44,sell,4.0
2000-01-07,53.75,buy,2.0
2000-02-10,51.13,sell,4.0
2000-04-05,53.88,buy,1.0
2000-09-25,79.44,sell,3.0
2000-09-27,82.08,buy,2.0
2000-12-08,85.75,sell,4.0
2001-03-08,43.48,buy,2.0
2001-03-14,37.93,sell,4.0
2001-04-02,43.26,buy,2.0
2001-06-12,42.6,sell,4.0
2001-07-11,41.5,buy,2.0
2001-07-26,39.4,sell,4.0
2001-09-04,39.68,buy,2.0
2001-09-18,38.85,sell,4.0
2001-09-21,37.17,buy,2.0
2001-09-28,37.85,sell,4.0
2001-10-02,39.23,buy,2.0
2001-11-30,36.15,sell,4.0
2001-12-21,37.9,buy,2.0
2002-02-25,33.8,sell,4.0
2002-02-26,34.41,buy,2.0
