time,price,signal,label
2008-06-20,118.77,buy,2.0
2008-06-27,114.88,sell,4.0
2008-08-26,105.25,buy,2.0
2008-09-05,95.69,sell,4.0
2008-09-23,101.36,buy,2.0
2008-10-01,89.54,sell,4.0
2008-11-06,74.0,buy,2.0
2008-11-13,73.98,sell,4.0
2008-11-20,59.5,buy,2.0
2008-11-21,68.96,sell,4.0
2008-11-26,74.89,buy,2.0
2008-12-05,61.26,sell,4.0
2009-01-07,67.44,buy,2.0
2009-01-13,64.33,sell,4.0
2009-02-10,56.2,buy,2.0
2009-02-12,51.77,sell,4.0
2009-03-17,47.45,buy,2.0
2009-03-30,44.62,sell,4.0
2009-05-07,60.34,buy,2.0
2009-06-23,56.36,sell,4.0
2009-07-21,56.84,buy,2.0
2009-10-30,64.71,sell,4.0
2009-11-03,66.32,buy,2.0
2009-12-10,64.0,sell,4.0
2009-12-18,69.39,buy,2.0
2010-03-19,64.31,sell,4.0
2010-04-09,67.26,buy,2.0
2010-04-13,66.45,sell,4.0
2010-04-23,70.04,buy,2.0
2010-05-03,68.13,sell,4.0
2010-05-12,69.57,buy,2.0
2010-05-21,63.07,sell,4.0
2010-06-17,69.49,buy,2.0
2010-06-28,62.91,sell,4.0
2010-07-27,63.44,buy,2.0
2010-07-29,62.5,sell,4.0
2010-08-05,65.68,buy,2.0
2010-08-13,63.7,sell,4.0
2010-09-07,62.8,buy,2.0
2010-10-25,65.02,sell,4.0
2010-11-08,71.56,buy,2.0
2011-05-05,83.46,sell,4.0
2011-07-08,80.32,buy,2.0
2011-07-15,80.46,sell,4.0
2011-07-20,82.02,buy,2.0
2011-08-03,75.79,sell,4.0
2011-10-28,68.15,buy,2.0
2011-11-22,61.7,sell,4.0
2011-12-13,63.38,buy,2.0
2011-12-16,60.45,sell,4.0
2012-02-17,74.95,buy,2.0
2012-05-08,64.51,sell,4.0
2012-07-06,57.25,buy,2.0
2012-09-06,58.4,sell,4.0
2012-09-12,61.43,buy,2.0
2012-10-25,58.88,sell,4.0
2013-02-06,58.1,buy,2.0
2013-02-22,54.98,sell,4.0
2013-05-03,58.15,buy,2.0
2013-11-14,60.82,sell,4.0
2013-11-15,60.48,buy,2.0
2013-12-16,60.4,sell,4.0
2013-12-17,59.65,buy,1.0
2014-08-29,75.42,sell,3.0
2014-11-10,64.21,buy,2.0
2014-12-03,60.92,sell,4.0
2014-12-23,61.47,buy,2.0
2015-01-02,60.96,sell,4.0
2015-01-12,59.13,buy,2.0
2015-01-30,60.27,sell,4.0
2015-02-05,65.0,buy,2.0
2015-03-03,61.25,sell,4.0
2015-04-20,66.67,buy,2.0
2015-06-08,62.5,sell,4.0
2015-10-08,44.67,buy,2.0
2015-11-02,43.13,sell,4.0
2015-11-04,46.49,buy,2.0
2015-12-08,35.19,sell,4.0
2016-03-18,27.54,buy,2.0
2016-05-09,30.04,sell,4.0
2016-05-18,34.12,buy,2.0
2016-05-31,36.09,sell,4.0
2016-06-08,37.58,buy,2.0
2016-07-12,40.01,sell,4.0
2016-07-13,39.0,buy,2.0
2016-07-20,37.96,sell,4.0
2016-07-28,36.13,buy,2.0
2016-09-16,40.99,sell,4.0
2016-10-04,43.28,buy,2.0
2016-11-02,39.55,sell,4.0
2016-11-08,41.98,buy,2.0
2017-02-09,44.75,sell,4.0
2017-04-06,42.88,buy,2.0
2017-04-19,39.25,sell,4.0
2017-08-10,31.76,buy,2.0
2017-08-14,31.07,sell,4.0
2017-09-19,33.77,buy,2.0
2018-02-06,38.38,sell,4.0
2018-04-20,35.4,buy,2.0
2018-09-12,41.95,sell,4.0
2019-01-11,26.36,buy,2.0
2019-01-17,26.39,sell,4.0
2019-02-20,30.27,buy,2.0
2019-03-11,27.8,sell,4.0
2019-03-15,29.64,buy,2.0
2019-05-03,31.26,sell,4.0
2019-05-20,30.03,buy,2.0
2019-05-24,26.99,sell,4.0
2019-06-27,28.3,buy,2.0
2019-06-28,28.52,sell,4.0
2019-09-12,24.56,buy,2.0
2019-09-27,24.25,sell,4.0
2019-11-08,22.91,buy,2.0
2019-11-13,21.62,sell,4.0
2019-11-18,21.96,buy,2.0
2020-01-29,22.19,sell,4.0
2020-04-28,10.97,buy,2.0
2020-07-01,11.1,sell,4.0
2020-07-07,10.35,buy,2.0
2020-07-10,10.19,sell,4.0
2020-07-16,10.67,buy,2.0
2020-07-24,10.7,sell,4.0
2020-08-06,11.77,buy,2.0
2020-08-25,10.98,sell,4.0
2020-11-06,9.77,buy,1.0
2021-04-13,21.69,sell,3.0
2021-04-21,21.17,buy,2.0
2021-04-23,21.44,sell,4.0
2021-04-28,24.03,buy,2.0
2021-07-20,25.33,sell,4.0
2021-08-12,28.47,buy,2.0
2021-08-23,27.26,sell,4.0
2021-08-25,29.24,buy,1.0
2021-12-16,40.36,sell,3.0
2021-12-29,44.2,buy,1.0
2022-04-27,58.07,sell,3.0
2022-05-09,62.02,buy,2.0
2022-05-16,70.99,sell,4.0
2022-05-17,72.58,buy,2.0
2022-06-17,58.02,sell,4.0
2022-08-15,63.57,buy,2.0
2022-09-20,65.12,sell,4.0
2022-10-07,72.04,buy,2.0
2022-12-12,61.08,sell,4.0
2023-01-13,63.59,buy,2.0
2023-02-07,62.21,sell,4.0
2023-02-15,57.23,buy,2.0
2023-02-16,55.72,sell,4.0
2023-05-23,49.11,buy,2.0
2023-06-01,46.78,sell,4.0
2023-06-08,50.02,buy,2.0
2023-09-22,46.59,sell,4.0
2023-10-17,49.93,buy,2.0
2023-12-13,44.22,sell,4.0
2023-12-20,45.24,buy,2.0
2024-01-10,43.94,sell,4.0
2024-04-04,52.54,buy,2.0
2024-04-17,51.67,sell,4.0
2024-04-24,52.1,buy,2.0
2024-05-03,50.54,sell,4.0
2024-05-09,50.85,buy,2.0
2024-05-17,49.62,sell,4.0
2024-05-21,49.77,buy,2.0
2024-05-24,48.15,sell,4.0
2024-05-30,47.59,buy,2.0
2024-06-05,46.62,sell,4.0
2024-10-08,41.68,buy,2.0
2024-10-16,40.69,sell,4.0
