time,price,signal,label
2020-10-08,39.32,buy,2.0
2021-02-25,38.92,sell,4.0
2021-03-12,42.59,buy,2.0
2021-07-07,45.13,sell,4.0
2021-08-17,48.36,buy,2.0
2021-09-22,49.38,sell,4.0
2021-10-18,49.89,buy,2.0
2022-02-04,43.52,sell,4.0
2022-04-01,47.66,buy,2.0
2022-05-04,47.92,sell,4.0
2022-05-05,46.9,buy,2.0
2022-05-06,47.06,sell,4.0
2022-05-09,46.73,buy,2.0
2022-05-13,46.73,sell,4.0
2022-05-16,46.87,buy,2.0
2022-06-14,42.31,sell,4.0
2022-08-09,45.4,buy,2.0
2022-09-19,43.39,sell,4.0
2022-11-14,38.06,buy,2.0
2022-11-18,38.58,sell,4.0
2022-11-23,39.87,buy,2.0
2023-01-25,41.42,sell,4.0
2023-02-17,43.05,buy,2.0
2023-03-01,39.75,sell,4.0
2023-03-09,40.59,buy,2.0
2023-03-10,40.18,sell,4.0
2023-03-15,41.84,buy,2.0
2023-03-27,40.52,sell,4.0
2023-03-31,41.89,buy,2.0
2023-05-17,39.26,sell,4.0
2023-07-17,41.78,buy,2.0
2023-08-04,39.92,sell,4.0
2023-09-15,41.65,buy,2.0
2023-09-22,40.21,sell,4.0
2023-10-13,39.95,buy,2.0
2023-10-20,39.3,sell,4.0
2023-10-26,39.15,buy,2.0
2023-11-10,39.43,sell,4.0
2023-11-17,38.95,buy,2.0
2023-12-15,35.49,sell,4.0
2024-03-15,36.48,buy,2.0
2024-03-19,36.81,sell,4.0
2024-03-20,36.56,buy,2.0
2024-04-15,36.27,sell,4.0
2024-04-26,37.32,buy,2.0
2024-05-24,36.69,sell,4.0
2024-07-19,36.13,buy,2.0
2024-08-15,37.5,sell,4.0
2024-08-20,37.54,buy,2.0
2024-11-05,38.47,sell,4.0
2025-01-23,39.24,buy,2.0
2025-01-29,39.57,sell,4.0
