time,price,signal,label
1991-03-20,33.82,buy,1.0
1991-09-12,47.87,sell,3.0
1991-09-17,46.58,buy,1.0
1992-03-11,58.97,sell,3.0
1995-05-26,49.83,buy,2.0
1995-08-08,51.19,sell,4.0
2000-09-12,49.38,buy,2.0
2000-10-16,54.0,sell,4.0
2004-08-25,50.34,buy,2.0
2004-10-27,49.36,sell,4.0
2011-09-30,10.1,buy,1.0
2012-05-22,13.45,sell,3.0
2013-07-01,18.28,buy,2.0
2013-09-03,18.31,sell,4.0
2016-10-21,21.21,buy,1.0
2017-03-13,26.96,sell,3.0
2019-06-06,27.09,buy,2.0
2019-06-14,27.39,sell,4.0
2020-10-08,23.71,buy,1.0
2021-02-01,29.49,sell,3.0
2022-07-29,34.12,buy,2.0
2022-09-20,35.14,sell,4.0
2023-11-07,26.16,buy,1.0
2024-02-12,34.11,sell,3.0
