time,price,signal,label
1978-03-09,16.25,buy,2.0
1978-03-14,14.94,sell,4.0
1978-04-13,17.93,buy,1.0
1978-08-18,30.01,sell,3.0
1978-08-25,32.59,buy,2.0
1978-09-19,31.32,sell,4.0
1978-12-21,29.97,buy,2.0
1979-02-12,30.29,sell,4.0
1979-05-29,11.29,buy,2.0
1979-06-05,11.1,sell,4.0
1979-06-06,10.91,buy,1.0
1979-10-17,16.23,sell,3.0
1979-10-31,17.43,buy,1.0
1980-04-22,25.24,sell,3.0
1980-04-29,26.55,buy,2.0
1980-05-07,23.88,sell,4.0
1980-06-17,26.26,buy,2.0
1980-06-23,25.58,sell,4.0
1980-06-25,26.3,buy,2.0
1980-09-11,26.66,sell,4.0
1980-09-22,28.37,buy,2.0
1980-09-29,26.52,sell,4.0
1980-11-06,27.88,buy,2.0
1980-11-19,16.53,sell,4.0
1981-03-05,12.58,buy,2.0
1981-04-06,12.29,sell,4.0
1981-04-22,13.5,buy,2.0
1981-07-01,12.85,sell,4.0
1981-08-07,11.14,buy,2.0
1981-08-10,11.04,sell,4.0
1981-10-09,10.17,buy,2.0
1981-11-23,9.32,sell,4.0
1981-12-07,9.77,buy,2.0
1982-01-18,9.24,sell,4.0
1982-01-29,10.5,buy,2.0
1982-03-10,8.28,sell,4.0
1982-03-22,10.1,buy,2.0
1982-05-17,10.43,sell,4.0
1982-06-22,11.6,buy,2.0
1982-08-04,10.9,sell,4.0
1982-08-26,12.89,buy,2.0
1982-09-02,14.17,sell,4.0
1982-09-07,13.86,buy,2.0
1982-09-09,14.12,sell,4.0
1982-09-27,13.51,buy,2.0
1982-11-04,14.4,sell,4.0
1982-12-07,14.09,buy,1.0
1983-07-01,22.93,sell,3.0
1983-07-07,22.52,buy,2.0
1983-07-19,21.73,sell,4.0
1983-07-21,22.57,buy,2.0
1983-08-25,19.59,sell,4.0
1983-09-09,21.58,buy,2.0
1983-09-16,22.1,sell,4.0
1983-09-19,22.73,buy,2.0
1983-11-10,23.61,sell,4.0
1983-11-14,24.77,buy,2.0
1983-12-05,24.77,sell,4.0
1983-12-08,25.13,buy,2.0
1983-12-23,24.3,sell,4.0
1983-12-30,24.4,buy,2.0
1984-01-17,23.08,sell,4.0
1984-04-17,20.04,buy,2.0
1984-05-29,19.29,sell,4.0
1984-06-08,20.25,buy,2.0
1984-06-14,20.35,sell,4.0
1984-06-19,20.99,buy,2.0
1984-10-01,25.14,sell,4.0
1984-10-29,27.22,buy,2.0
1984-12-13,27.0,sell,4.0
1984-12-18,28.66,buy,2.0
1985-03-12,32.68,sell,4.0
1985-05-13,30.43,buy,2.0
1985-07-31,32.85,sell,4.0
1985-08-19,33.83,buy,2.0
1985-08-23,33.94,sell,4.0
1985-09-10,34.48,buy,2.0
1985-09-13,31.72,sell,4.0
1985-11-12,29.94,buy,2.0
1986-01-14,28.31,sell,4.0
1986-01-29,30.82,buy,2.0
1986-04-29,35.33,sell,4.0
1986-07-07,32.87,buy,2.0
1986-07-08,32.38,sell,4.0
1986-09-10,32.93,buy,2.0
1986-09-12,30.46,sell,4.0
1986-10-14,32.11,buy,2.0
1986-10-27,31.56,sell,4.0
1986-11-05,32.22,buy,2.0
1986-11-11,31.94,sell,4.0
1986-11-17,32.66,buy,2.0
1986-11-18,31.72,sell,4.0
1986-12-05,32.44,buy,2.0
1986-12-10,32.44,sell,4.0
1987-01-06,32.22,buy,2.0
1987-04-14,29.56,sell,4.0
1987-07-14,30.95,buy,2.0
1987-07-28,30.17,sell,4.0
1987-08-03,30.67,buy,2.0
1987-09-29,31.22,sell,4.0
1987-10-05,30.94,buy,2.0
1987-10-07,30.44,sell,4.0
1987-12-14,20.94,buy,2.0
1987-12-15,21.67,sell,4.0
1988-02-03,24.14,buy,2.0
1988-04-04,23.52,sell,4.0
1988-04-12,24.48,buy,2.0
1988-04-15,24.19,sell,4.0
1988-04-28,24.7,buy,2.0
1988-05-06,24.81,sell,4.0
1988-05-26,23.91,buy,2.0
1988-06-08,24.36,sell,4.0
1988-06-09,24.59,buy,2.0
1988-08-10,23.06,sell,4.0
1988-10-24,24.09,buy,2.0
1988-11-14,23.35,sell,4.0
1989-01-20,23.29,buy,2.0
1989-01-25,22.94,sell,4.0
1989-02-03,23.29,buy,2.0
1989-02-08,23.57,sell,4.0
1989-02-09,23.23,buy,2.0
1989-02-13,23.06,sell,4.0
1989-03-09,24.2,buy,2.0
1989-07-26,26.38,sell,4.0
1989-10-05,27.24,buy,2.0
1989-10-17,25.21,sell,4.0
1990-08-10,13.01,buy,2.0
1990-08-13,12.77,sell,4.0
1990-12-10,11.71,buy,2.0
1991-01-10,10.15,sell,4.0
1991-01-22,14.81,buy,2.0
1991-03-08,11.43,sell,4.0
1991-03-14,14.09,buy,1.0
1991-08-27,19.67,sell,3.0
1991-09-26,23.89,buy,2.0
1991-11-21,24.08,sell,4.0
1992-01-02,26.48,buy,2.0
1992-01-29,28.02,sell,4.0
1992-02-04,28.89,buy,2.0
1992-03-11,30.5,sell,4.0
1992-03-20,31.49,buy,2.0
1992-05-22,31.44,sell,4.0
1992-06-03,32.75,buy,1.0
1993-11-10,79.83,sell,3.0
1993-11-15,81.12,buy,2.0
1993-11-19,79.51,sell,4.0
1993-12-06,80.26,buy,2.0
1994-01-05,78.75,sell,4.0
1994-08-19,36.73,buy,2.0
1994-11-01,37.58,sell,4.0
1994-11-03,36.91,buy,2.0
1994-11-07,35.91,sell,4.0
1994-11-17,36.8,buy,2.0
1994-11-18,35.8,sell,4.0
1994-12-15,38.25,buy,2.0
1995-05-24,39.31,sell,4.0
1995-06-08,40.67,buy,1.0
1995-10-13,49.33,sell,3.0
1995-10-17,49.56,buy,2.0
1995-12-29,54.26,sell,4.0
1996-02-09,56.92,buy,2.0
1996-03-04,56.11,sell,4.0
1996-03-06,56.22,buy,2.0
1996-03-14,54.84,sell,4.0
1996-05-01,60.22,buy,2.0
1996-06-05,59.29,sell,4.0
1996-07-09,57.78,buy,2.0
1996-07-10,57.93,sell,4.0
1996-07-25,58.05,buy,2.0
1996-07-30,58.75,sell,4.0
1996-08-01,60.27,buy,2.0
1996-10-30,64.28,sell,4.0
1996-11-12,66.04,buy,2.0
1996-12-09,66.87,sell,4.0
1996-12-19,67.1,buy,2.0
1996-12-27,66.28,sell,4.0
1997-01-20,66.87,buy,2.0
1997-01-21,67.57,sell,4.0
1997-01-23,67.13,buy,2.0
1997-01-27,66.3,sell,4.0
1997-01-28,66.07,buy,2.0
1997-01-30,66.3,sell,4.0
1997-01-31,66.9,buy,2.0
1997-02-07,66.3,sell,4.0
1997-02-11,66.07,buy,2.0
1997-02-28,63.7,sell,4.0
1997-04-21,66.97,buy,2.0
1997-08-20,79.78,sell,4.0
1997-09-04,80.74,buy,2.0
1997-10-27,75.7,sell,4.0
1997-11-11,81.0,buy,2.0
1997-11-17,81.48,sell,4.0
1998-01-20,82.53,buy,2.0
1998-01-21,81.86,sell,4.0
1998-01-27,83.92,buy,2.0
1998-02-25,82.71,sell,4.0
