time,price,signal
2012-05-10 00:00:00,27.0,buy
2012-05-29 00:00:00,25.39,sell
2012-09-18 00:00:00,22.89,buy
2013-02-27 00:00:00,33.94,sell
2013-04-03 00:00:00,34.32,buy
2013-04-04 00:00:00,34.31,sell
2013-04-11 00:00:00,35.4,buy
2013-04-19 00:00:00,33.46,sell
2013-04-29 00:00:00,35.7,buy
2013-05-16 00:00:00,37.01,sell
2013-05-21 00:00:00,37.72,buy
2013-06-13 00:00:00,35.64,sell
2013-07-02 00:00:00,39.16,buy
2013-09-05 00:00:00,40.29,sell
2013-09-11 00:00:00,40.77,buy
2013-10-09 00:00:00,39.12,sell
2013-10-23 00:00:00,41.85,buy
2014-01-27 00:00:00,45.72,sell
2014-02-20 00:00:00,55.23,buy
2014-02-25 00:00:00,56.0,sell
2014-03-17 00:00:00,61.17,buy
2014-05-08 00:00:00,51.25,sell
2014-06-26 00:00:00,49.07,buy
2014-07-14 00:00:00,44.8,sell
2014-10-23 00:00:00,44.65,buy
2014-11-12 00:00:00,41.75,sell
2014-11-14 00:00:00,41.87,buy
2015-01-08 00:00:00,45.77,sell
2015-01-27 00:00:00,45.17,buy
2015-01-28 00:00:00,44.95,sell
2015-02-17 00:00:00,50.13,buy
2015-04-24 00:00:00,46.15,sell
2015-05-19 00:00:00,42.19,buy
2015-05-22 00:00:00,43.0,sell
2015-11-02 00:00:00,32.39,buy
2016-01-07 00:00:00,28.03,sell
2016-02-22 00:00:00,34.12,buy
2016-05-05 00:00:00,34.66,sell
2016-06-03 00:00:00,37.62,buy
2016-06-15 00:00:00,37.59,sell
2016-10-07 00:00:00,36.21,buy
2016-10-12 00:00:00,35.86,sell
2016-11-11 00:00:00,40.01,buy
2017-02-22 00:00:00,40.74,sell
2017-04-28 00:00:00,35.17,buy
2017-05-05 00:00:00,36.08,sell
2017-05-10 00:00:00,35.94,buy
2018-03-05 00:00:00,44.5,sell
2018-03-12 00:00:00,46.68,buy
2018-10-05 00:00:00,56.13,sell
2018-10-10 00:00:00,57.05,buy
2018-10-12 00:00:00,54.63,sell
2018-11-29 00:00:00,56.77,buy
2018-12-11 00:00:00,51.54,sell
2019-01-16 00:00:00,53.57,buy
2019-01-22 00:00:00,54.08,sell
2019-01-28 00:00:00,53.07,buy
2019-02-08 00:00:00,49.99,sell
2019-02-15 00:00:00,52.63,buy
2020-02-10 00:00:00,109.3,sell
2020-02-11 00:00:00,110.23,buy
2020-03-17 00:00:00,94.8,sell
2020-04-16 00:00:00,96.49,buy
2020-12-02 00:00:00,210.74,sell
2020-12-28 00:00:00,233.04,buy
2021-03-10 00:00:00,314.5,sell
2021-03-15 00:00:00,338.11,buy
2021-03-23 00:00:00,303.57,sell
2021-04-07 00:00:00,326.02,buy
2021-04-14 00:00:00,325.57,sell
2021-04-28 00:00:00,316.16,buy
2021-05-12 00:00:00,289.18,sell
2021-05-28 00:00:00,328.72,buy
2021-08-03 00:00:00,402.09,sell
2021-08-27 00:00:00,437.11,buy
2021-10-04 00:00:00,402.09,sell
2021-10-21 00:00:00,471.71,buy
2021-11-05 00:00:00,442.88,sell
2022-03-04 00:00:00,317.49,buy
2022-03-15 00:00:00,286.98,sell
2022-03-22 00:00:00,323.91,buy
2022-04-13 00:00:00,268.09,sell
2022-05-06 00:00:00,241.69,buy
2022-05-12 00:00:00,214.03,sell
2022-06-03 00:00:00,268.88,buy
2022-06-17 00:00:00,220.25,sell
2022-07-22 00:00:00,239.93,buy
2022-09-19 00:00:00,197.28,sell
2023-01-13 00:00:00,113.66,buy
2023-03-16 00:00:00,115.53,sell
2023-05-04 00:00:00,109.03,buy
2023-06-07 00:00:00,118.23,sell
2023-06-08 00:00:00,116.77,buy
2023-08-04 00:00:00,113.95,sell
2024-02-08 00:00:00,127.14,buy
2024-02-21 00:00:00,113.62,sell
2024-04-08 00:00:00,135.51,buy
2024-06-18 00:00:00,138.88,sell
2024-07-08 00:00:00,142.19,buy
2024-09-11 00:00:00,143.2,sell
2024-09-25 00:00:00,147.61,buy
2024-10-24 00:00:00,166.05,sell
2024-11-06 00:00:00,183.5,buy
2024-12-11 00:00:00,171.78,sell
