time,price,signal,label
1977-12-28,27.25,buy,2.0
1978-01-09,26.0,sell,4.0
1978-02-08,27.12,buy,2.0
1978-02-17,26.87,sell,4.0
1978-03-09,27.25,buy,1.0
1978-05-30,33.38,sell,3.0
1978-06-05,34.38,buy,2.0
1978-06-21,33.38,sell,4.0
1978-07-19,34.5,buy,2.0
1978-07-25,34.25,sell,4.0
1978-07-28,34.75,buy,2.0
1978-09-06,34.0,sell,4.0
1978-11-20,34.38,buy,2.0
1979-05-11,38.5,sell,4.0
1979-07-12,22.0,buy,2.0
1979-10-02,24.75,sell,4.0
1979-11-06,19.25,buy,2.0
1979-11-07,19.0,sell,4.0
1979-12-17,19.25,buy,2.0
1979-12-20,18.87,sell,4.0
1980-01-23,18.12,buy,2.0
1980-01-24,17.87,sell,4.0
1980-04-08,16.5,buy,1.0
1980-08-22,21.75,sell,3.0
1980-10-21,21.75,buy,2.0
1980-10-29,20.75,sell,4.0
1980-12-29,21.62,buy,2.0
1981-01-15,21.37,sell,4.0
1981-02-17,24.25,buy,2.0
1981-05-04,24.87,sell,4.0
1981-07-13,23.12,buy,2.0
1981-07-23,24.0,sell,4.0
1981-10-12,21.5,buy,2.0
1982-01-11,25.0,sell,4.0
1982-01-12,23.62,buy,1.0
1982-10-21,42.25,sell,3.0
1982-10-25,43.13,buy,2.0
1982-10-27,44.5,sell,4.0
1982-10-28,43.88,buy,2.0
1982-10-29,43.63,sell,4.0
1982-12-29,39.75,buy,2.0
1983-01-17,37.5,sell,4.0
1983-03-04,38.38,buy,2.0
1983-04-08,37.88,sell,4.0
1983-05-06,39.88,buy,2.0
1983-05-24,39.25,sell,4.0
1983-06-16,42.75,buy,2.0
1983-07-29,39.38,sell,4.0
1983-08-16,41.75,buy,2.0
1983-08-29,34.75,sell,4.0
1983-11-15,38.38,buy,2.0
1983-12-28,35.38,sell,4.0
1984-04-17,31.5,buy,2.0
1984-05-21,30.37,sell,4.0
1984-06-05,31.25,buy,2.0
1984-06-13,32.63,sell,4.0
1984-06-19,34.25,buy,2.0
1984-07-06,32.38,sell,4.0
1984-07-16,33.63,buy,2.0
1984-07-20,34.0,sell,4.0
1984-08-02,37.5,buy,2.0
1984-12-13,36.25,sell,4.0
1984-12-19,38.38,buy,2.0
1985-01-29,38.25,sell,4.0
1985-02-15,39.25,buy,2.0
1985-02-21,38.63,sell,4.0
1985-02-28,40.0,buy,2.0
1985-05-08,41.13,sell,4.0
1985-05-09,41.25,buy,2.0
1985-07-12,44.0,sell,4.0
1985-07-19,43.63,buy,2.0
1985-07-29,42.38,sell,4.0
1985-08-14,42.5,buy,2.0
1985-08-15,42.63,sell,4.0
1985-08-16,43.0,buy,2.0
1985-10-01,42.13,sell,4.0
1985-10-08,43.5,buy,2.0
1986-01-07,47.0,sell,4.0
1986-01-08,46.0,buy,2.0
1986-01-14,44.75,sell,4.0
1986-01-21,46.13,buy,2.0
1986-01-27,44.38,sell,4.0
1986-02-14,46.75,buy,2.0
1986-10-02,30.25,sell,4.0
1986-11-03,33.63,buy,2.0
1986-11-19,29.87,sell,4.0
1987-01-12,31.37,buy,2.0
1987-01-29,31.5,sell,4.0
1987-02-03,32.38,buy,2.0
1987-04-01,33.88,sell,4.0
1987-06-18,34.25,buy,2.0
1987-08-27,36.88,sell,4.0
1988-01-20,25.37,buy,2.0
1988-01-22,26.37,sell,4.0
1988-01-28,29.37,buy,2.0
1988-05-11,32.13,sell,4.0
1988-05-17,33.25,buy,2.0
1988-05-24,31.87,sell,4.0
1988-06-01,34.38,buy,2.0
1988-07-25,31.75,sell,4.0
1988-08-03,34.63,buy,2.0
1988-08-11,32.75,sell,4.0
1988-08-23,35.5,buy,2.0
1988-11-02,18.25,sell,4.0
1989-03-09,10.38,buy,1.0
1989-10-17,16.62,sell,3.0
1990-01-04,15.25,buy,2.0
1990-01-17,14.0,sell,4.0
1990-05-14,13.75,buy,2.0
1990-08-07,14.5,sell,4.0
1990-10-24,12.25,buy,2.0
1990-10-30,11.0,sell,4.0
1990-11-06,12.25,buy,2.0
1990-11-12,12.25,sell,4.0
1990-11-19,12.88,buy,1.0
1991-06-14,22.5,sell,3.0
1991-07-15,23.87,buy,2.0
1991-07-19,20.75,sell,4.0
1991-09-26,16.87,buy,2.0
1991-09-27,17.12,sell,4.0
