time,price,signal
1992-05-13 00:00:00,22.85,buy
1992-05-27 00:00:00,21.41,sell
1992-06-04 00:00:00,21.65,buy
1992-06-08 00:00:00,21.77,sell
1992-07-07 00:00:00,20.77,buy
1992-07-10 00:00:00,20.28,sell
1992-08-10 00:00:00,21.13,buy
1992-08-17 00:00:00,21.85,sell
1992-09-03 00:00:00,22.94,buy
1992-09-08 00:00:00,22.34,sell
1992-11-13 00:00:00,22.18,buy
1992-12-16 00:00:00,21.57,sell
1993-01-22 00:00:00,16.68,buy
1993-01-26 00:00:00,16.56,sell
1993-03-31 00:00:00,16.76,buy
1993-06-23 00:00:00,17.99,sell
1993-06-25 00:00:00,17.99,buy
1993-07-22 00:00:00,16.84,sell
1993-09-17 00:00:00,16.72,buy
1993-09-21 00:00:00,14.75,sell
1993-10-21 00:00:00,15.69,buy
1993-10-27 00:00:00,13.47,sell
1993-11-17 00:00:00,13.34,buy
1993-11-23 00:00:00,12.97,sell
1993-12-30 00:00:00,13.92,buy
1994-03-16 00:00:00,13.92,sell
1994-03-21 00:00:00,13.67,buy
1994-03-29 00:00:00,13.5,sell
1994-06-06 00:00:00,12.88,buy
1994-07-06 00:00:00,11.75,sell
1994-08-31 00:00:00,12.38,buy
1994-10-31 00:00:00,14.38,sell
1994-12-19 00:00:00,13.13,buy
1995-01-05 00:00:00,12.62,sell
1995-02-08 00:00:00,13.75,buy
1995-05-03 00:00:00,13.0,sell
1995-06-08 00:00:00,12.62,buy
1995-06-14 00:00:00,12.88,sell
1995-06-15 00:00:00,12.88,buy
1995-07-21 00:00:00,13.13,sell
1995-07-27 00:00:00,13.0,buy
1995-09-19 00:00:00,10.0,sell
1995-12-28 00:00:00,9.13,buy
1996-01-12 00:00:00,8.38,sell
1996-01-30 00:00:00,8.25,buy
1996-01-31 00:00:00,8.38,sell
1996-02-01 00:00:00,8.25,buy
1996-02-02 00:00:00,8.25,sell
1996-02-21 00:00:00,7.88,buy
1996-02-22 00:00:00,7.88,sell
1996-03-25 00:00:00,7.88,buy
1996-05-14 00:00:00,7.75,sell
1996-06-13 00:00:00,8.25,buy
1996-06-14 00:00:00,8.38,sell
1996-06-17 00:00:00,8.0,buy
1996-06-21 00:00:00,7.63,sell
1996-12-11 00:00:00,3.63,buy
1997-01-06 00:00:00,2.88,sell
1997-01-28 00:00:00,3.0,buy
1997-04-18 00:00:00,3.13,sell
1997-05-01 00:00:00,3.25,buy
1997-05-15 00:00:00,3.13,sell
1997-05-22 00:00:00,3.75,buy
1997-05-30 00:00:00,2.88,sell
1997-10-09 00:00:00,2.81,buy
1997-10-28 00:00:00,2.5,sell
1998-01-23 00:00:00,2.06,buy
1998-03-17 00:00:00,2.0,sell
1998-04-28 00:00:00,2.44,buy
1998-06-11 00:00:00,2.13,sell
1998-06-26 00:00:00,2.31,buy
1998-07-31 00:00:00,2.13,sell
1998-10-21 00:00:00,1.69,buy
1998-11-05 00:00:00,1.69,sell
1998-11-11 00:00:00,1.63,buy
1998-11-16 00:00:00,1.56,sell
1999-01-21 00:00:00,1.69,buy
1999-03-15 00:00:00,1.63,sell
1999-03-23 00:00:00,1.63,buy
1999-03-24 00:00:00,1.63,sell
1999-04-13 00:00:00,1.94,buy
1999-08-10 00:00:00,2.69,sell
1999-10-11 00:00:00,2.69,buy
1999-10-18 00:00:00,2.56,sell
1999-10-25 00:00:00,2.81,buy
2000-02-01 00:00:00,3.31,sell
2000-02-04 00:00:00,3.38,buy
2000-02-07 00:00:00,3.81,sell
2000-02-08 00:00:00,4.13,buy
2001-01-03 00:00:00,37.94,sell
2001-06-05 00:00:00,39.79,buy
2001-08-08 00:00:00,40.58,sell
2001-08-27 00:00:00,43.15,buy
2001-09-04 00:00:00,40.3,sell
2001-09-28 00:00:00,40.42,buy
2001-11-09 00:00:00,39.92,sell
2002-02-11 00:00:00,43.28,buy
2002-02-26 00:00:00,41.25,sell
2002-03-07 00:00:00,43.0,buy
2002-06-20 00:00:00,48.5,sell
2002-09-18 00:00:00,33.92,buy
2002-10-08 00:00:00,19.19,sell
2002-11-18 00:00:00,23.65,buy
2002-12-23 00:00:00,23.58,sell
2003-01-02 00:00:00,23.99,buy
2003-04-11 00:00:00,28.55,sell
2003-05-02 00:00:00,30.02,buy
2003-06-09 00:00:00,28.75,sell
2003-07-15 00:00:00,31.35,buy
2003-07-16 00:00:00,31.0,sell
2003-10-27 00:00:00,33.8,buy
2004-02-19 00:00:00,37.93,sell
2004-05-27 00:00:00,40.83,buy
2004-06-29 00:00:00,39.78,sell
2004-07-26 00:00:00,39.81,buy
2004-10-19 00:00:00,41.1,sell
2004-10-27 00:00:00,44.8,buy
2007-10-23 00:00:00,77.46,sell
2007-10-25 00:00:00,69.5,buy
2007-10-26 00:00:00,69.54,sell
2007-12-05 00:00:00,72.64,buy
2008-01-25 00:00:00,73.5,sell
2008-02-11 00:00:00,79.22,buy
2008-03-24 00:00:00,74.9,sell
2008-03-25 00:00:00,74.5,buy
2008-04-28 00:00:00,75.46,sell
2008-08-13 00:00:00,72.16,buy
2008-09-30 00:00:00,69.5,sell
2009-01-05 00:00:00,65.66,buy
2009-01-08 00:00:00,60.72,sell
2009-02-20 00:00:00,62.12,buy
2009-02-27 00:00:00,55.01,sell
2009-03-18 00:00:00,57.81,buy
2009-05-20 00:00:00,61.48,sell
2009-06-19 00:00:00,66.76,buy
2010-01-28 00:00:00,71.21,sell
2010-02-22 00:00:00,73.97,buy
2010-03-08 00:00:00,72.04,sell
2010-03-18 00:00:00,76.17,buy
2010-06-11 00:00:00,78.24,sell
2010-06-14 00:00:00,78.81,buy
2010-07-23 00:00:00,72.96,sell
2010-07-26 00:00:00,74.4,buy
2010-09-08 00:00:00,74.31,sell
2010-09-09 00:00:00,75.79,buy
2010-09-14 00:00:00,74.82,sell
2010-09-30 00:00:00,78.43,buy
2011-02-17 00:00:00,87.89,sell
2011-04-04 00:00:00,93.56,buy
2011-05-09 00:00:00,98.48,sell
2011-05-13 00:00:00,99.73,buy
2011-05-27 00:00:00,99.98,sell
2011-05-31 00:00:00,100.83,buy
2011-06-06 00:00:00,96.2,sell
2011-07-07 00:00:00,99.06,buy
2011-07-14 00:00:00,95.19,sell
2011-12-05 00:00:00,86.34,buy
