time,price,signal
2017-11-07 00:00:00,51.66,buy
2018-02-06 00:00:00,55.8,sell
2018-02-14 00:00:00,54.24,buy
2018-02-22 00:00:00,53.75,sell
2018-03-07 00:00:00,56.31,buy
2018-08-21 00:00:00,65.24,sell
2018-10-04 00:00:00,73.25,buy
2018-12-11 00:00:00,75.17,sell
2018-12-12 00:00:00,76.39,buy
2018-12-21 00:00:00,73.6,sell
2019-01-03 00:00:00,72.98,buy
2019-01-08 00:00:00,70.91,sell
2019-03-26 00:00:00,73.0,buy
2019-04-24 00:00:00,69.29,sell
2019-07-17 00:00:00,67.08,buy
2019-07-19 00:00:00,68.57,sell
2019-07-30 00:00:00,67.54,buy
2019-10-29 00:00:00,77.02,sell
2019-11-01 00:00:00,77.57,buy
2020-03-04 00:00:00,88.09,sell
2020-04-15 00:00:00,55.91,buy
2020-04-20 00:00:00,57.51,sell
2020-05-01 00:00:00,58.35,buy
2020-05-06 00:00:00,59.0,sell
2020-05-13 00:00:00,54.78,buy
2020-05-18 00:00:00,56.37,sell
2020-05-26 00:00:00,60.7,buy
2020-07-31 00:00:00,60.08,sell
2020-08-28 00:00:00,64.19,buy
2020-11-03 00:00:00,67.23,sell
2020-11-05 00:00:00,67.76,buy
2020-11-13 00:00:00,71.93,sell
2020-12-08 00:00:00,77.5,buy
2021-04-12 00:00:00,78.69,sell
2021-04-30 00:00:00,80.5,buy
2021-05-06 00:00:00,78.05,sell
2021-05-26 00:00:00,80.68,buy
2021-06-24 00:00:00,80.03,sell
2021-06-28 00:00:00,79.88,buy
2021-07-20 00:00:00,75.98,sell
2021-11-18 00:00:00,56.9,buy
2021-11-23 00:00:00,57.11,sell
2021-12-10 00:00:00,57.05,buy
2022-01-26 00:00:00,63.72,sell
2022-02-09 00:00:00,66.58,buy
2022-02-25 00:00:00,67.84,sell
2022-02-28 00:00:00,66.43,buy
2022-03-08 00:00:00,51.76,sell
2022-05-04 00:00:00,65.89,buy
2022-05-09 00:00:00,62.72,sell
2022-06-06 00:00:00,68.98,buy
2022-06-07 00:00:00,69.05,sell
2022-06-24 00:00:00,71.91,buy
2023-03-15 00:00:00,97.99,sell
2023-03-28 00:00:00,101.68,buy
2023-05-26 00:00:00,109.45,sell
2023-06-06 00:00:00,113.49,buy
2023-07-27 00:00:00,102.2,sell
2023-12-06 00:00:00,101.0,buy
2024-01-31 00:00:00,102.44,sell
2024-04-02 00:00:00,103.81,buy
2024-04-05 00:00:00,79.78,sell
2024-08-26 00:00:00,62.24,buy
2025-01-08 00:00:00,60.89,sell
