time,price,signal,label
2017-11-07,51.66,buy,2.0
2018-02-06,55.8,sell,4.0
2018-02-14,54.24,buy,2.0
2018-02-22,53.75,sell,4.0
2018-03-07,56.31,buy,2.0
2018-08-21,65.24,sell,4.0
2018-10-04,73.25,buy,2.0
2018-12-11,75.17,sell,4.0
2018-12-12,76.39,buy,2.0
2018-12-21,73.6,sell,4.0
2019-01-03,72.98,buy,2.0
2019-01-08,70.91,sell,4.0
2019-03-26,73.0,buy,2.0
2019-04-24,69.29,sell,4.0
2019-07-17,67.08,buy,2.0
2019-07-19,68.57,sell,4.0
2019-07-30,67.54,buy,2.0
2019-10-29,77.02,sell,4.0
2019-11-01,77.57,buy,2.0
2020-03-04,88.09,sell,4.0
2020-04-15,55.91,buy,2.0
2020-04-20,57.51,sell,4.0
2020-05-01,58.35,buy,2.0
2020-05-06,59.0,sell,4.0
2020-05-13,54.78,buy,2.0
2020-05-18,56.37,sell,4.0
2020-05-26,60.7,buy,2.0
2020-07-31,60.08,sell,4.0
2020-08-28,64.19,buy,2.0
2020-11-03,67.23,sell,4.0
2020-11-05,67.76,buy,2.0
2020-11-13,71.93,sell,4.0
2020-12-08,77.5,buy,2.0
2021-04-12,78.69,sell,4.0
2021-04-30,80.5,buy,2.0
2021-05-06,78.05,sell,4.0
2021-05-26,80.68,buy,2.0
2021-06-24,80.03,sell,4.0
2021-06-28,79.88,buy,2.0
2021-07-20,75.98,sell,4.0
2021-11-18,56.9,buy,2.0
2021-11-23,57.11,sell,4.0
2021-12-10,57.05,buy,2.0
2022-01-26,63.72,sell,4.0
2022-02-09,66.58,buy,2.0
2022-02-25,67.84,sell,4.0
2022-02-28,66.43,buy,2.0
2022-03-08,51.76,sell,4.0
2022-05-04,65.89,buy,2.0
2022-05-09,62.72,sell,4.0
2022-06-06,68.98,buy,2.0
2022-06-07,69.05,sell,4.0
2022-06-24,71.91,buy,1.0
2023-03-15,97.99,sell,3.0
2023-03-28,101.68,buy,2.0
2023-05-26,109.45,sell,4.0
2023-06-06,113.49,buy,2.0
2023-07-27,102.2,sell,4.0
2023-12-06,101.0,buy,2.0
2024-01-31,102.44,sell,4.0
2024-04-02,103.81,buy,2.0
2024-04-05,79.78,sell,4.0
2024-08-26,62.24,buy,2.0
2025-01-08,60.89,sell,4.0
