time,price,signal
2008-03-13 00:00:00,209.72,buy
2008-04-10 00:00:00,228.92,sell
2008-04-18 00:00:00,233.71,buy
2008-07-08 00:00:00,264.25,sell
2008-07-23 00:00:00,271.0,buy
2008-07-25 00:00:00,263.55,sell
2008-12-15 00:00:00,139.29,buy
2008-12-16 00:00:00,148.1,sell
2008-12-19 00:00:00,152.34,buy
2008-12-31 00:00:00,142.93,sell
2009-01-07 00:00:00,152.07,buy
2009-01-16 00:00:00,128.22,sell
2009-02-09 00:00:00,162.02,buy
2009-04-21 00:00:00,164.37,sell
2009-05-01 00:00:00,172.9,buy
2009-05-04 00:00:00,178.99,sell
2009-05-05 00:00:00,183.41,buy
2009-05-14 00:00:00,173.35,sell
2009-07-16 00:00:00,178.27,buy
2009-09-30 00:00:00,202.15,sell
2009-11-03 00:00:00,218.04,buy
2010-02-09 00:00:00,223.45,sell
2010-03-08 00:00:00,245.61,buy
2010-05-04 00:00:00,251.25,sell
2010-06-21 00:00:00,223.34,buy
2010-07-06 00:00:00,200.03,sell
2010-07-12 00:00:00,213.67,buy
2010-09-14 00:00:00,199.75,sell
2010-09-16 00:00:00,210.29,buy
2010-12-17 00:00:00,221.26,sell
2011-02-09 00:00:00,248.5,buy
2011-02-24 00:00:00,244.18,sell
2011-03-04 00:00:00,249.75,buy
2011-05-27 00:00:00,285.24,sell
2011-06-02 00:00:00,281.6,buy
2011-06-08 00:00:00,270.0,sell
2011-06-30 00:00:00,301.34,buy
2011-10-10 00:00:00,325.81,sell
2011-10-12 00:00:00,327.99,buy
2012-01-09 00:00:00,345.82,sell
2012-02-06 00:00:00,391.31,buy
2012-05-11 00:00:00,422.4,sell
2012-07-03 00:00:00,441.77,buy
2012-07-25 00:00:00,412.33,sell
2012-08-02 00:00:00,423.43,buy
2012-08-07 00:00:00,416.02,sell
2012-09-11 00:00:00,442.87,buy
2012-10-31 00:00:00,460.93,sell
2012-11-07 00:00:00,464.7,buy
2012-11-08 00:00:00,461.8,sell
2012-11-26 00:00:00,480.03,buy
2014-01-24 00:00:00,78.51,sell
2014-04-24 00:00:00,74.35,buy
2014-08-05 00:00:00,75.2,sell
2014-08-07 00:00:00,74.06,buy
2014-09-16 00:00:00,76.59,sell
2014-09-19 00:00:00,77.28,buy
2014-09-30 00:00:00,73.92,sell
2014-10-31 00:00:00,83.75,buy
2015-08-24 00:00:00,87.83,sell
2015-10-09 00:00:00,95.82,buy
2016-01-07 00:00:00,91.64,sell
2016-02-22 00:00:00,87.82,buy
2016-06-16 00:00:00,94.08,sell
2016-07-20 00:00:00,93.3,buy
2016-12-07 00:00:00,105.25,sell
2016-12-12 00:00:00,103.28,buy
2016-12-13 00:00:00,103.32,sell
2016-12-14 00:00:00,103.28,buy
2017-02-07 00:00:00,106.6,sell
2017-02-10 00:00:00,107.27,buy
2017-03-09 00:00:00,110.79,sell
2017-03-17 00:00:00,112.83,buy
2017-12-07 00:00:00,149.45,sell
2017-12-12 00:00:00,152.5,buy
2018-08-01 00:00:00,201.2,sell
2018-08-29 00:00:00,214.57,buy
2018-10-09 00:00:00,209.76,sell
2018-11-12 00:00:00,199.14,buy
2018-11-15 00:00:00,200.71,sell
2018-11-30 00:00:00,201.07,buy
2018-12-24 00:00:00,174.65,sell
2019-01-02 00:00:00,189.74,buy
2019-08-08 00:00:00,278.04,sell
2019-08-30 00:00:00,281.37,buy
2019-09-13 00:00:00,276.32,sell
2019-10-07 00:00:00,272.19,buy
2020-02-28 00:00:00,290.25,sell
2020-03-31 00:00:00,241.56,buy
2020-04-02 00:00:00,238.88,sell
2020-04-14 00:00:00,270.72,buy
2020-04-17 00:00:00,259.97,sell
2020-04-29 00:00:00,283.69,buy
2020-09-14 00:00:00,338.6,sell
2020-09-16 00:00:00,341.85,buy
2020-10-23 00:00:00,329.61,sell
2020-11-11 00:00:00,332.39,buy
2020-11-19 00:00:00,333.88,sell
2020-11-24 00:00:00,342.39,buy
2021-05-10 00:00:00,366.34,sell
2021-05-13 00:00:00,360.02,buy
2021-06-02 00:00:00,366.85,sell
2021-06-25 00:00:00,379.61,buy
2021-06-30 00:00:00,365.09,sell
2021-07-16 00:00:00,387.12,buy
2021-08-09 00:00:00,370.68,sell
2021-09-28 00:00:00,351.18,buy
2021-10-11 00:00:00,347.15,sell
2021-10-20 00:00:00,356.77,buy
2021-11-02 00:00:00,328.48,sell
2021-11-17 00:00:00,359.17,buy
2021-11-18 00:00:00,348.22,sell
2021-12-10 00:00:00,349.92,buy
2022-01-31 00:00:00,386.38,sell
2022-02-02 00:00:00,396.75,buy
2022-02-24 00:00:00,369.38,sell
2022-03-18 00:00:00,350.09,buy
2022-04-05 00:00:00,363.32,sell
2022-04-21 00:00:00,364.44,buy
2022-05-10 00:00:00,325.33,sell
2022-10-31 00:00:00,328.18,buy
2023-02-28 00:00:00,355.29,sell
2023-03-06 00:00:00,366.93,buy
2023-03-09 00:00:00,354.44,sell
2023-04-06 00:00:00,361.47,buy
2023-05-30 00:00:00,367.5,sell
2023-07-07 00:00:00,388.68,buy
2023-09-27 00:00:00,395.48,sell
2023-11-06 00:00:00,386.16,buy
2024-04-22 00:00:00,456.75,sell
2024-05-15 00:00:00,458.0,buy
2024-05-28 00:00:00,445.08,sell
2024-06-21 00:00:00,454.85,buy
2024-07-25 00:00:00,429.6,sell
2024-08-01 00:00:00,462.41,buy
2025-01-13 00:00:00,504.91,sell
