time,price,signal,label
2016-11-15,17.16,buy,2.0
2016-11-16,17.28,sell,4.0
2016-12-09,18.16,buy,2.0
2016-12-20,17.71,sell,4.0
2017-01-10,18.28,buy,2.0
2017-02-01,16.52,sell,4.0
2017-03-31,16.33,buy,2.0
2017-06-13,17.66,sell,4.0
2017-07-20,18.54,buy,1.0
2017-12-08,29.38,sell,3.0
2017-12-19,30.83,buy,2.0
2018-05-04,34.82,sell,4.0
2018-05-23,40.8,buy,2.0
2018-06-04,42.34,sell,4.0
2018-06-07,40.87,buy,2.0
2018-06-28,39.17,sell,4.0
2018-08-09,49.28,buy,2.0
2018-10-30,49.89,sell,4.0
2018-11-05,51.19,buy,2.0
2018-11-09,42.71,sell,4.0
2019-01-08,44.78,buy,1.0
2019-09-11,74.83,sell,3.0
2019-12-20,79.86,buy,2.0
2020-01-28,83.96,sell,4.0
2020-03-30,66.67,buy,1.0
2020-07-08,94.2,sell,3.0
2020-07-31,102.7,buy,2.0
2020-09-09,105.56,sell,4.0
2020-10-02,111.94,buy,1.0
2021-01-26,138.42,sell,3.0
2021-02-09,158.87,buy,2.0
2021-03-17,154.41,sell,4.0
2021-03-23,145.89,buy,2.0
2021-03-25,134.6,sell,4.0
2021-04-28,159.13,buy,2.0
2021-05-07,146.19,sell,4.0
2021-05-12,141.62,buy,2.0
2021-05-13,138.4,sell,4.0
2021-05-25,144.26,buy,2.0
2021-06-07,143.48,sell,4.0
2021-06-11,141.57,buy,2.0
2021-08-10,139.0,sell,4.0
2021-09-13,162.01,buy,2.0
2021-09-21,151.92,sell,4.0
2021-09-28,156.49,buy,2.0
2021-10-05,154.5,sell,4.0
2021-10-06,157.31,buy,2.0
2021-10-27,158.46,sell,4.0
2022-03-24,107.06,buy,2.0
2022-04-12,94.13,sell,4.0
2022-06-09,80.42,buy,2.0
2022-06-13,72.32,sell,4.0
2022-08-02,76.71,buy,2.0
2022-08-05,67.78,sell,4.0
2022-09-16,55.37,buy,2.0
2022-09-19,54.39,sell,4.0
2022-11-17,47.03,buy,2.0
2022-11-25,47.27,sell,4.0
2023-01-13,46.13,buy,2.0
2023-02-15,45.57,sell,4.0
2023-03-23,39.72,buy,2.0
2023-04-11,36.1,sell,4.0
2023-04-14,35.36,buy,2.0
2023-05-09,31.91,sell,4.0
2023-06-06,39.72,buy,2.0
2023-09-13,42.51,sell,4.0
2023-11-24,32.03,buy,2.0
2023-11-29,32.48,sell,4.0
2023-11-30,32.38,buy,2.0
2023-12-08,32.1,sell,4.0
2023-12-15,34.3,buy,2.0
2024-01-23,36.55,sell,4.0
2024-01-29,38.38,buy,2.0
2024-02-06,36.04,sell,4.0
2024-06-07,32.02,buy,2.0
2024-08-14,34.17,sell,4.0
2024-08-15,35.64,buy,2.0
2024-11-01,35.69,sell,4.0
2025-01-28,35.42,buy,2.0
2025-02-11,33.93,sell,4.0
