time,price,signal
1984-08-27 00:00:00,34.75,buy
1984-10-05 00:00:00,30.87,sell
1984-10-18 00:00:00,30.25,buy
1984-10-31 00:00:00,31.0,sell
1984-12-19 00:00:00,31.0,buy
1985-03-11 00:00:00,33.75,sell
1985-05-13 00:00:00,35.0,buy
1985-06-14 00:00:00,34.25,sell
1985-06-25 00:00:00,36.5,buy
1985-09-13 00:00:00,43.5,sell
1985-11-07 00:00:00,46.25,buy
1986-06-13 00:00:00,65.75,sell
1986-06-17 00:00:00,65.0,buy
1986-06-19 00:00:00,43.13,sell
1986-10-15 00:00:00,34.25,buy
1986-11-17 00:00:00,30.5,sell
1986-11-28 00:00:00,32.0,buy
1986-12-03 00:00:00,32.25,sell
1986-12-12 00:00:00,32.0,buy
1986-12-22 00:00:00,29.37,sell
1987-01-06 00:00:00,35.25,buy
1987-03-03 00:00:00,34.5,sell
1987-03-04 00:00:00,34.63,buy
1987-03-05 00:00:00,35.63,sell
1987-03-09 00:00:00,35.63,buy
1987-03-16 00:00:00,35.38,sell
1987-03-24 00:00:00,35.5,buy
1987-03-27 00:00:00,34.25,sell
1987-04-02 00:00:00,35.25,buy
1987-09-02 00:00:00,41.75,sell
1987-09-24 00:00:00,46.88,buy
1987-10-19 00:00:00,34.38,sell
1987-12-11 00:00:00,32.75,buy
1988-04-21 00:00:00,38.13,sell
1988-05-17 00:00:00,39.63,buy
1988-05-20 00:00:00,37.38,sell
1988-06-09 00:00:00,40.75,buy
1988-08-11 00:00:00,45.5,sell
1988-09-12 00:00:00,43.5,buy
1988-09-13 00:00:00,43.25,sell
1988-10-27 00:00:00,44.13,buy
1988-11-03 00:00:00,44.38,sell
1988-11-09 00:00:00,42.88,buy
1988-11-14 00:00:00,42.5,sell
1988-12-22 00:00:00,46.75,buy
1989-01-05 00:00:00,45.38,sell
1989-01-13 00:00:00,47.0,buy
1989-03-06 00:00:00,48.0,sell
1989-03-15 00:00:00,49.38,buy
1989-03-28 00:00:00,46.88,sell
