time,price,signal
2023-02-15 00:00:00,24.54,buy
2023-02-28 00:00:00,21.42,sell
2023-03-09 00:00:00,20.86,buy
2023-03-10 00:00:00,19.89,sell
2023-04-11 00:00:00,22.88,buy
2023-05-16 00:00:00,14.95,sell
2023-06-13 00:00:00,16.62,buy
2023-06-27 00:00:00,15.88,sell
2023-11-10 00:00:00,12.1,buy
2023-11-13 00:00:00,12.0,sell
2023-11-21 00:00:00,14.06,buy
2023-12-29 00:00:00,14.79,sell
2024-03-18 00:00:00,11.2,buy
2024-03-19 00:00:00,11.19,sell
2024-05-03 00:00:00,12.89,buy
2024-05-28 00:00:00,12.01,sell
2024-06-03 00:00:00,12.8,buy
2024-06-05 00:00:00,12.08,sell
2024-11-01 00:00:00,10.98,buy
2024-11-25 00:00:00,11.12,sell
2024-11-26 00:00:00,10.64,buy
2024-12-04 00:00:00,11.02,sell
2024-12-11 00:00:00,11.19,buy
2024-12-18 00:00:00,10.68,sell
