time,price,signal
1977-12-28 00:00:00,27.87,buy
1978-01-10 00:00:00,26.0,sell
1978-03-15 00:00:00,25.75,buy
1978-05-30 00:00:00,29.87,sell
1978-06-09 00:00:00,32.0,buy
1978-06-14 00:00:00,30.5,sell
1978-07-19 00:00:00,30.63,buy
1978-07-24 00:00:00,30.0,sell
1978-08-04 00:00:00,33.25,buy
1978-09-19 00:00:00,30.0,sell
1979-06-12 00:00:00,23.88,buy
1979-07-10 00:00:00,24.5,sell
1979-07-16 00:00:00,24.63,buy
1979-07-25 00:00:00,24.0,sell
1979-07-30 00:00:00,25.12,buy
1979-10-16 00:00:00,24.87,sell
1979-12-17 00:00:00,26.0,buy
1979-12-20 00:00:00,24.87,sell
1980-04-03 00:00:00,23.37,buy
1980-04-18 00:00:00,21.5,sell
1980-04-25 00:00:00,23.5,buy
1980-09-29 00:00:00,24.5,sell
1980-12-29 00:00:00,26.38,buy
1981-05-04 00:00:00,32.88,sell
1981-06-15 00:00:00,37.12,buy
1981-06-19 00:00:00,35.0,sell
1981-06-30 00:00:00,35.38,buy
1981-07-01 00:00:00,34.88,sell
1981-08-26 00:00:00,33.5,buy
1981-08-27 00:00:00,33.38,sell
1981-09-16 00:00:00,32.37,buy
1981-10-01 00:00:00,32.12,sell
1981-10-07 00:00:00,34.0,buy
1981-12-10 00:00:00,35.63,sell
1982-01-26 00:00:00,35.0,buy
1982-02-18 00:00:00,34.62,sell
1982-03-26 00:00:00,36.12,buy
1982-06-08 00:00:00,37.12,sell
1982-06-11 00:00:00,38.25,buy
1982-06-22 00:00:00,38.0,sell
1982-06-30 00:00:00,38.5,buy
1982-07-01 00:00:00,38.5,sell
1982-07-13 00:00:00,39.88,buy
1982-07-30 00:00:00,39.0,sell
1982-08-19 00:00:00,39.88,buy
1982-10-21 00:00:00,42.87,sell
1982-12-08 00:00:00,41.12,buy
1982-12-09 00:00:00,40.62,sell
1983-03-04 00:00:00,38.0,buy
1983-03-14 00:00:00,34.62,sell
1983-04-21 00:00:00,39.0,buy
1983-06-10 00:00:00,35.63,sell
1983-06-24 00:00:00,36.0,buy
1983-06-30 00:00:00,35.63,sell
1983-09-23 00:00:00,35.13,buy
1983-12-05 00:00:00,36.62,sell
1983-12-27 00:00:00,37.5,buy
1984-01-16 00:00:00,36.75,sell
1984-02-29 00:00:00,36.75,buy
1984-03-12 00:00:00,36.62,sell
1984-03-16 00:00:00,37.5,buy
1984-03-21 00:00:00,36.5,sell
1984-03-30 00:00:00,38.62,buy
1984-10-10 00:00:00,42.13,sell
1984-10-11 00:00:00,43.0,buy
1984-12-06 00:00:00,40.87,sell
1985-01-28 00:00:00,42.75,buy
1985-07-30 00:00:00,56.13,sell
1985-10-11 00:00:00,63.62,buy
1985-12-24 00:00:00,70.12,sell
1986-01-31 00:00:00,71.0,buy
1986-05-30 00:00:00,33.87,sell
1986-10-21 00:00:00,27.0,buy
1986-11-14 00:00:00,28.0,sell
1987-01-12 00:00:00,27.87,buy
1987-04-15 00:00:00,31.5,sell
1987-05-28 00:00:00,34.62,buy
1987-09-09 00:00:00,37.75,sell
1987-09-29 00:00:00,39.12,buy
1987-10-12 00:00:00,36.38,sell
