time,price,signal,label
1988-02-02,26.44,buy,2.0
1988-03-16,25.85,sell,4.0
1990-04-27,34.01,buy,1.0
1990-08-08,45.0,sell,3.0
1992-03-30,47.24,buy,2.0
1992-04-06,46.64,sell,4.0
1992-04-14,47.24,buy,1.0
1992-09-01,59.32,sell,3.0
1994-12-16,34.25,buy,2.0
1995-01-05,34.38,sell,4.0
1996-04-23,45.1,buy,1.0
1997-02-27,65.32,sell,3.0
1997-04-22,71.34,buy,1.0
1997-11-14,100.25,sell,3.0
1997-11-19,102.49,buy,1.0
1998-07-28,128.95,sell,3.0
1998-10-19,130.02,buy,2.0
1999-01-28,124.79,sell,4.0
2000-03-20,60.13,buy,1.0
2000-07-17,76.09,sell,3.0
2001-04-17,8.0,buy,1.0
2001-09-10,10.36,sell,3.0
2003-03-10,13.09,buy,2.0
2003-03-11,12.82,sell,4.0
2012-02-02,20.96,buy,2.0
2012-04-24,21.41,sell,4.0
2014-02-19,23.75,buy,2.0
2014-02-20,23.97,sell,4.0
2016-08-08,34.14,buy,2.0
2016-08-23,32.33,sell,4.0
2016-11-10,33.0,buy,1.0
2017-09-06,44.94,sell,3.0
2019-05-23,79.71,buy,2.0
2019-10-22,68.77,sell,4.0
2023-02-01,137.98,buy,2.0
2023-03-13,139.53,sell,4.0
2023-07-26,126.23,buy,1.0
2023-12-20,155.56,sell,3.0
2023-12-26,157.38,buy,1.0
2024-11-01,242.72,sell,3.0
