time,price,signal,label
2002-01-03,18.29,buy,2.0
2002-01-18,16.83,sell,4.0
2002-02-28,19.18,buy,2.0
2002-06-05,19.64,sell,4.0
2002-06-20,19.54,buy,2.0
2002-07-02,18.82,sell,4.0
2002-07-31,19.0,buy,2.0
2002-10-03,17.43,sell,4.0
2002-11-26,17.23,buy,2.0
2003-01-27,16.99,sell,4.0
2003-03-19,18.0,buy,2.0
2003-05-20,18.17,sell,4.0
2003-06-06,17.68,buy,2.0
2003-06-10,17.5,sell,4.0
2003-06-18,18.15,buy,2.0
2003-09-29,19.61,sell,4.0
2003-10-07,19.98,buy,2.0
2003-10-22,19.1,sell,4.0
2003-12-08,21.24,buy,2.0
2004-01-26,21.95,sell,4.0
2004-02-12,21.99,buy,2.0
2004-02-13,22.12,sell,4.0
2004-02-24,22.85,buy,2.0
2004-03-09,22.53,sell,4.0
2004-04-19,24.63,buy,2.0
2004-04-30,21.98,sell,4.0
2004-05-25,23.32,buy,2.0
2004-07-26,23.58,sell,4.0
2004-10-04,24.43,buy,2.0
2004-10-20,22.15,sell,4.0
2004-11-05,22.5,buy,2.0
2004-11-19,22.86,sell,4.0
2009-09-16,21.27,buy,2.0
2009-09-17,21.27,sell,4.0
2009-12-08,22.31,buy,2.0
2010-01-25,21.61,sell,4.0
2010-02-18,22.89,buy,2.0
2010-05-11,22.71,sell,4.0
2010-06-22,22.8,buy,2.0
2010-06-24,22.16,sell,4.0
2010-07-27,24.77,buy,2.0
2010-08-25,22.55,sell,4.0
2010-09-07,23.72,buy,2.0
2010-09-23,22.41,sell,4.0
2010-11-03,24.89,buy,2.0
2010-12-23,25.73,sell,4.0
2011-01-06,27.25,buy,2.0
2011-03-16,26.98,sell,4.0
2011-04-04,29.33,buy,2.0
2011-04-12,27.74,sell,4.0
2011-05-13,29.07,buy,2.0
2011-06-06,26.83,sell,4.0
2011-06-13,28.54,buy,2.0
2011-06-20,26.33,sell,4.0
2011-07-08,28.82,buy,2.0
2011-07-19,27.46,sell,4.0
2011-07-26,27.54,buy,2.0
2011-07-28,26.62,sell,4.0
2011-10-12,25.36,buy,2.0
2011-11-23,24.29,sell,4.0
2012-01-10,26.48,buy,2.0
2012-05-04,28.38,sell,4.0
2012-06-14,27.69,buy,2.0
2012-06-26,27.14,sell,4.0
2012-07-05,28.58,buy,1.0
2013-09-26,59.18,sell,3.0
2013-10-07,56.85,buy,2.0
2013-10-10,57.11,sell,4.0
2013-10-15,57.88,buy,2.0
2013-11-08,60.54,sell,4.0
2013-12-11,60.43,buy,2.0
2014-02-06,63.18,sell,4.0
2014-02-13,71.33,buy,2.0
2014-04-30,66.63,sell,4.0
2014-05-06,66.42,buy,2.0
2014-05-15,66.73,sell,4.0
2014-06-03,70.3,buy,2.0
2014-07-09,69.06,sell,4.0
2014-09-03,69.69,buy,2.0
2014-09-22,65.07,sell,4.0
2014-10-08,63.72,buy,2.0
2014-10-13,58.82,sell,4.0
2014-10-22,67.38,buy,2.0
2015-02-04,76.43,sell,4.0
2015-02-13,82.89,buy,2.0
2015-03-11,77.56,sell,4.0
2015-10-12,68.52,buy,2.0
2016-01-11,59.5,sell,4.0
2016-03-02,50.72,buy,1.0
2016-06-17,65.75,sell,3.0
2016-06-23,69.05,buy,2.0
2016-06-28,63.67,sell,4.0
2016-07-14,71.83,buy,2.0
2016-10-28,81.51,sell,4.0
2016-11-16,85.72,buy,2.0
2017-03-27,89.21,sell,4.0
2017-04-21,93.73,buy,2.0
2017-05-24,101.62,sell,4.0
2017-05-31,102.16,buy,2.0
2017-07-26,108.94,sell,4.0
2017-08-18,109.99,buy,2.0
2017-11-08,111.41,sell,4.0
2017-12-01,117.4,buy,2.0
2018-02-09,113.76,sell,4.0
2018-02-16,119.37,buy,2.0
