time,price,signal
2021-09-27 00:00:00,27.47,buy
2021-10-04 00:00:00,23.17,sell
2022-03-23 00:00:00,13.18,buy
2022-04-14 00:00:00,12.42,sell
2022-04-21 00:00:00,12.33,buy
2022-04-25 00:00:00,12.11,sell
2022-04-26 00:00:00,11.12,buy
2022-04-27 00:00:00,10.56,sell
2022-06-27 00:00:00,9.62,buy
2022-07-18 00:00:00,9.03,sell
2022-07-22 00:00:00,9.84,buy
2022-08-12 00:00:00,9.91,sell
2022-10-26 00:00:00,8.57,buy
2022-11-08 00:00:00,7.21,sell
2022-11-17 00:00:00,7.62,buy
2022-11-21 00:00:00,7.19,sell
2023-02-02 00:00:00,8.99,buy
2023-02-14 00:00:00,9.22,sell
2023-02-15 00:00:00,10.11,buy
2023-03-02 00:00:00,7.97,sell
2023-03-24 00:00:00,8.2,buy
2023-03-29 00:00:00,8.22,sell
2023-03-31 00:00:00,8.45,buy
2023-04-26 00:00:00,7.74,sell
2023-05-11 00:00:00,9.88,buy
2023-08-11 00:00:00,15.41,sell
2023-10-05 00:00:00,15.81,buy
2023-10-06 00:00:00,16.61,sell
2023-10-10 00:00:00,17.8,buy
2023-10-27 00:00:00,15.07,sell
2023-11-07 00:00:00,18.8,buy
2023-11-30 00:00:00,20.05,sell
2023-12-04 00:00:00,18.4,buy
2023-12-06 00:00:00,17.13,sell
2024-02-08 00:00:00,24.51,buy
2024-04-04 00:00:00,22.48,sell
2024-05-02 00:00:00,22.55,buy
2024-05-08 00:00:00,21.56,sell
2024-06-11 00:00:00,23.85,buy
2025-01-15 00:00:00,68.14,sell
