time,price,signal
2011-04-08 00:00:00,65.83,buy
2011-06-08 00:00:00,68.04,sell
2011-07-25 00:00:00,72.13,buy
2011-08-05 00:00:00,69.34,sell
2011-08-08 00:00:00,66.27,buy
2011-09-26 00:00:00,64.58,sell
2011-10-12 00:00:00,66.31,buy
2012-05-15 00:00:00,84.72,sell
2012-06-13 00:00:00,85.7,buy
2012-08-27 00:00:00,90.09,sell
2012-08-31 00:00:00,89.3,buy
2012-11-15 00:00:00,83.97,sell
2012-11-20 00:00:00,88.1,buy
2013-01-10 00:00:00,87.29,sell
2013-01-14 00:00:00,89.07,buy
2013-02-05 00:00:00,87.96,sell
2013-02-06 00:00:00,87.69,buy
2013-04-24 00:00:00,94.05,sell
2013-04-29 00:00:00,95.96,buy
2013-05-31 00:00:00,90.91,sell
2013-06-07 00:00:00,92.09,buy
2013-06-21 00:00:00,87.46,sell
2013-09-20 00:00:00,90.47,buy
2013-11-26 00:00:00,85.48,sell
2014-05-02 00:00:00,85.38,buy
2014-06-27 00:00:00,84.85,sell
2014-09-22 00:00:00,86.05,buy
2014-09-24 00:00:00,84.45,sell
2014-10-22 00:00:00,87.6,buy
2014-12-17 00:00:00,81.85,sell
2015-01-22 00:00:00,85.16,buy
2015-01-26 00:00:00,83.05,sell
2015-04-23 00:00:00,83.55,buy
2015-04-24 00:00:00,82.75,sell
2015-07-22 00:00:00,85.52,buy
2015-08-24 00:00:00,78.34,sell
2015-09-21 00:00:00,82.12,buy
2015-10-02 00:00:00,79.95,sell
2015-10-06 00:00:00,81.49,buy
2015-12-11 00:00:00,86.32,sell
2015-12-17 00:00:00,89.08,buy
2015-12-22 00:00:00,87.66,sell
2016-01-13 00:00:00,88.31,buy
2016-04-26 00:00:00,97.24,sell
2016-05-05 00:00:00,99.18,buy
2016-05-23 00:00:00,98.28,sell
2016-07-11 00:00:00,103.38,buy
2016-07-25 00:00:00,99.71,sell
2016-08-04 00:00:00,99.0,buy
2016-08-05 00:00:00,98.93,sell
2016-08-24 00:00:00,100.13,buy
2016-10-06 00:00:00,95.64,sell
2017-01-24 00:00:00,95.78,buy
2017-08-01 00:00:00,115.84,sell
2017-09-08 00:00:00,117.06,buy
2017-09-14 00:00:00,116.73,sell
2017-12-08 00:00:00,106.59,buy
2017-12-14 00:00:00,107.68,sell
2018-01-29 00:00:00,108.61,buy
2018-02-01 00:00:00,105.17,sell
2018-07-23 00:00:00,83.22,buy
2018-08-17 00:00:00,85.05,sell
2018-08-21 00:00:00,83.53,buy
2018-08-23 00:00:00,82.32,sell
2018-10-04 00:00:00,83.82,buy
2018-11-20 00:00:00,86.55,sell
2018-12-03 00:00:00,87.08,buy
2018-12-10 00:00:00,84.22,sell
2019-04-02 00:00:00,88.01,buy
2019-05-13 00:00:00,83.7,sell
2019-05-16 00:00:00,85.51,buy
2019-05-29 00:00:00,81.14,sell
2019-11-14 00:00:00,83.64,buy
2019-11-21 00:00:00,83.46,sell
2019-12-13 00:00:00,84.67,buy
2020-01-28 00:00:00,84.68,sell
2020-02-12 00:00:00,87.9,buy
2020-02-20 00:00:00,87.44,sell
2020-02-24 00:00:00,85.57,buy
2020-02-25 00:00:00,85.0,sell
2020-03-09 00:00:00,81.63,buy
2020-03-10 00:00:00,84.73,sell
2020-04-02 00:00:00,74.34,buy
2020-04-08 00:00:00,74.66,sell
2020-06-09 00:00:00,75.65,buy
2020-06-11 00:00:00,71.25,sell
2020-06-19 00:00:00,72.2,buy
2020-06-25 00:00:00,70.67,sell
2020-07-17 00:00:00,75.03,buy
2020-09-24 00:00:00,76.35,sell
2020-10-14 00:00:00,78.91,buy
2020-10-15 00:00:00,79.14,sell
2020-10-16 00:00:00,79.27,buy
2020-10-21 00:00:00,73.82,sell
2020-11-16 00:00:00,78.63,buy
2021-10-01 00:00:00,96.08,sell
2021-11-01 00:00:00,93.42,buy
2021-11-02 00:00:00,94.02,sell
2021-11-15 00:00:00,95.36,buy
2021-11-17 00:00:00,93.59,sell
2022-01-10 00:00:00,100.28,buy
2022-03-01 00:00:00,101.44,sell
2022-04-04 00:00:00,96.28,buy
2022-04-06 00:00:00,99.02,sell
2022-04-12 00:00:00,100.49,buy
2022-04-25 00:00:00,102.53,sell
2022-05-13 00:00:00,104.43,buy
2022-06-17 00:00:00,97.95,sell
2022-06-29 00:00:00,100.87,buy
2022-07-05 00:00:00,98.08,sell
2022-07-28 00:00:00,97.17,buy
2022-08-29 00:00:00,96.24,sell
2022-09-08 00:00:00,95.62,buy
2022-09-14 00:00:00,93.7,sell
2022-11-10 00:00:00,93.25,buy
2023-02-17 00:00:00,101.82,sell
2023-04-03 00:00:00,97.9,buy
2023-05-09 00:00:00,95.65,sell
2023-06-22 00:00:00,95.69,buy
2023-07-12 00:00:00,99.0,sell
2023-07-13 00:00:00,100.49,buy
2023-07-20 00:00:00,98.18,sell
2023-09-19 00:00:00,97.32,buy
2023-09-26 00:00:00,91.07,sell
2023-11-08 00:00:00,90.2,buy
2023-11-15 00:00:00,91.73,sell
2023-11-16 00:00:00,91.28,buy
2023-11-17 00:00:00,91.95,sell
2023-11-20 00:00:00,92.38,buy
2024-01-25 00:00:00,91.21,sell
2024-03-12 00:00:00,94.67,buy
2024-03-26 00:00:00,90.38,sell
2024-04-03 00:00:00,91.0,buy
2024-04-16 00:00:00,89.5,sell
2024-04-19 00:00:00,93.77,buy
2024-09-25 00:00:00,121.69,sell
2024-09-27 00:00:00,120.62,buy
2024-12-17 00:00:00,126.04,sell
