time,price,signal,label
1989-08-31,29.08,buy,2.0
1989-10-19,27.54,sell,4.0
1989-12-18,25.14,buy,2.0
1990-01-23,24.42,sell,4.0
1990-01-31,24.74,buy,2.0
1990-02-01,24.66,sell,4.0
1990-02-05,24.9,buy,2.0
1990-02-09,25.37,sell,4.0
1990-05-04,24.19,buy,2.0
1990-06-01,23.16,sell,4.0
1990-09-04,15.86,buy,2.0
1990-09-06,15.03,sell,4.0
1990-11-12,13.95,buy,2.0
1991-01-17,13.61,sell,4.0
1991-01-22,14.46,buy,1.0
1991-07-11,25.26,sell,3.0
1991-07-12,25.44,buy,2.0
1991-09-17,27.46,sell,4.0
1991-10-01,28.7,buy,2.0
1991-10-28,29.7,sell,4.0
1991-11-15,31.49,buy,2.0
1991-11-25,29.79,sell,4.0
1991-12-03,29.97,buy,1.0
1992-07-20,38.95,sell,3.0
1992-07-31,37.94,buy,2.0
1992-08-21,36.1,sell,4.0
1992-10-06,38.91,buy,2.0
1992-11-17,20.29,sell,4.0
1993-01-14,21.72,buy,2.0
1993-04-27,24.0,sell,4.0
1993-10-04,23.83,buy,2.0
1993-10-20,22.25,sell,4.0
1993-12-01,22.54,buy,2.0
1994-03-03,20.73,sell,4.0
1994-04-11,22.1,buy,2.0
1994-07-27,22.4,sell,4.0
1994-10-17,20.58,buy,2.0
1994-10-20,19.77,sell,4.0
1994-12-22,17.74,buy,2.0
1994-12-27,17.84,sell,4.0
1995-01-10,18.03,buy,2.0
1995-01-12,17.72,sell,4.0
1995-01-31,19.36,buy,2.0
1995-03-08,19.88,sell,4.0
1995-03-23,20.19,buy,2.0
1995-06-16,22.25,sell,4.0
1995-06-19,22.66,buy,2.0
1995-07-11,20.68,sell,4.0
1995-08-30,22.24,buy,2.0
1995-10-25,23.37,sell,4.0
1995-11-30,25.09,buy,2.0
1995-12-01,25.52,sell,4.0
1995-12-05,25.84,buy,2.0
1995-12-12,25.3,sell,4.0
1995-12-26,25.84,buy,2.0
1996-03-11,25.4,sell,4.0
1996-05-17,26.68,buy,2.0
1996-06-28,26.14,sell,4.0
1996-07-05,26.46,buy,2.0
1996-07-12,26.22,sell,4.0
1996-08-07,26.89,buy,1.0
1997-01-29,35.05,sell,3.0
1997-02-03,36.41,buy,2.0
1997-04-02,35.73,sell,4.0
1997-05-05,38.8,buy,2.0
1997-10-29,45.12,sell,4.0
1997-11-19,47.27,buy,2.0
1998-01-12,47.04,sell,4.0
1998-02-09,51.73,buy,2.0
1998-04-23,58.32,sell,4.0
1998-04-28,54.6,buy,2.0
1998-06-03,53.54,sell,4.0
1998-06-04,53.6,buy,2.0
1998-06-05,55.07,sell,4.0
1998-06-08,55.43,buy,2.0
1998-06-16,51.65,sell,4.0
1998-07-08,55.31,buy,2.0
1998-07-31,51.23,sell,4.0
1998-09-21,45.29,buy,2.0
1998-09-28,45.35,sell,4.0
1998-10-19,49.94,buy,2.0
1999-01-20,46.83,sell,4.0
1999-02-22,49.91,buy,2.0
1999-03-03,50.64,sell,4.0
1999-03-05,52.99,buy,2.0
1999-05-19,56.36,sell,4.0
1999-06-03,55.63,buy,2.0
1999-06-15,54.72,sell,4.0
1999-07-06,55.81,buy,2.0
1999-07-16,53.82,sell,4.0
1999-10-26,54.65,buy,2.0
1999-11-30,55.14,sell,4.0
2000-01-21,43.88,buy,2.0
2000-01-24,43.44,sell,4.0
2000-02-02,46.69,buy,2.0
2000-02-08,45.06,sell,4.0
2000-03-17,43.69,buy,2.0
2000-05-05,41.69,sell,4.0
2000-05-16,44.87,buy,1.0
2000-10-16,62.56,sell,3.0
2000-10-20,60.69,buy,2.0
2001-02-27,71.26,sell,4.0
2001-04-02,68.25,buy,2.0
2001-06-27,65.78,sell,4.0
2001-08-03,66.86,buy,2.0
2001-08-30,65.91,sell,4.0
2001-10-26,57.75,buy,2.0
2001-11-21,56.14,sell,4.0
2002-01-09,59.78,buy,2.0
2002-02-08,55.7,sell,4.0
2002-02-13,57.6,buy,2.0
2002-05-14,56.49,sell,4.0
2002-05-16,56.31,buy,2.0
2002-05-22,55.05,sell,4.0
2002-08-01,41.36,buy,2.0
2002-09-20,42.16,sell,4.0
2002-12-12,41.22,buy,2.0
2003-03-17,44.23,sell,4.0
2003-03-20,44.98,buy,2.0
2003-03-31,42.38,sell,4.0
2003-05-14,46.65,buy,2.0
2003-08-18,48.54,sell,4.0
2003-09-05,48.42,buy,2.0
2003-09-29,47.65,sell,4.0
2003-10-08,49.05,buy,2.0
2004-03-25,55.77,sell,4.0
2004-06-01,54.98,buy,2.0
2004-06-02,54.95,sell,4.0
2004-06-17,53.7,buy,2.0
2004-06-30,53.08,sell,4.0
2004-07-08,52.8,buy,2.0
2004-07-16,50.56,sell,4.0
2004-08-18,52.94,buy,2.0
2004-09-13,53.22,sell,4.0
2004-09-20,53.27,buy,2.0
2004-09-23,52.5,sell,4.0
2004-09-30,54.1,buy,2.0
2004-10-15,52.99,sell,4.0
2004-11-05,54.58,buy,2.0
2004-11-12,55.7,sell,4.0
2004-12-15,55.67,buy,2.0
2007-12-17,64.68,sell,4.0
2008-01-29,64.03,buy,2.0
2008-04-16,65.39,sell,4.0
2008-04-23,66.18,buy,2.0
2008-05-12,68.06,sell,4.0
2008-07-22,70.18,buy,2.0
2008-10-15,61.5,sell,4.0
2008-11-05,68.34,buy,2.0
2008-11-17,59.19,sell,4.0
2009-03-19,28.67,buy,1.0
2009-06-22,38.5,sell,3.0
2009-08-07,44.23,buy,1.0
2010-01-27,54.43,sell,3.0
2010-03-16,58.62,buy,2.0
2010-05-24,60.56,sell,4.0
2010-06-23,60.71,buy,2.0
2010-06-25,61.03,sell,4.0
2010-07-14,61.29,buy,2.0
2010-07-21,58.54,sell,4.0
2010-07-27,61.3,buy,2.0
2010-08-13,55.09,sell,4.0
2010-10-26,54.0,buy,2.0
2011-03-02,59.99,sell,4.0
2011-03-08,63.37,buy,2.0
2011-03-14,62.56,sell,4.0
2011-04-01,63.72,buy,2.0
2011-04-19,60.97,sell,4.0
2011-05-04,63.51,buy,2.0
2011-05-10,63.46,sell,4.0
2011-05-13,61.8,buy,2.0
2011-05-25,61.11,sell,4.0
2011-07-07,60.59,buy,2.0
2011-07-15,56.82,sell,4.0
2011-09-02,46.23,buy,2.0
2011-11-28,50.25,sell,4.0
2011-12-06,54.97,buy,2.0
2012-03-05,58.76,sell,4.0
2012-03-14,61.35,buy,2.0
2012-05-22,62.02,sell,4.0
2012-05-29,62.8,buy,2.0
2012-05-31,61.42,sell,4.0
