time,price,signal,label
2002-01-03,17.95,buy,2.0
2002-01-08,17.52,sell,4.0
2002-01-29,17.49,buy,1.0
2002-06-05,23.22,sell,3.0
2002-06-12,23.4,buy,2.0
2002-07-10,21.94,sell,4.0
2002-08-26,21.68,buy,2.0
2002-08-30,21.72,sell,4.0
2002-09-05,20.88,buy,2.0
2002-09-17,19.4,sell,4.0
2002-11-29,17.88,buy,2.0
2003-01-15,17.77,sell,4.0
2003-02-03,18.42,buy,2.0
2003-03-13,17.28,sell,4.0
2003-03-19,18.17,buy,2.0
2003-05-23,18.62,sell,4.0
2003-06-13,20.16,buy,2.0
2003-06-27,19.69,sell,4.0
2003-08-15,20.9,buy,2.0
2003-10-01,19.98,sell,4.0
2003-10-07,20.5,buy,2.0
2003-10-17,18.68,sell,4.0
2003-10-24,18.98,buy,1.0
2004-07-14,32.5,sell,3.0
2004-07-16,32.8,buy,2.0
2004-07-26,30.98,sell,4.0
2004-08-18,32.49,buy,2.0
2007-09-18,33.87,sell,4.0
2007-10-26,34.57,buy,2.0
2007-11-16,33.56,sell,4.0
2007-12-26,35.69,buy,2.0
2008-01-04,32.97,sell,4.0
2008-01-31,31.76,buy,2.0
2008-02-19,33.58,sell,4.0
2008-02-27,34.29,buy,2.0
2008-03-04,31.85,sell,4.0
2008-04-04,34.27,buy,2.0
2008-06-16,34.56,sell,4.0
2008-07-22,34.43,buy,2.0
2008-08-05,34.14,sell,4.0
2008-08-12,36.91,buy,2.0
2008-10-07,30.03,sell,4.0
2009-01-08,25.64,buy,2.0
2009-01-16,23.75,sell,4.0
2009-01-23,23.04,buy,2.0
2009-02-24,21.97,sell,4.0
2009-03-24,21.43,buy,2.0
2009-03-26,22.45,sell,4.0
2009-04-15,23.78,buy,2.0
2009-05-19,25.56,sell,4.0
2009-06-02,27.19,buy,2.0
2009-06-19,25.58,sell,4.0
2009-07-20,27.99,buy,2.0
2009-07-30,27.56,sell,4.0
2009-07-31,27.32,buy,2.0
2009-11-02,29.42,sell,4.0
2010-01-06,32.79,buy,2.0
2010-01-27,30.94,sell,4.0
2010-02-23,32.19,buy,2.0
2010-05-07,32.04,sell,4.0
2010-06-21,34.03,buy,2.0
2010-06-23,33.24,sell,4.0
2010-07-26,34.5,buy,2.0
2010-08-12,31.81,sell,4.0
2010-09-30,33.63,buy,2.0
2010-10-28,32.4,sell,4.0
2010-12-10,35.5,buy,2.0
2011-06-08,37.25,sell,4.0
2011-07-05,41.45,buy,2.0
2011-07-29,36.81,sell,4.0
2011-09-14,33.32,buy,2.0
2011-09-29,32.57,sell,4.0
2011-10-06,34.48,buy,2.0
2011-11-28,35.58,sell,4.0
2012-01-11,36.35,buy,2.0
2012-05-21,41.07,sell,4.0
2012-05-25,41.6,buy,2.0
2012-05-30,40.86,sell,4.0
2012-07-11,37.98,buy,2.0
2012-07-12,37.98,sell,4.0
2012-07-20,39.75,buy,2.0
2012-09-04,43.41,sell,4.0
2012-10-10,43.58,buy,2.0
2012-10-16,43.84,sell,4.0
