time,price,signal,label
1993-01-18,33.01,buy,1.0
1993-04-21,43.28,sell,3.0
1993-04-26,41.08,buy,1.0
1993-10-27,76.05,sell,3.0
1994-07-18,18.34,buy,1.0
1994-11-28,31.05,sell,3.0
1994-11-29,30.81,buy,2.0
1994-12-13,24.94,sell,4.0
1995-06-07,33.99,buy,1.0
1995-09-28,43.77,sell,3.0
1996-03-28,40.59,buy,2.0
1996-04-19,32.28,sell,4.0
1996-12-11,38.76,buy,1.0
1997-04-17,50.74,sell,3.0
1997-11-07,61.13,buy,2.0
1997-12-15,49.76,sell,4.0
1998-12-17,52.38,buy,1.0
1999-05-17,108.75,sell,3.0
1999-06-18,129.75,buy,1.0
2000-01-05,156.44,sell,3.0
2000-12-26,83.81,buy,2.0
2000-12-27,89.88,sell,4.0
2001-10-25,27.93,buy,2.0
2001-12-26,25.3,sell,4.0
2002-09-26,14.4,buy,1.0
2003-02-19,17.77,sell,3.0
2003-07-29,19.06,buy,1.0
2004-10-28,41.49,sell,3.0
2004-12-28,43.51,buy,2.0
2004-12-31,42.4,sell,4.0
2008-07-30,55.64,buy,2.0
2008-09-08,46.28,sell,4.0
2009-07-17,47.4,buy,2.0
2009-09-24,44.66,sell,4.0
2010-07-15,36.88,buy,1.0
2011-03-16,50.5,sell,3.0
2011-09-01,51.06,buy,2.0
2011-11-28,53.94,sell,4.0
2014-10-24,76.0,buy,2.0
2014-11-12,70.29,sell,4.0
2015-10-09,57.78,buy,2.0
2015-11-25,49.1,sell,4.0
2017-09-19,52.3,buy,1.0
2018-02-09,63.99,sell,3.0
2018-05-14,56.74,buy,2.0
2018-06-28,55.9,sell,4.0
2019-04-02,58.09,buy,2.0
2019-04-11,55.9,sell,4.0
2020-04-15,75.99,buy,1.0
2020-09-14,113.46,sell,3.0
2020-09-28,118.47,buy,1.0
2021-02-09,146.11,sell,3.0
2021-06-24,137.92,buy,2.0
2021-08-23,144.14,sell,4.0
2021-10-21,133.05,buy,1.0
2022-01-21,164.93,sell,3.0
2023-07-14,122.56,buy,2.0
2023-08-14,114.02,sell,4.0
2023-09-14,114.04,buy,1.0
2024-04-18,161.44,sell,3.0
