time,price,signal
2002-01-03 00:00:00,27.25,buy
2002-02-05 00:00:00,23.58,sell
2002-02-27 00:00:00,23.16,buy
2002-03-01 00:00:00,23.21,sell
2002-03-05 00:00:00,25.4,buy
2002-04-05 00:00:00,21.1,sell
2002-07-30 00:00:00,17.23,buy
2002-09-23 00:00:00,11.59,sell
2002-10-02 00:00:00,14.64,buy
2003-02-07 00:00:00,17.89,sell
2003-03-18 00:00:00,20.69,buy
2003-04-01 00:00:00,6.89,sell
2003-05-27 00:00:00,13.62,buy
2003-06-16 00:00:00,18.14,sell
2003-06-27 00:00:00,16.42,buy
2003-07-21 00:00:00,14.5,sell
2003-07-29 00:00:00,15.09,buy
2003-08-05 00:00:00,13.07,sell
2003-09-05 00:00:00,16.88,buy
2003-10-09 00:00:00,14.44,sell
2003-12-24 00:00:00,14.16,buy
2004-02-02 00:00:00,15.04,sell
2004-02-27 00:00:00,14.16,buy
2004-03-01 00:00:00,14.85,sell
2004-03-09 00:00:00,14.91,buy
2004-03-11 00:00:00,14.25,sell
2004-09-16 00:00:00,9.18,buy
2004-09-17 00:00:00,9.0,sell
2004-09-21 00:00:00,9.32,buy
2004-09-27 00:00:00,8.2,sell
2004-11-08 00:00:00,8.06,buy
2009-10-06 00:00:00,18.98,sell
2009-11-16 00:00:00,19.7,buy
2010-02-26 00:00:00,24.46,sell
2010-03-26 00:00:00,26.23,buy
2010-04-26 00:00:00,24.84,sell
2010-06-01 00:00:00,27.66,buy
2010-06-08 00:00:00,26.5,sell
2010-09-10 00:00:00,25.15,buy
2010-10-25 00:00:00,27.68,sell
2010-11-09 00:00:00,25.84,buy
2010-11-10 00:00:00,25.69,sell
2010-12-09 00:00:00,30.1,buy
2011-06-23 00:00:00,53.25,sell
2011-07-06 00:00:00,59.58,buy
2011-07-27 00:00:00,52.65,sell
2011-08-16 00:00:00,57.42,buy
2011-09-30 00:00:00,58.2,sell
2011-11-28 00:00:00,57.36,buy
2011-12-01 00:00:00,60.21,sell
2012-01-09 00:00:00,65.48,buy
2012-05-24 00:00:00,129.71,sell
2012-05-25 00:00:00,132.17,buy
2012-06-18 00:00:00,116.93,sell
2012-07-03 00:00:00,122.3,buy
2012-11-06 00:00:00,144.39,sell
2012-11-20 00:00:00,172.87,buy
2012-12-27 00:00:00,168.77,sell
2013-03-06 00:00:00,174.55,buy
2013-06-25 00:00:00,220.17,sell
2013-07-02 00:00:00,231.12,buy
2013-07-08 00:00:00,229.02,sell
2013-07-12 00:00:00,266.0,buy
2013-08-12 00:00:00,245.96,sell
2013-09-11 00:00:00,276.85,buy
2013-11-05 00:00:00,302.32,sell
2013-12-02 00:00:00,296.69,buy
2013-12-10 00:00:00,277.5,sell
2014-01-21 00:00:00,295.7,buy
2014-04-09 00:00:00,306.26,sell
2014-04-24 00:00:00,293.43,buy
2014-04-30 00:00:00,296.89,sell
2014-05-06 00:00:00,290.83,buy
2014-05-08 00:00:00,281.2,sell
2014-05-23 00:00:00,297.77,buy
2014-06-23 00:00:00,280.22,sell
2014-07-08 00:00:00,310.36,buy
2014-07-17 00:00:00,296.41,sell
2014-07-25 00:00:00,303.09,buy
2014-07-28 00:00:00,302.16,sell
2014-08-06 00:00:00,340.69,buy
2014-10-16 00:00:00,340.94,sell
2014-10-23 00:00:00,393.96,buy
2014-12-18 00:00:00,423.71,sell
2014-12-24 00:00:00,400.12,buy
2014-12-26 00:00:00,413.48,sell
2014-12-29 00:00:00,413.87,buy
2015-06-18 00:00:00,527.97,sell
2015-06-22 00:00:00,520.71,buy
2015-08-26 00:00:00,535.41,sell
2015-09-10 00:00:00,531.22,buy
2015-09-29 00:00:00,451.88,sell
2015-10-16 00:00:00,514.59,buy
2015-10-23 00:00:00,536.7,sell
2015-10-26 00:00:00,545.87,buy
2015-12-03 00:00:00,535.67,sell
2015-12-08 00:00:00,556.33,buy
2016-01-07 00:00:00,502.23,sell
2016-04-13 00:00:00,410.52,buy
2016-04-14 00:00:00,406.83,sell
2016-04-19 00:00:00,413.78,buy
2016-04-20 00:00:00,399.75,sell
2016-04-28 00:00:00,391.3,buy
2016-05-02 00:00:00,384.52,sell
2016-07-12 00:00:00,368.75,buy
2016-10-06 00:00:00,388.6,sell
2016-11-10 00:00:00,423.0,buy
2017-01-25 00:00:00,348.93,sell
2017-02-07 00:00:00,357.69,buy
2017-03-27 00:00:00,383.68,sell
2017-03-31 00:00:00,387.51,buy
2017-04-12 00:00:00,366.33,sell
2017-05-02 00:00:00,402.04,buy
2017-08-04 00:00:00,468.76,sell
2018-07-02 00:00:00,351.14,buy
2018-08-14 00:00:00,366.23,sell
2018-08-31 00:00:00,406.75,buy
2018-09-13 00:00:00,397.71,sell
2018-09-14 00:00:00,392.17,buy
2018-10-08 00:00:00,394.15,sell
2018-10-19 00:00:00,389.83,buy
2018-10-25 00:00:00,336.94,sell
2019-01-03 00:00:00,372.08,buy
2019-03-08 00:00:00,402.64,sell
2019-10-14 00:00:00,305.44,buy
2020-01-27 00:00:00,339.42,sell
2020-02-10 00:00:00,386.21,buy
2020-03-13 00:00:00,465.55,sell
2020-03-18 00:00:00,485.0,buy
2020-08-13 00:00:00,610.89,sell
2020-10-15 00:00:00,585.18,buy
2020-10-26 00:00:00,585.74,sell
2021-01-14 00:00:00,517.91,buy
2021-02-19 00:00:00,470.37,sell
2021-03-11 00:00:00,469.96,buy
2021-03-22 00:00:00,483.22,sell
2021-04-22 00:00:00,490.43,buy
2021-09-30 00:00:00,605.18,sell
2021-11-01 00:00:00,639.15,buy
2021-12-22 00:00:00,617.48,sell
2021-12-30 00:00:00,642.51,buy
2022-01-06 00:00:00,598.44,sell
2022-03-16 00:00:00,677.98,buy
2022-04-28 00:00:00,675.58,sell
2022-05-18 00:00:00,659.2,buy
2022-06-02 00:00:00,630.7,sell
2022-08-05 00:00:00,613.61,buy
2022-08-24 00:00:00,602.79,sell
2022-09-09 00:00:00,724.32,buy
2022-12-20 00:00:00,733.53,sell
2023-01-30 00:00:00,736.46,buy
2023-03-20 00:00:00,759.25,sell
2023-03-24 00:00:00,820.0,buy
2023-05-09 00:00:00,754.88,sell
2023-06-20 00:00:00,781.21,buy
2023-06-29 00:00:00,708.42,sell
2023-07-14 00:00:00,718.52,buy
2023-10-25 00:00:00,797.04,sell
2023-11-07 00:00:00,830.79,buy
2023-11-15 00:00:00,792.38,sell
2023-12-13 00:00:00,876.12,buy
2023-12-21 00:00:00,841.88,sell
2024-01-02 00:00:00,905.0,buy
2024-04-15 00:00:00,898.56,sell
2024-05-06 00:00:00,958.64,buy
2024-09-26 00:00:00,1039.96,sell
2024-10-15 00:00:00,1016.53,buy
2024-10-18 00:00:00,990.68,sell
2025-02-10 00:00:00,690.36,buy
2025-02-18 00:00:00,680.0,sell
