time,price,signal
2002-01-03 00:00:00,2.9,buy
2002-06-14 00:00:00,4.34,sell
2002-07-02 00:00:00,4.0,buy
2002-08-06 00:00:00,3.99,sell
2002-09-17 00:00:00,3.62,buy
2002-09-23 00:00:00,3.26,sell
2002-10-21 00:00:00,3.37,buy
2002-10-23 00:00:00,3.32,sell
2002-10-28 00:00:00,3.3,buy
2002-10-29 00:00:00,3.28,sell
2002-12-03 00:00:00,3.62,buy
2002-12-11 00:00:00,3.36,sell
2003-03-27 00:00:00,2.84,buy
2003-04-01 00:00:00,2.98,sell
2003-04-04 00:00:00,2.97,buy
2003-04-29 00:00:00,3.01,sell
2003-05-05 00:00:00,3.1,buy
2004-03-29 00:00:00,6.28,sell
2004-03-31 00:00:00,6.2,buy
2004-05-04 00:00:00,6.08,sell
2004-05-20 00:00:00,6.33,buy
2004-08-11 00:00:00,7.74,sell
2004-08-16 00:00:00,8.01,buy
2004-10-15 00:00:00,8.65,sell
2009-09-17 00:00:00,17.27,buy
2009-10-06 00:00:00,15.01,sell
2009-11-19 00:00:00,16.31,buy
2009-12-07 00:00:00,17.53,sell
2009-12-28 00:00:00,18.02,buy
2010-01-19 00:00:00,17.97,sell
2010-02-23 00:00:00,16.09,buy
2010-02-26 00:00:00,16.33,sell
2010-03-04 00:00:00,17.18,buy
2010-04-22 00:00:00,16.68,sell
2010-07-14 00:00:00,14.7,buy
2010-08-16 00:00:00,13.93,sell
2010-08-20 00:00:00,14.34,buy
2010-08-26 00:00:00,13.34,sell
2010-09-07 00:00:00,14.64,buy
2010-09-29 00:00:00,14.13,sell
2010-10-22 00:00:00,14.32,buy
2011-03-01 00:00:00,17.82,sell
2011-03-24 00:00:00,18.84,buy
2011-04-14 00:00:00,17.93,sell
2011-04-27 00:00:00,18.61,buy
2011-05-03 00:00:00,17.77,sell
2011-07-22 00:00:00,16.54,buy
2011-08-01 00:00:00,15.62,sell
2011-10-27 00:00:00,13.27,buy
2011-11-25 00:00:00,11.33,sell
2011-12-06 00:00:00,13.51,buy
2012-03-07 00:00:00,14.08,sell
2012-03-20 00:00:00,15.26,buy
2012-04-11 00:00:00,13.49,sell
2012-06-25 00:00:00,11.01,buy
2012-06-27 00:00:00,11.36,sell
2012-07-05 00:00:00,12.61,buy
2012-08-30 00:00:00,12.11,sell
2012-09-20 00:00:00,12.12,buy
2012-09-21 00:00:00,11.91,sell
2012-10-11 00:00:00,12.38,buy
2012-10-26 00:00:00,12.78,sell
2012-11-02 00:00:00,13.22,buy
2012-11-19 00:00:00,12.67,sell
2012-12-20 00:00:00,13.8,buy
2012-12-31 00:00:00,13.73,sell
2013-01-02 00:00:00,14.28,buy
2013-02-27 00:00:00,15.11,sell
2013-03-14 00:00:00,15.17,buy
2013-03-18 00:00:00,15.37,sell
2013-03-21 00:00:00,15.58,buy
2013-04-04 00:00:00,14.6,sell
2013-05-22 00:00:00,15.6,buy
2013-05-30 00:00:00,15.48,sell
2013-06-03 00:00:00,15.46,buy
2013-06-07 00:00:00,14.83,sell
2013-07-09 00:00:00,15.24,buy
2013-07-23 00:00:00,15.65,sell
2013-08-14 00:00:00,16.39,buy
2014-01-27 00:00:00,16.48,sell
2014-02-14 00:00:00,17.87,buy
2014-03-17 00:00:00,16.68,sell
2014-03-24 00:00:00,17.9,buy
2014-05-30 00:00:00,17.27,sell
2014-06-23 00:00:00,17.8,buy
2014-09-30 00:00:00,22.61,sell
2014-10-27 00:00:00,21.89,buy
2014-10-30 00:00:00,22.56,sell
2015-02-12 00:00:00,19.82,buy
2015-03-02 00:00:00,18.05,sell
2015-03-19 00:00:00,19.76,buy
2015-07-06 00:00:00,20.07,sell
2015-08-05 00:00:00,21.31,buy
2015-08-06 00:00:00,21.25,sell
2015-08-07 00:00:00,20.93,buy
2015-08-13 00:00:00,20.39,sell
2015-10-09 00:00:00,19.09,buy
2015-11-06 00:00:00,18.35,sell
2015-12-30 00:00:00,17.95,buy
2016-01-08 00:00:00,16.55,sell
2016-02-01 00:00:00,17.97,buy
2017-03-13 00:00:00,34.4,sell
2017-04-27 00:00:00,36.28,buy
2017-05-15 00:00:00,34.55,sell
2017-06-13 00:00:00,35.69,buy
2017-06-19 00:00:00,32.86,sell
2017-07-06 00:00:00,36.86,buy
2017-07-31 00:00:00,35.41,sell
2017-10-05 00:00:00,35.91,buy
2018-02-08 00:00:00,42.78,sell
2018-02-14 00:00:00,46.79,buy
2018-04-12 00:00:00,45.09,sell
2018-04-19 00:00:00,47.15,buy
2018-05-04 00:00:00,46.18,sell
2018-05-10 00:00:00,47.78,buy
2018-06-28 00:00:00,45.89,sell
2018-07-09 00:00:00,46.81,buy
2018-07-20 00:00:00,46.96,sell
2018-07-27 00:00:00,47.99,buy
2018-08-02 00:00:00,44.62,sell
2018-11-08 00:00:00,41.07,buy
