time,price,signal
2019-01-30 00:00:00,21.39,buy
2019-06-05 00:00:00,22.38,sell
2019-06-07 00:00:00,22.15,buy
2019-06-27 00:00:00,21.71,sell
2019-07-08 00:00:00,22.15,buy
2019-07-11 00:00:00,22.08,sell
2019-09-03 00:00:00,22.16,buy
2020-03-02 00:00:00,24.66,sell
2020-03-31 00:00:00,16.64,buy
2020-04-03 00:00:00,13.78,sell
2020-05-01 00:00:00,16.56,buy
2020-05-05 00:00:00,16.43,sell
2020-05-22 00:00:00,18.83,buy
2020-10-12 00:00:00,23.87,sell
2020-10-14 00:00:00,23.68,buy
2020-10-28 00:00:00,22.54,sell
2020-11-05 00:00:00,24.13,buy
2021-08-10 00:00:00,29.79,sell
2021-08-18 00:00:00,29.71,buy
2021-08-20 00:00:00,29.3,sell
2021-08-30 00:00:00,30.75,buy
2021-11-30 00:00:00,27.2,sell
2021-12-09 00:00:00,28.49,buy
2022-02-23 00:00:00,26.97,sell
2022-03-04 00:00:00,27.87,buy
2022-03-07 00:00:00,26.78,sell
2022-03-31 00:00:00,28.46,buy
2022-05-12 00:00:00,27.44,sell
2022-05-23 00:00:00,29.17,buy
2022-06-14 00:00:00,28.13,sell
2022-08-11 00:00:00,34.82,buy
2022-08-23 00:00:00,33.69,sell
2022-09-13 00:00:00,33.14,buy
2022-09-14 00:00:00,33.22,sell
2022-10-31 00:00:00,32.02,buy
2023-03-13 00:00:00,31.93,sell
2023-03-30 00:00:00,31.81,buy
2023-05-09 00:00:00,32.95,sell
2023-05-11 00:00:00,31.92,buy
2023-05-15 00:00:00,31.82,sell
2023-06-07 00:00:00,32.5,buy
2023-08-07 00:00:00,31.28,sell
2023-11-07 00:00:00,28.75,buy
2024-01-19 00:00:00,30.56,sell
2024-04-04 00:00:00,29.26,buy
2024-04-11 00:00:00,28.2,sell
2024-07-18 00:00:00,30.62,buy
2024-12-18 00:00:00,28.91,sell
