time,price,signal
2022-01-13 00:00:00,15.02,buy
2022-01-20 00:00:00,14.64,sell
2022-01-28 00:00:00,14.63,buy
2022-02-25 00:00:00,14.54,sell
2022-03-24 00:00:00,10.95,buy
2022-03-31 00:00:00,10.88,sell
2022-05-17 00:00:00,11.47,buy
2022-06-16 00:00:00,10.28,sell
2022-07-26 00:00:00,9.92,buy
2022-08-01 00:00:00,9.66,sell
2022-08-11 00:00:00,10.96,buy
2022-09-15 00:00:00,9.55,sell
2022-10-19 00:00:00,9.38,buy
2023-03-13 00:00:00,9.83,sell
2023-06-13 00:00:00,9.63,buy
2023-06-15 00:00:00,9.94,sell
2023-06-16 00:00:00,10.29,buy
2023-09-08 00:00:00,10.11,sell
2023-12-08 00:00:00,9.83,buy
2024-05-02 00:00:00,11.6,sell
2024-07-15 00:00:00,11.0,buy
2024-09-11 00:00:00,11.34,sell
2024-09-20 00:00:00,11.39,buy
2025-01-10 00:00:00,11.67,sell
