time,price,signal
2021-04-18 00:00:00,24.85,buy
2021-05-27 00:00:00,35.43,sell
2021-06-07 00:00:00,42.205,buy
2021-06-24 00:00:00,30.837,sell
2021-07-02 00:00:00,33.271,buy
2021-07-14 00:00:00,29.136,sell
2021-07-28 00:00:00,28.103,buy
2021-11-29 00:00:00,200.69,sell
2021-12-04 00:00:00,211.65,buy
2021-12-08 00:00:00,190.19,sell
2022-03-27 00:00:00,101.73,buy
2022-04-12 00:00:00,99.67,sell
2022-04-19 00:00:00,102.33,buy
2022-04-24 00:00:00,100.63,sell
2022-07-20 00:00:00,44.87,buy
2022-07-28 00:00:00,40.23,sell
2022-07-30 00:00:00,41.91,buy
2022-08-21 00:00:00,35.28,sell
2022-09-13 00:00:00,37.44,buy
2022-09-19 00:00:00,31.1,sell
2022-09-23 00:00:00,32.43,buy
2022-10-01 00:00:00,33.25,sell
2022-11-03 00:00:00,30.8,buy
2022-11-11 00:00:00,17.66,sell
2023-01-08 00:00:00,13.1,buy
2023-03-10 00:00:00,17.33,sell
2023-04-15 00:00:00,24.71,buy
2023-04-27 00:00:00,21.28,sell
2023-04-28 00:00:00,22.33,buy
2023-05-12 00:00:00,20.17,sell
2023-06-01 00:00:00,20.81,buy
2023-06-09 00:00:00,18.89,sell
2023-07-03 00:00:00,19.45,buy
2023-08-19 00:00:00,21.34,sell
2023-10-03 00:00:00,23.37,buy
2024-01-24 00:00:00,84.35,sell
2024-02-01 00:00:00,96.96,buy
2024-04-17 00:00:00,136.22,sell
2024-05-17 00:00:00,159.37,buy
2024-06-16 00:00:00,145.52,sell
2024-07-17 00:00:00,160.62,buy
2024-08-06 00:00:00,129.78,sell
2024-10-17 00:00:00,154.28,buy
2024-12-25 00:00:00,197.09,sell
2025-01-05 00:00:00,216.67,buy
2025-01-12 00:00:00,188.09,sell
2025-01-20 00:00:00,252.42,buy
2025-02-19 00:00:00,169.32,sell
