time,price,signal
2008-10-22 00:00:00,0.843,buy
2009-01-14 00:00:00,1.557,sell
2009-02-18 00:00:00,1.703,sell
2009-07-02 00:00:00,2.056,buy
2009-08-24 00:00:00,2.044,buy
2011-05-31 00:00:00,3.446,buy
2011-06-27 00:00:00,3.383,buy
2015-12-23 00:00:00,11.611,sell
2017-11-28 00:00:00,9.017,buy
2019-07-17 00:00:00,6.46,buy
2020-09-01 00:00:00,11.223,buy
2020-09-22 00:00:00,10.247,buy
2020-11-04 00:00:00,8.826,buy
2020-12-24 00:00:00,7.676,buy
2021-02-05 00:00:00,6.777,buy
2021-08-03 00:00:00,7.073,buy
2022-04-13 00:00:00,6.626,buy
2022-10-12 00:00:00,5.398,buy
2023-07-11 00:00:00,6.782,buy
2024-05-31 00:00:00,4.953,buy
