time,price,signal
2019-01-24 10:55:00,4.349,buy
2019-01-30 14:15:00,4.458,buy
2019-02-21 10:10:00,4.7,buy
2019-03-06 10:00:00,5.317,sell
2019-03-20 10:35:00,5.968,buy
2019-03-20 13:15:00,5.935,buy
2019-03-26 09:35:00,5.96,buy
2019-04-25 13:55:00,6.912,buy
2019-04-26 10:20:00,6.745,buy
2019-05-14 11:10:00,6.403,buy
2019-05-28 11:00:00,6.453,sell
2019-05-31 13:50:00,6.219,sell
2019-06-05 10:35:00,5.66,buy
2019-06-05 14:50:00,5.559,buy
2019-06-06 14:10:00,5.292,buy
2019-06-13 09:45:00,5.518,buy
2019-06-17 09:45:00,5.351,buy
2019-06-19 13:35:00,5.71,sell
2019-07-05 10:15:00,5.817,buy
2019-07-09 10:45:00,5.535,buy
2019-07-10 11:00:00,5.416,buy
2019-07-10 14:05:00,5.416,buy
2019-07-19 09:40:00,5.765,buy
2019-08-07 09:55:00,5.433,buy
2019-08-08 09:50:00,5.049,buy
2019-08-23 10:45:00,5.058,buy
2019-08-27 10:15:00,4.972,sell
2019-08-28 10:40:00,4.964,buy
2019-08-29 09:40:00,4.955,buy
2019-08-30 14:25:00,4.904,buy
2019-09-17 14:05:00,5.185,buy
2019-09-19 09:45:00,5.203,buy
2019-09-24 11:30:00,5.134,sell
2019-09-26 14:10:00,4.878,buy
2019-10-17 09:40:00,5.015,buy
2019-11-06 14:45:00,5.032,buy
2019-11-08 14:05:00,4.981,buy
2019-11-13 14:45:00,4.768,buy
2019-11-19 10:35:00,4.776,sell
2019-12-04 10:25:00,4.785,buy
2019-12-06 11:20:00,4.81,buy
2019-12-18 13:15:00,5.006,buy
2019-12-19 14:00:00,4.972,buy
2019-12-25 13:05:00,4.827,buy
2020-01-08 14:10:00,4.878,buy
2020-01-14 10:00:00,4.861,sell
2020-01-15 10:30:00,4.785,buy
2020-01-20 10:20:00,4.699,buy
2020-01-21 14:25:00,4.674,buy
2020-01-23 13:45:00,4.418,buy
2020-02-25 09:50:00,3.974,buy
2020-02-25 11:25:00,3.915,buy
2020-02-28 15:00:00,3.872,buy
2020-03-09 09:45:00,4.0,buy
2020-03-20 14:40:00,3.778,sell
2020-04-02 10:05:00,3.719,buy
2020-04-13 10:20:00,3.71,buy
2020-05-07 14:15:00,3.574,buy
2020-05-21 13:35:00,3.446,buy
2020-05-27 10:30:00,3.377,buy
2020-05-29 10:10:00,3.42,buy
2020-06-18 13:50:00,3.625,sell
2020-06-22 14:40:00,3.582,buy
2020-07-08 09:40:00,4.017,buy
2020-07-15 10:55:00,4.034,buy
2020-07-16 10:50:00,3.966,buy
2020-07-17 13:10:00,3.795,buy
2020-08-07 10:45:00,3.943,buy
2020-08-07 13:45:00,3.925,buy
2020-08-25 13:35:00,3.952,buy
2020-08-28 10:45:00,3.872,buy
2020-09-10 14:55:00,3.811,buy
2020-09-15 10:25:00,3.793,buy
2020-09-18 10:50:00,3.846,sell
2020-09-24 11:10:00,3.767,buy
2020-09-25 11:30:00,3.688,buy
2020-10-12 10:25:00,3.767,sell
2020-10-26 13:50:00,3.749,buy
2020-10-30 13:45:00,3.696,buy
2020-11-02 13:05:00,3.644,buy
2020-11-09 13:40:00,4.224,sell
2020-11-10 14:10:00,4.145,buy
2020-11-11 14:30:00,4.031,buy
2020-11-12 10:35:00,3.987,buy
2020-11-13 13:45:00,3.89,buy
2020-11-19 10:40:00,4.048,buy
2020-12-01 09:50:00,4.092,buy
2020-12-10 14:25:00,3.916,buy
2020-12-15 10:30:00,3.837,buy
2020-12-23 14:10:00,3.872,buy
2021-01-04 14:50:00,4.119,sell
2021-01-11 14:30:00,4.101,buy
2021-01-15 11:30:00,4.242,buy
2021-01-19 14:35:00,4.128,buy
2021-01-21 10:30:00,4.092,buy
2021-01-25 09:55:00,3.978,buy
2021-01-25 15:00:00,3.978,buy
2021-03-11 14:05:00,4.242,sell
2021-03-15 10:00:00,4.4,sell
2021-03-17 10:40:00,4.356,buy
2021-03-24 10:30:00,4.154,buy
2021-04-08 10:30:00,4.198,buy
2021-04-09 09:55:00,4.136,buy
2021-04-12 14:55:00,4.128,buy
2021-04-20 10:50:00,4.084,buy
2021-04-23 09:45:00,4.013,buy
2021-05-07 13:05:00,4.198,sell
2021-05-25 14:45:00,4.26,sell
2021-05-28 14:10:00,4.207,buy
2021-06-07 10:10:00,4.128,buy
2021-06-15 10:20:00,4.092,buy
2021-06-21 11:30:00,4.04,buy
2021-07-07 10:30:00,4.732,buy
2021-07-20 13:40:00,4.651,buy
2021-07-26 13:45:00,4.587,buy
2021-07-29 10:40:00,4.479,buy
2021-07-29 13:30:00,4.452,buy
2021-08-10 10:45:00,4.569,buy
2021-08-11 14:35:00,4.578,buy
2021-08-17 14:00:00,4.578,buy
2021-08-20 10:20:00,4.578,buy
2021-08-24 10:00:00,4.66,sell
2021-08-27 10:50:00,4.714,buy
2021-08-30 13:15:00,5.058,sell
2021-09-16 13:20:00,5.583,buy
2021-09-22 10:25:00,5.51,buy
2021-09-23 09:45:00,5.673,sell
2021-09-24 10:50:00,5.61,buy
2021-10-22 10:35:00,5.212,buy
2021-10-27 10:00:00,5.175,buy
2021-10-28 13:50:00,5.049,buy
2021-11-09 11:10:00,4.198,buy
2021-11-10 10:30:00,4.162,buy
2021-11-15 09:45:00,4.162,buy
2021-11-23 11:00:00,4.379,sell
2021-11-29 09:45:00,4.28,buy
2021-11-30 13:25:00,4.352,sell
2021-12-13 10:35:00,5.058,buy
2021-12-23 11:25:00,5.031,buy
2021-12-24 10:50:00,4.949,buy
2021-12-28 10:35:00,4.868,buy
2022-01-06 13:35:00,5.42,buy
2022-01-11 13:20:00,5.393,buy
2022-01-12 09:40:00,5.365,buy
2022-01-13 13:55:00,5.365,buy
2022-01-14 14:20:00,5.248,buy
2022-01-27 10:50:00,5.284,buy
2022-01-28 14:10:00,5.157,buy
2022-02-08 10:05:00,5.465,sell
2022-02-22 11:30:00,5.203,buy
2022-03-02 11:25:00,5.157,buy
2022-03-04 10:25:00,5.356,buy
2022-03-04 13:35:00,5.293,buy
2022-03-08 11:15:00,4.832,buy
2022-03-09 09:40:00,4.822,buy
2022-03-21 10:25:00,5.022,buy
2022-03-21 13:35:00,4.958,buy
2022-04-13 15:00:00,5.51,buy
2022-04-14 10:20:00,5.492,buy
2022-04-25 14:20:00,5.302,buy
2022-04-26 09:40:00,5.338,buy
2022-04-29 13:35:00,5.284,sell
2022-05-05 13:55:00,5.8,sell
2022-05-11 14:45:00,5.456,buy
2022-05-23 14:45:00,5.537,buy
2022-06-08 10:35:00,5.61,buy
2022-06-13 14:25:00,5.42,buy
2022-06-15 13:20:00,5.583,sell
2022-06-21 13:05:00,5.347,buy
2022-06-21 14:25:00,5.293,buy
2022-06-24 14:25:00,5.329,sell
2022-06-29 13:35:00,5.275,buy
2022-07-04 10:20:00,5.239,buy
2022-07-06 14:45:00,5.166,buy
2022-07-11 14:00:00,5.13,buy
2022-07-22 09:45:00,5.04,buy
2022-07-27 14:35:00,5.031,buy
2022-07-29 14:35:00,4.94,buy
2022-08-03 14:30:00,4.768,buy
2022-08-05 09:45:00,4.813,sell
2022-08-15 10:55:00,4.976,buy
2022-08-16 13:45:00,4.949,buy
2022-09-01 14:45:00,4.979,buy
2022-09-08 10:25:00,5.176,sell
2022-09-13 14:40:00,5.186,buy
2022-09-16 10:50:00,5.045,buy
2022-09-16 14:25:00,4.989,buy
2022-09-21 14:15:00,5.148,sell
2022-09-29 14:30:00,5.195,buy
2022-10-18 14:35:00,5.12,buy
2022-10-24 10:35:00,5.073,buy
2022-10-24 13:20:00,5.017,buy
2022-11-04 13:35:00,4.923,sell
2022-11-10 10:10:00,4.895,buy
2022-11-17 14:00:00,4.979,buy
2022-11-22 13:15:00,5.007,sell
2022-11-23 10:30:00,5.054,sell
2022-11-24 10:50:00,5.017,buy
2022-11-25 14:15:00,5.092,sell
2022-11-29 13:15:00,5.101,sell
2022-12-08 10:10:00,5.204,buy
2022-12-19 14:25:00,5.017,buy
2022-12-20 13:30:00,4.942,buy
2022-12-28 13:55:00,4.923,buy
2023-01-04 13:40:00,5.036,buy
2023-01-06 13:50:00,5.007,buy
2023-01-06 15:00:00,4.998,buy
2023-01-11 09:40:00,4.914,buy
2023-01-12 13:10:00,4.886,buy
2023-01-13 14:55:00,4.914,sell
2023-01-16 13:30:00,4.961,sell
2023-02-15 10:25:00,4.942,buy
2023-02-20 10:40:00,4.932,sell
2023-02-20 14:30:00,4.942,sell
2023-02-20 14:50:00,4.951,sell
2023-03-15 09:45:00,5.082,buy
2023-03-16 15:00:00,5.214,buy
2023-03-23 10:55:00,5.232,sell
2023-03-23 13:55:00,5.27,sell
2023-03-27 13:10:00,5.176,buy
2023-03-29 10:50:00,5.204,buy
2023-04-06 13:10:00,5.186,buy
2023-04-10 10:15:00,5.12,buy
2023-04-14 11:00:00,5.204,buy
2023-04-24 09:35:00,5.298,buy
2023-05-11 13:15:00,5.307,buy
2023-05-16 14:05:00,5.261,buy
2023-05-23 10:15:00,5.082,buy
2023-05-23 10:35:00,5.036,buy
2023-05-25 09:40:00,4.895,buy
2023-05-30 11:20:00,4.942,buy
2023-06-06 10:20:00,4.97,buy
2023-06-20 10:45:00,4.886,buy
2023-06-21 09:40:00,4.876,buy
2023-07-12 13:55:00,4.895,buy
2023-08-14 09:55:00,4.978,buy
2023-08-15 10:35:00,5.006,sell
2023-08-21 10:15:00,5.006,buy
2023-08-29 10:45:00,4.939,buy
2023-08-30 13:40:00,4.929,buy
2023-09-04 09:40:00,4.958,sell
2023-09-08 13:35:00,4.881,buy
