time,price,signal,label
2018-02-13 15:00:00,6.045,buy,1.0
2018-08-13 15:00:00,5.516,buy,2.0
2019-01-15 14:10:00,5.56,sell,4.0
2019-01-17 10:35:00,5.511,buy,1.0
2019-01-18 11:10:00,5.471,buy,1.0
2019-01-22 14:05:00,5.516,buy,1.0
2019-01-28 10:00:00,5.672,buy,1.0
2019-01-30 10:40:00,5.627,sell,4.0
2019-01-31 13:30:00,5.534,buy,1.0
2019-02-01 14:35:00,5.623,sell,4.0
2019-02-15 10:20:00,5.81,buy,1.0
2019-02-25 14:50:00,6.385,sell,4.0
2019-02-28 10:00:00,6.211,buy,1.0
2019-03-08 13:20:00,6.314,buy,2.0
2019-03-12 10:00:00,6.336,sell,4.0
2019-03-14 10:55:00,6.292,buy,2.0
2019-03-19 13:30:00,6.613,sell,3.0
2019-03-27 14:15:00,6.577,buy,2.0
2019-04-04 10:15:00,6.912,sell,3.0
2019-04-10 10:40:00,6.747,sell,3.0
2019-04-16 11:00:00,6.537,buy,2.0
2019-04-16 14:00:00,6.586,buy,2.0
2019-04-19 09:35:00,6.809,buy,2.0
2019-04-22 13:15:00,6.751,buy,2.0
2019-04-23 15:00:00,6.532,buy,2.0
2019-04-24 14:00:00,6.769,sell,3.0
2019-04-26 14:00:00,6.448,buy,2.0
2019-04-30 09:40:00,6.327,buy,2.0
2019-04-30 13:40:00,6.47,sell,3.0
2019-05-07 13:30:00,5.899,buy,2.0
2019-05-08 10:40:00,6.029,sell,3.0
2019-05-17 14:10:00,5.873,buy,2.0
2019-05-21 10:30:00,5.908,buy,2.0
2019-05-27 13:45:00,6.042,sell,3.0
2019-06-04 14:55:00,5.864,buy,2.0
2019-06-05 11:25:00,6.065,sell,3.0
2019-06-06 10:15:00,5.86,buy,2.0
2019-06-06 14:45:00,5.746,buy,2.0
2019-06-11 09:45:00,5.7,buy,2.0
2019-06-17 10:00:00,5.727,buy,2.0
2019-06-19 10:30:00,5.509,buy,2.0
2019-06-19 14:00:00,5.486,buy,2.0
