time,price,signal
2019-02-13 13:45:00,6.395,sell
2019-02-28 15:00:00,6.983,buy
2019-04-23 13:15:00,8.169,buy
2019-04-26 10:00:00,8.179,buy
2019-05-17 13:30:00,7.657,buy
2019-07-08 13:45:00,7.539,buy
2019-07-11 14:45:00,7.376,buy
2019-07-22 10:15:00,7.51,buy
2019-07-29 14:45:00,7.654,buy
2019-08-06 11:00:00,7.26,buy
2019-10-17 10:00:00,10.487,buy
2019-11-21 10:30:00,9.757,buy
2019-11-29 10:15:00,9.171,buy
2019-12-12 11:15:00,10.151,buy
2019-12-23 13:30:00,10.718,buy
2020-01-17 14:00:00,13.829,buy
2020-02-28 13:45:00,16.979,buy
2020-04-10 13:45:00,18.717,buy
2020-04-23 14:00:00,18.775,buy
2020-05-21 09:45:00,22.098,buy
2020-05-22 10:00:00,22.088,buy
2020-06-16 10:00:00,22.002,buy
2020-07-29 14:15:00,23.861,sell
2020-08-17 14:00:00,25.007,sell
2020-08-26 10:45:00,24.237,buy
2020-09-02 13:15:00,24.218,buy
2020-09-16 13:45:00,20.038,buy
2020-09-25 10:30:00,20.645,buy
2020-10-28 11:15:00,20.847,buy
2020-11-17 14:00:00,19.798,buy
2020-12-08 10:15:00,20.231,buy
2020-12-10 10:15:00,19.711,buy
2021-01-04 14:45:00,18.719,sell
2021-01-22 14:45:00,18.864,buy
2021-03-15 14:30:00,18.719,buy
2021-03-31 11:30:00,18.401,buy
2021-04-09 14:15:00,18.556,buy
2021-04-13 09:45:00,18.507,buy
2021-04-23 14:15:00,17.766,buy
2021-04-30 13:30:00,16.553,buy
2021-05-21 15:00:00,16.466,buy
2021-07-06 15:00:00,17.732,buy
2021-07-09 11:30:00,17.294,buy
2021-07-15 11:15:00,16.546,buy
2021-07-19 11:30:00,16.556,buy
2021-08-06 10:00:00,16.945,buy
2021-08-31 13:30:00,15.458,buy
2021-09-13 13:45:00,15.575,buy
2021-09-15 10:00:00,15.351,buy
2021-09-17 10:00:00,15.002,buy
2021-10-21 10:15:00,14.059,buy
2021-12-23 14:45:00,15.788,buy
2021-12-28 09:45:00,15.604,buy
2022-01-10 10:15:00,14.992,buy
2022-01-13 14:15:00,14.671,buy
2022-01-17 10:00:00,14.642,buy
2022-01-25 11:15:00,13.816,buy
2022-01-27 14:00:00,13.01,buy
2022-02-24 15:00:00,13.214,buy
2022-03-03 14:30:00,12.883,buy
2022-03-09 14:15:00,11.271,buy
2022-03-24 13:45:00,11.193,buy
2022-04-06 13:30:00,10.872,buy
2022-04-11 14:15:00,10.056,buy
2022-04-25 14:00:00,9.046,buy
2022-04-27 10:30:00,8.55,buy
2022-04-29 14:00:00,9.531,sell
2022-05-16 14:45:00,10.095,buy
2022-06-06 13:45:00,10.979,sell
2022-06-29 10:00:00,11.717,sell
2022-07-01 14:30:00,11.264,buy
2022-07-05 14:30:00,10.939,buy
2022-07-06 15:00:00,10.949,buy
2022-07-20 10:00:00,11.934,sell
2022-07-27 11:30:00,11.5,buy
2022-08-22 10:00:00,13.095,buy
2022-08-26 14:30:00,12.249,buy
2022-09-15 14:30:00,11.264,buy
2022-09-19 10:15:00,10.998,buy
2022-09-27 10:00:00,10.663,buy
2022-10-24 15:00:00,11.087,buy
2022-11-02 10:30:00,11.569,sell
2022-11-14 10:00:00,11.668,buy
2022-11-23 10:00:00,12.042,buy
2022-11-28 11:00:00,11.303,buy
2022-12-09 11:30:00,11.195,buy
2022-12-21 14:45:00,10.526,buy
2022-12-23 10:15:00,10.437,buy
2023-01-18 14:15:00,11.254,sell
2023-01-19 13:45:00,11.333,sell
2023-02-27 14:30:00,12.101,buy
2023-03-03 13:45:00,12.731,buy
2023-05-04 14:30:00,16.581,buy
2023-05-05 13:30:00,16.325,buy
2023-07-13 14:00:00,21.632,sell
2023-07-18 14:15:00,21.209,buy
2023-07-20 13:45:00,19.643,buy
2023-07-25 10:15:00,18.924,buy
2023-08-14 10:00:00,17.127,buy
2023-08-16 11:00:00,16.989,buy
2023-08-21 10:00:00,16.592,buy
2023-08-22 14:15:00,16.513,buy
2023-09-08 10:30:00,18.178,buy
2023-09-14 14:30:00,17.722,buy
2023-09-27 13:15:00,16.909,buy
2023-10-27 13:45:00,14.996,buy
2023-11-23 10:30:00,16.83,buy
2023-12-22 11:15:00,15.859,buy
2024-01-18 13:15:00,12.518,buy
2024-01-22 13:45:00,12.38,buy
2024-01-31 11:00:00,12.092,buy
2024-02-02 14:45:00,11.279,buy
2024-03-08 10:00:00,14.481,buy
2024-04-01 11:30:00,13.956,sell
2024-04-09 10:15:00,12.925,buy
2024-04-25 11:15:00,13.49,sell
2024-05-17 10:15:00,13.143,buy
2024-05-24 10:00:00,12.945,buy
2024-05-27 10:15:00,12.459,buy
2024-06-21 09:45:00,14.986,buy
2024-06-25 10:15:00,14.55,buy
2024-07-03 10:15:00,14.59,buy
2024-07-25 11:15:00,14.03,buy
2024-07-26 11:00:00,13.74,buy
2024-08-08 10:45:00,13.18,buy
2024-08-22 13:30:00,12.85,buy
2024-09-27 10:45:00,14.67,sell
2024-10-08 11:00:00,17.65,sell
2024-10-11 11:15:00,16.06,buy
2024-10-24 10:45:00,17.37,buy
2024-11-27 10:45:00,18.93,buy
2024-12-13 13:45:00,19.74,buy
2024-12-20 10:45:00,20.24,sell
