time,price,signal
2002-11-19 00:00:00,3.564,buy
2003-01-09 00:00:00,3.322,buy
2004-02-06 00:00:00,2.581,sell
2004-07-12 00:00:00,2.088,buy
2005-01-11 00:00:00,1.92,buy
2005-01-24 00:00:00,1.859,buy
2005-07-13 00:00:00,0.95,buy
2005-09-21 00:00:00,1.277,sell
2008-10-21 00:00:00,1.944,buy
2009-02-17 00:00:00,4.415,sell
2010-02-04 00:00:00,4.205,buy
2010-07-07 00:00:00,3.736,buy
2010-09-07 00:00:00,5.844,sell
2010-11-03 00:00:00,7.547,sell
2011-06-08 00:00:00,6.653,buy
2011-11-30 00:00:00,5.028,buy
2012-08-07 00:00:00,4.449,buy
2012-10-08 00:00:00,3.777,buy
2013-04-17 00:00:00,3.774,buy
2014-05-05 00:00:00,7.293,buy
2015-09-09 00:00:00,7.677,buy
2015-11-18 00:00:00,10.385,sell
2017-11-22 00:00:00,8.445,buy
2018-03-26 00:00:00,6.978,buy
2018-05-02 00:00:00,6.594,buy
2018-07-02 00:00:00,5.168,buy
2019-08-19 00:00:00,6.058,buy
2020-05-29 00:00:00,5.717,buy
2020-11-04 00:00:00,5.964,buy
2021-07-13 00:00:00,5.169,buy
2021-07-26 00:00:00,5.027,buy
2022-05-05 00:00:00,4.235,buy
2023-10-25 00:00:00,4.859,buy
2024-07-03 00:00:00,3.998,buy
