time,price,signal
2019-11-13 11:30:00,10.105,buy
2020-04-08 14:00:00,13.39,sell
2020-08-14 14:00:00,15.877,buy
2020-09-04 15:00:00,15.269,buy
2020-10-22 10:30:00,14.697,buy
2020-11-17 15:00:00,18.054,sell
2021-03-10 14:00:00,23.659,buy
2021-06-02 14:00:00,20.667,buy
2021-06-07 14:00:00,20.533,buy
2021-07-06 11:30:00,18.501,buy
2021-10-27 15:00:00,17.566,buy
2021-10-29 15:00:00,16.977,buy
2021-12-16 11:30:00,17.468,buy
2021-12-24 14:00:00,16.808,buy
2022-01-28 15:00:00,19.339,buy
2022-02-23 11:30:00,20.872,buy
2022-02-28 11:30:00,20.417,buy
2022-03-07 10:30:00,18.885,buy
2022-03-16 15:00:00,15.961,buy
2022-07-07 15:00:00,18.405,buy
2022-10-19 14:00:00,15.529,buy
2023-03-21 11:30:00,17.069,buy
2023-03-24 11:30:00,16.8,buy
2023-05-26 15:00:00,15.131,buy
2023-06-01 11:30:00,14.832,buy
2023-07-25 11:30:00,15.353,buy
2023-08-24 11:30:00,13.779,buy
2023-11-09 14:00:00,13.576,buy
2023-12-15 11:30:00,12.862,buy
2023-12-19 15:00:00,12.678,buy
2024-01-19 10:30:00,12.678,buy
2024-06-04 11:30:00,14.92,buy
2024-06-12 14:00:00,14.67,buy
2024-06-24 15:00:00,13.95,buy
2024-06-27 14:00:00,13.81,buy
2024-11-26 11:30:00,11.65,buy
