time,price,signal,label
2011-05-10,5.334,buy,2.0
2011-06-01,4.807,buy,2.0
2011-06-24,4.445,buy,1.0
2013-10-31,7.933,buy,2.0
2014-02-12,11.944,sell,3.0
2014-04-03,9.735,buy,1.0
2017-01-23,20.194,buy,2.0
2017-11-07,20.742,buy,2.0
2017-12-01,19.655,buy,2.0
2017-12-11,18.967,buy,1.0
2018-06-13,17.85,buy,2.0
2020-05-06,13.43,buy,1.0
2020-11-10,13.88,buy,2.0
2020-12-18,12.85,buy,2.0
2021-01-04,12.43,buy,1.0
2021-05-12,9.28,buy,2.0
2021-11-05,9.71,buy,1.0
2022-03-14,9.52,buy,2.0
2023-02-13,10.94,sell,3.0
2023-12-29,11.87,buy,2.0
2024-06-12,10.11,buy,2.0
2024-07-03,9.72,buy,2.0
