time,price,signal
2004-06-22 00:00:00,0.5,buy
2004-06-28 00:00:00,0.474,buy
2004-06-30 00:00:00,0.474,buy
2004-07-20 00:00:00,0.436,buy
2005-01-07 00:00:00,0.357,buy
2005-04-28 00:00:00,0.267,buy
2008-04-08 00:00:00,0.955,buy
2008-09-22 00:00:00,0.7,buy
2010-07-07 00:00:00,1.161,buy
2010-11-30 00:00:00,1.155,buy
2011-01-05 00:00:00,1.153,buy
2011-01-27 00:00:00,1.1,buy
2012-07-16 00:00:00,1.082,buy
2012-07-19 00:00:00,1.11,buy
2014-05-05 00:00:00,1.423,buy
2015-09-01 00:00:00,2.359,buy
2015-09-08 00:00:00,2.535,buy
2017-05-02 00:00:00,2.486,buy
2018-03-28 00:00:00,2.074,buy
2019-01-04 00:00:00,1.875,buy
2019-08-13 00:00:00,1.811,buy
2021-08-03 00:00:00,3.793,buy
2023-12-22 00:00:00,6.789,buy
2024-08-27 00:00:00,5.764,buy
2024-09-02 00:00:00,5.476,buy
2024-09-06 00:00:00,5.476,buy
2024-09-11 00:00:00,5.396,buy
