time,price,signal
2019-02-19 13:35:00,1.898,buy
2019-02-25 14:45:00,2.166,sell
2019-02-27 14:55:00,2.117,buy
2019-02-28 14:15:00,2.087,buy
2019-03-06 09:45:00,2.156,sell
2019-03-14 11:30:00,2.216,buy
2019-03-15 10:30:00,2.196,buy
2019-03-19 10:00:00,2.305,sell
2019-03-20 13:20:00,2.216,buy
2019-03-26 10:30:00,2.176,buy
2019-03-26 13:45:00,2.107,buy
2019-04-01 13:45:00,2.246,sell
2019-04-08 13:20:00,2.256,buy
2019-04-09 10:15:00,2.236,buy
2019-04-10 10:20:00,2.226,buy
2019-04-15 14:25:00,2.226,buy
2019-04-25 14:35:00,2.226,buy
2019-04-25 14:45:00,2.246,buy
2019-04-29 11:30:00,2.067,buy
2019-05-06 15:00:00,1.888,buy
2019-05-07 10:30:00,1.948,buy
2019-05-13 14:15:00,1.918,buy
2019-05-20 09:45:00,1.828,buy
2019-05-21 10:00:00,1.838,sell
2019-05-21 11:30:00,1.848,buy
2019-05-22 13:45:00,1.799,buy
2019-05-31 14:05:00,1.838,buy
2019-06-03 14:50:00,1.799,buy
2019-06-04 14:45:00,1.719,buy
2019-06-05 14:00:00,1.729,buy
2019-06-06 11:30:00,1.649,buy
2019-06-14 14:10:00,1.679,buy
2019-06-28 15:00:00,1.669,buy
2019-07-08 15:00:00,1.61,buy
2019-07-09 14:30:00,1.61,sell
2019-07-11 14:30:00,1.59,buy
2019-07-24 11:30:00,1.6,buy
2019-08-05 09:55:00,1.57,buy
2019-08-20 10:25:00,1.481,sell
2019-08-26 11:30:00,1.431,buy
2019-08-27 10:15:00,1.431,sell
2019-08-27 13:05:00,1.481,sell
2019-09-06 14:15:00,1.55,buy
2019-09-23 15:00:00,1.491,buy
2019-09-25 11:15:00,1.451,buy
2019-10-14 13:15:00,1.491,sell
2019-10-16 13:35:00,1.461,buy
2019-10-21 15:00:00,1.451,buy
2019-10-29 10:20:00,1.461,buy
2019-10-31 14:50:00,1.431,buy
2019-11-05 09:50:00,1.431,buy
2019-11-06 13:45:00,1.411,buy
2019-11-12 11:30:00,1.381,buy
2019-11-13 09:50:00,1.381,buy
2019-11-13 13:20:00,1.351,buy
2019-11-14 10:40:00,1.351,buy
2019-11-14 13:30:00,1.351,buy
2019-11-14 15:00:00,1.351,buy
2019-11-18 11:30:00,1.351,buy
2019-12-03 13:30:00,1.381,buy
2019-12-11 15:00:00,1.381,buy
2019-12-19 11:25:00,1.411,buy
2019-12-23 13:40:00,1.401,buy
2020-01-08 11:00:00,1.491,buy
2020-01-08 13:55:00,1.471,buy
2020-01-22 14:00:00,1.471,buy
2020-02-24 10:20:00,1.441,buy
2020-03-10 09:40:00,1.401,buy
2020-03-12 14:40:00,1.411,buy
2020-03-13 10:30:00,1.371,buy
2020-03-17 11:00:00,1.341,buy
2020-03-20 10:30:00,1.312,buy
